city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Paramaribo,Paramaribo,,5.8522,-55.2039,Suriname,SR,SUR,Paramaribo,Paramaribo,SR-PM,district,primary,1229.4,223757,223757,1,America/Paramaribo,FALSE,1740518660
Cottica,Cottica,"Dorp Cottica|Cotticadorp",3.8542,-54.2281,Suriname,SR,SUR,Sipaliwini,Sipaliwini,SR-SI,district,,2.7,29210,29210,3,America/Paramaribo,FALSE,1740371814
Koewarasan,Koewarasan,,5.7697,-55.2922,Suriname,SR,SUR,Wanica,Wanica,SR-WA,district,,390.3,27713,27713,3,America/Paramaribo,FALSE,1740587100
Lelydorp,Lelydorp,,5.6967,-55.2167,Suriname,SR,SUR,Wanica,Wanica,SR-WA,district,admin,125.3,18663,18663,2,America/Paramaribo,FALSE,1740222585
"Nieuw Nickerie","Nieuw Nickerie","New Nickerie|Nickerie",5.9333,-56.9833,Suriname,SR,SUR,Nickerie,Nickerie,SR-NI,district,admin,427.3,12818,12818,2,America/Paramaribo,FALSE,1740480869
Meerzorg,Meerzorg,,5.8072,-55.1469,Suriname,SR,SUR,Commewijne,Commewijne,SR-CM,district,,11.5,12405,12405,3,America/Paramaribo,FALSE,1740663491
Moengo,Moengo,,5.6167,-54.4000,Suriname,SR,SUR,Marowijne,Marowijne,SR-MA,district,,7.4,8252,8252,3,America/Paramaribo,FALSE,1740230194
Tamanredjo,Tamanredjo,Tamanridjo,5.7817,-55.0194,Suriname,SR,SUR,Commewijne,Commewijne,SR-CM,district,,12.9,6601,6601,3,America/Paramaribo,FALSE,1740708668
Aurora,Aurora,,4.3706,-55.3997,Suriname,SR,SUR,Sipaliwini,Sipaliwini,SR-SI,district,,2.8,6000,6000,3,America/Paramaribo,FALSE,1740707578
"Nieuw Amsterdam","Nieuw Amsterdam","Fort Amsterdam|Fort New Amsterdam|Fort Neu-Amsterdam",5.8833,-55.0833,Suriname,SR,SUR,Commewijne,Commewijne,SR-CM,district,admin,8.0,5650,5650,2,America/Paramaribo,FALSE,1740547119
Alkmaar,Alkmaar,,5.8333,-55.0214,Suriname,SR,SUR,Commewijne,Commewijne,SR-CM,district,,68.7,5561,5561,3,America/Paramaribo,FALSE,1740244443
Domburg,Domburg,,5.7000,-55.0833,Suriname,SR,SUR,Wanica,Wanica,SR-WA,district,,148.6,5500,5500,3,America/Paramaribo,FALSE,1740780058
Albina,Albina,,5.5000,-54.0500,Suriname,SR,SUR,Marowijne,Marowijne,SR-MA,district,admin,13.2,5247,5247,2,America/Paramaribo,FALSE,1740921776
Brownsweg,Brownsweg,Bronsweg,5.0164,-55.1669,Suriname,SR,SUR,Brokopondo,Brokopondo,SR-BR,district,,1.9,4793,4793,4,America/Paramaribo,FALSE,1740310469
Mariënburg,Marienburg,,5.8736,-55.0481,Suriname,SR,SUR,Commewijne,Commewijne,SR-CM,district,,94.0,4427,4427,4,America/Paramaribo,FALSE,1740303615
Slee,Slee,"Pikien Slee",4.2533,-55.4439,Suriname,SR,SUR,Sipaliwini,Sipaliwini,SR-SI,district,,2.8,3000,3000,3,America/Paramaribo,FALSE,1740402243
Wageningen,Wageningen,,5.7689,-56.6864,Suriname,SR,SUR,Nickerie,Nickerie,SR-NI,district,,1.8,2937,2937,3,America/Paramaribo,FALSE,1740318678
Groningen,Groningen,,5.8000,-55.4667,Suriname,SR,SUR,Saramacca,Saramacca,SR-SA,district,admin,49.4,2818,2818,2,America/Paramaribo,FALSE,1740072928
"Groot Henar","Groot Henar","Groot Henarpolder",5.8572,-56.8869,Suriname,SR,SUR,Nickerie,Nickerie,SR-NI,district,,1.2,2709,2709,4,America/Paramaribo,FALSE,1740026647
Brokopondo,Brokopondo,,5.0667,-54.9667,Suriname,SR,SUR,Brokopondo,Brokopondo,SR-BR,district,admin,19.6,2480,2480,2,America/Paramaribo,FALSE,1740558611
