city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Södra Stenbäck,Sodra Stenback,,56.4000,15.8333,Sweden,SE,SWE,Kalmar,Kalmar,SE-H,county,,13.4,,,4,Europe/Stockholm,FALSE,1752788163
Röd,Rod,,57.6978,11.6408,Sweden,SE,SWE,Västra Götaland,Vastra Gotaland,SE-O,county,,445.4,,,3,Europe/Stockholm,FALSE,1752592775
Röd,Rod,,57.7167,11.7500,Sweden,SE,SWE,Västra Götaland,Vastra Gotaland,SE-O,county,,346.0,,,3,Europe/Stockholm,TRUE,1752999682
Röd,Rod,,58.0333,11.7167,Sweden,SE,SWE,Västra Götaland,Vastra Gotaland,SE-O,county,,93.8,,,4,Europe/Stockholm,TRUE,1752072801
Röd,Rod,,58.0833,11.6833,Sweden,SE,SWE,Västra Götaland,Vastra Gotaland,SE-O,county,,93.8,,,4,Europe/Stockholm,TRUE,1752453876
Röd,Rod,,58.1333,11.8500,Sweden,SE,SWE,Västra Götaland,Vastra Gotaland,SE-O,county,,67.8,,,4,Europe/Stockholm,TRUE,1752620820
Röd,Rod,,57.8333,11.7667,Sweden,SE,SWE,Västra Götaland,Vastra Gotaland,SE-O,county,,63.1,,,4,Europe/Stockholm,TRUE,1752250280
Röd,Rod,,58.2333,11.4500,Sweden,SE,SWE,Västra Götaland,Vastra Gotaland,SE-O,county,,52.3,,,4,Europe/Stockholm,TRUE,1752527257
Röd,Rod,,58.3000,11.8333,Sweden,SE,SWE,Västra Götaland,Vastra Gotaland,SE-O,county,,41.6,,,4,Europe/Stockholm,TRUE,1752822533
Röd,Rod,,58.0167,11.9500,Sweden,SE,SWE,Västra Götaland,Vastra Gotaland,SE-O,county,,28.1,,,4,Europe/Stockholm,TRUE,1752746753
Röd,Rod,,58.6667,11.2500,Sweden,SE,SWE,Västra Götaland,Vastra Gotaland,SE-O,county,,22.3,,,4,Europe/Stockholm,TRUE,1752333302
Röd,Rod,,58.7333,11.2000,Sweden,SE,SWE,Västra Götaland,Vastra Gotaland,SE-O,county,,22.3,,,4,Europe/Stockholm,TRUE,1752789758
Röd,Rod,,58.0958,11.5083,Sweden,SE,SWE,Västra Götaland,Vastra Gotaland,SE-O,county,,21.3,,,4,Europe/Stockholm,TRUE,1752048770
Röd,Rod,,57.4500,14.7000,Sweden,SE,SWE,Jönköping,Jonkoping,SE-F,county,,29.1,,,4,Europe/Stockholm,FALSE,1752456561
Silverberg,Silverberg,Silfverberg,61.0333,15.2167,Sweden,SE,SWE,Dalarna,Dalarna,SE-W,county,,5.0,,,5,Europe/Stockholm,FALSE,1752989244
Stora Torrön,Stora Torron,,60.3000,18.5000,Sweden,SE,SWE,Uppsala,Uppsala,SE-C,county,,12.1,,,4,Europe/Stockholm,FALSE,1752149412
Vimmelstorp,Vimmelstorp,,57.1167,13.5000,Sweden,SE,SWE,Jönköping,Jonkoping,SE-F,county,,12.7,,,4,Europe/Stockholm,FALSE,1752208157
Muggetorp,Muggetorp,,56.5167,15.6167,Sweden,SE,SWE,Kalmar,Kalmar,SE-H,county,,10.1,,,4,Europe/Stockholm,FALSE,1752628381
Vervnäs,Vervnas,Vervnäset,61.3333,13.2000,Sweden,SE,SWE,Dalarna,Dalarna,SE-W,county,,1.4,,,5,Europe/Stockholm,FALSE,1752901097
Yered,Yered,,57.0500,12.8667,Sweden,SE,SWE,Halland,Halland,SE-N,county,,3.0,,,5,Europe/Stockholm,FALSE,1752171775
Getabo,Getabo,,57.4000,12.7000,Sweden,SE,SWE,Västra Götaland,Vastra Gotaland,SE-O,county,,19.3,,,4,Europe/Stockholm,FALSE,1752953412
Stora Klingbo,Stora Klingbo,Klingbo,60.0333,16.1833,Sweden,SE,SWE,Västmanland,Vastmanland,SE-U,county,,10.5,,,4,Europe/Stockholm,FALSE,1752763343
Österböle,Osterbole,,63.0167,14.9500,Sweden,SE,SWE,Jämtland,Jamtland,SE-Z,county,,49.0,,,4,Europe/Stockholm,FALSE,1752000011
Österböle,Osterbole,,61.3667,16.6500,Sweden,SE,SWE,Gävleborg,Gavleborg,SE-X,county,,10.8,,,4,Europe/Stockholm,FALSE,1752366422
Hundberg,Hundberg,,65.3833,18.5000,Sweden,SE,SWE,Västerbotten,Vasterbotten,SE-AC,county,,1.8,,,5,Europe/Stockholm,FALSE,1752243538
Luvehult,Luvehult,,56.8667,16.1167,Sweden,SE,SWE,Kalmar,Kalmar,SE-H,county,,3.3,,,5,Europe/Stockholm,FALSE,1752745029
Finede,Finede,,57.8667,15.8667,Sweden,SE,SWE,Östergötland,Ostergotland,SE-E,county,,5.2,,,5,Europe/Stockholm,FALSE,1752128530
Frostkitt,Frostkitt,,61.0497,14.4831,Sweden,SE,SWE,Dalarna,Dalarna,SE-W,county,,7.0,,,5,Europe/Stockholm,FALSE,1752907385
Västnår,Vastnar,,62.9500,14.3500,Sweden,SE,SWE,Jämtland,Jamtland,SE-Z,county,,1.2,,,5,Europe/Stockholm,FALSE,1752273275
Björkbacken,Bjorkbacken,,65.7333,15.5333,Sweden,SE,SWE,Västerbotten,Vasterbotten,SE-AC,county,,0.3,,,5,Europe/Stockholm,FALSE,1752084114
Stora Kylsbo,Stora Kylsbo,,60.1000,15.9167,Sweden,SE,SWE,Västmanland,Vastmanland,SE-U,county,,12.4,,,4,Europe/Stockholm,FALSE,1752262132
Allared,Allared,,56.6333,13.1667,Sweden,SE,SWE,Halland,Halland,SE-N,county,,15.3,,,4,Europe/Stockholm,FALSE,1752577879
Himna,Himna,,58.4333,15.7667,Sweden,SE,SWE,Östergötland,Ostergotland,SE-E,county,,51.1,,,4,Europe/Stockholm,FALSE,1752016944
Södersunda,Sodersunda,,59.2667,18.7333,Sweden,SE,SWE,Stockholm,Stockholm,SE-AB,county,,30.0,,,4,Europe/Stockholm,FALSE,1752840489
Lyngsta,Lyngsta,,58.9833,17.8500,Sweden,SE,SWE,Stockholm,Stockholm,SE-AB,county,,35.5,,,4,Europe/Stockholm,FALSE,1752081315
Svartshult,Svartshult,,57.0000,15.5333,Sweden,SE,SWE,Kronoberg,Kronoberg,SE-G,county,,5.1,,,5,Europe/Stockholm,FALSE,1752583470
Assartorp,Assartorp,,58.7000,14.3000,Sweden,SE,SWE,Västra Götaland,Vastra Gotaland,SE-O,county,,6.0,,,5,Europe/Stockholm,FALSE,1752200936
Lilla Harg,Lilla Harg,,58.3500,15.4167,Sweden,SE,SWE,Östergötland,Ostergotland,SE-E,county,,44.1,,,4,Europe/Stockholm,FALSE,1752009212
Parismåla,Parismala,,56.4667,15.6500,Sweden,SE,SWE,Kalmar,Kalmar,SE-H,county,,10.1,,,4,Europe/Stockholm,FALSE,1752984609
Parismåla,Parismala,,56.5833,15.4833,Sweden,SE,SWE,Kalmar,Kalmar,SE-H,county,,7.6,,,5,Europe/Stockholm,TRUE,1752059180
Långtjärnsberg,Langtjarnsberg,,61.1000,15.8333,Sweden,SE,SWE,Gävleborg,Gavleborg,SE-X,county,,4.4,,,5,Europe/Stockholm,FALSE,1752141691
Stora Mosstorp,Stora Mosstorp,Torpmossen|Mosstorp,58.8333,14.6000,Sweden,SE,SWE,Örebro,Orebro,SE-T,county,,3.9,,,5,Europe/Stockholm,FALSE,1752836202
Muleglo,Muleglo,,57.6594,16.6383,Sweden,SE,SWE,Kalmar,Kalmar,SE-H,county,,7.5,,,5,Europe/Stockholm,FALSE,1752724449
Gödastorp,Godastorp,,56.9167,12.6000,Sweden,SE,SWE,Halland,Halland,SE-N,county,,86.4,,,4,Europe/Stockholm,FALSE,1752914084
Bökestorp,Bokestorp,,55.8167,14.0333,Sweden,SE,SWE,Skåne,Skane,SE-M,county,,20.5,,,4,Europe/Stockholm,FALSE,1752804789
Börgöl,Borgol,,58.8000,15.7333,Sweden,SE,SWE,Östergötland,Ostergotland,SE-E,county,,46.2,,,4,Europe/Stockholm,FALSE,1752565468
Karlsholm,Karlsholm,,59.1333,15.6167,Sweden,SE,SWE,Örebro,Orebro,SE-T,county,,11.3,,,4,Europe/Stockholm,FALSE,1752191598
Askersred,Askersred,,57.5333,12.5333,Sweden,SE,SWE,Västra Götaland,Vastra Gotaland,SE-O,county,,21.1,,,4,Europe/Stockholm,FALSE,1752113298
Mångsta,Mangsta,,60.1167,18.1000,Sweden,SE,SWE,Uppsala,Uppsala,SE-C,county,,25.1,,,4,Europe/Stockholm,FALSE,1752247182
Fågelvik,Fagelvik,,61.6667,17.2500,Sweden,SE,SWE,Gävleborg,Gavleborg,SE-X,county,,146.2,,,4,Europe/Stockholm,FALSE,1752807436
Mörkamåla,Morkamala,,56.3333,14.6333,Sweden,SE,SWE,Blekinge,Blekinge,SE-K,county,,10.9,,,4,Europe/Stockholm,FALSE,1752188656
Hemse,Hemse,,57.2382,18.3781,Sweden,SE,SWE,Gotland,Gotland,SE-I,county,,27.1,,,4,Europe/Stockholm,FALSE,1752816974
Södra Ässjö,Sodra Assjo,Syd Ässjo|Ässjö,62.1167,16.6000,Sweden,SE,SWE,Gävleborg,Gavleborg,SE-X,county,,1.9,,,5,Europe/Stockholm,FALSE,1752434789
Kallhäll,Kallhall,,59.4500,17.8000,Sweden,SE,SWE,Stockholm,Stockholm,SE-AB,county,,1380.9,,,3,Europe/Stockholm,FALSE,1752000318
Blåberga,Blaberga,,59.0333,15.0500,Sweden,SE,SWE,Örebro,Orebro,SE-T,county,,65.3,,,4,Europe/Stockholm,FALSE,1752028149
Foskdalen,Foskdalen,,62.0667,12.5331,Sweden,SE,SWE,Dalarna,Dalarna,SE-W,county,,0.5,,,5,Europe/Stockholm,FALSE,1752146032
Innergård,Innergard,,63.9833,19.5667,Sweden,SE,SWE,Västerbotten,Vasterbotten,SE-AC,county,,15.5,,,4,Europe/Stockholm,FALSE,1752202811
Rättelsebo,Rattelsebo,,57.5500,15.6833,Sweden,SE,SWE,Kalmar,Kalmar,SE-H,county,,10.8,,,4,Europe/Stockholm,FALSE,1752674342
Trogsta,Trogsta,,61.7167,16.9167,Sweden,SE,SWE,Gävleborg,Gavleborg,SE-X,county,,14.6,,,4,Europe/Stockholm,FALSE,1752663206
Sköttagården,Skottagarden,,58.8333,14.8667,Sweden,SE,SWE,Örebro,Orebro,SE-T,county,,19.4,,,4,Europe/Stockholm,FALSE,1752820910
Knixhult,Knixhult,,57.2833,15.1500,Sweden,SE,SWE,Jönköping,Jonkoping,SE-F,county,,5.6,,,5,Europe/Stockholm,FALSE,1752954322
Månserud,Manserud,,59.6000,12.1333,Sweden,SE,SWE,Värmland,Varmland,SE-S,county,,4.3,,,5,Europe/Stockholm,FALSE,1752487231
Brännarp,Brannarp,,56.7833,12.7167,Sweden,SE,SWE,Halland,Halland,SE-N,county,,42.3,,,4,Europe/Stockholm,FALSE,1752990620
Trogsta,Trogsta,,59.5667,17.0333,Sweden,SE,SWE,Uppsala,Uppsala,SE-C,county,,26.2,,,4,Europe/Stockholm,FALSE,1752935809
Vråka,Vraka,,58.0167,16.5500,Sweden,SE,SWE,Kalmar,Kalmar,SE-H,county,,4.9,,,5,Europe/Stockholm,FALSE,1752936651
Södra Sunhult,Sodra Sunhult,Södra Sundhult,57.9333,14.9167,Sweden,SE,SWE,Jönköping,Jonkoping,SE-F,county,,17.3,,,4,Europe/Stockholm,FALSE,1752224421
Öra,Ora,,57.9833,13.3333,Sweden,SE,SWE,Västra Götaland,Vastra Gotaland,SE-O,county,,7.2,,,5,Europe/Stockholm,FALSE,1752769165
Trångsund,Trangsund,,59.2333,18.1333,Sweden,SE,SWE,Stockholm,Stockholm,SE-AB,county,,924.3,,,3,Europe/Stockholm,FALSE,1752741476
Väster-Storsjö,Vaster-Storsjo,,64.1500,17.6000,Sweden,SE,SWE,Västerbotten,Vasterbotten,SE-AC,county,,0.6,,,5,Europe/Stockholm,FALSE,1752305057
Harv,Harv,Harf,62.2833,17.1167,Sweden,SE,SWE,Västernorrland,Vasternorrland,SE-Y,county,,4.9,,,5,Europe/Stockholm,FALSE,1752742776
Öränge,Orange,,61.6000,17.0667,Sweden,SE,SWE,Gävleborg,Gavleborg,SE-X,county,,12.4,,,4,Europe/Stockholm,FALSE,1752321078
Nisstäkt,Nisstakt,Nisstägt,60.4167,15.5000,Sweden,SE,SWE,Dalarna,Dalarna,SE-W,county,,93.2,,,4,Europe/Stockholm,FALSE,1752306496
Saxehammar,Saxehammar,Saxhammar,60.1167,15.5500,Sweden,SE,SWE,Dalarna,Dalarna,SE-W,county,,4.7,,,5,Europe/Stockholm,FALSE,1752211950
Edö,Edo,,59.4681,18.6367,Sweden,SE,SWE,Stockholm,Stockholm,SE-AB,county,,18.0,,,4,Europe/Stockholm,FALSE,1752710828
Assartorp,Assartorp,,55.5833,13.3167,Sweden,SE,SWE,Skåne,Skane,SE-M,county,,50.9,,,4,Europe/Stockholm,FALSE,1752605102
Assartorp,Assartorp,,55.4500,13.3833,Sweden,SE,SWE,Skåne,Skane,SE-M,county,,42.4,,,4,Europe/Stockholm,TRUE,1752119889
Pellamåla,Pellamala,,56.5167,15.4667,Sweden,SE,SWE,Kalmar,Kalmar,SE-H,county,,10.1,,,4,Europe/Stockholm,FALSE,1752174094
Vimmervattnet,Vimmervattnet,Vimmarvattnet,63.6333,15.9333,Sweden,SE,SWE,Västernorrland,Vasternorrland,SE-Y,county,,1.4,,,5,Europe/Stockholm,FALSE,1752527140
Bjällebäck,Bjalleback,,58.0167,14.5167,Sweden,SE,SWE,Jönköping,Jonkoping,SE-F,county,,34.7,,,4,Europe/Stockholm,FALSE,1752614633
Låxbo,Laxbo,,57.7833,15.7167,Sweden,SE,SWE,Kalmar,Kalmar,SE-H,county,,8.8,,,5,Europe/Stockholm,FALSE,1752384194
Laxbo,Laxbo,,62.2333,16.2500,Sweden,SE,SWE,Gävleborg,Gavleborg,SE-X,county,,1.9,,,5,Europe/Stockholm,FALSE,1752118275
Svanfors,Svanfors,,64.8667,20.5000,Sweden,SE,SWE,Västerbotten,Vasterbotten,SE-AC,county,,1.8,,,5,Europe/Stockholm,FALSE,1752225173
Södra Hiarum,Sodra Hiarum,,57.6000,14.5000,Sweden,SE,SWE,Jönköping,Jonkoping,SE-F,county,,8.8,,,5,Europe/Stockholm,FALSE,1752922210
Gössby,Gossby,,58.0333,11.9000,Sweden,SE,SWE,Västra Götaland,Vastra Gotaland,SE-O,county,,28.1,,,4,Europe/Stockholm,FALSE,1752890591
Stivelsmossa,Stivelsmossa,Stivelsmosse,56.3000,13.2000,Sweden,SE,SWE,Skåne,Skane,SE-M,county,,45.2,,,4,Europe/Stockholm,FALSE,1752792274
Österbyn,Osterbyn,,66.1000,21.7833,Sweden,SE,SWE,Norrbotten,Norrbotten,SE-BD,county,,0.5,,,5,Europe/Stockholm,FALSE,1752739878
Lundtorp,Lundtorp,,56.6333,16.4833,Sweden,SE,SWE,Kalmar,Kalmar,SE-H,county,,128.3,,,4,Europe/Stockholm,FALSE,1752003398
