city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Stockholm,Stockholm,Tukholma,59.3294,18.0686,Sweden,SE,SWE,Stockholm,Stockholm,SE-AB,county,primary,5261.5,2121000,984748,1,Europe/Stockholm,FALSE,1752425602
Gothenburg,Gothenburg,Gottenborg|Goteburg|Goeteborg|Göteborg,57.7075,11.9675,Sweden,SE,SWE,"Västra Götaland","Vastra Gotaland",SE-O,county,admin,3942.4,607882,607882,2,Europe/Stockholm,FALSE,1752059374
Malmö,Malmo,,55.6058,13.0358,Sweden,SE,SWE,Skåne,Skane,SE-M,county,admin,4049.0,360249,360249,2,Europe/Stockholm,FALSE,1752705818
Uppsala,Uppsala,,59.8581,17.6447,Sweden,SE,SWE,Uppsala,Uppsala,SE-C,county,admin,3856.1,166698,166698,2,Europe/Stockholm,FALSE,1752953686
Norrköping,Norrkoping,,58.6000,16.2000,Sweden,SE,SWE,Östergötland,Ostergotland,SE-E,county,minor,2446.0,137326,137326,2,Europe/Stockholm,FALSE,1752803583
Uppsala,Uppsala,Upsala,59.8601,17.6400,Sweden,SE,SWE,Stockholm,Stockholm,SE-AB,county,,3772.5,133117,133117,2,Europe/Stockholm,FALSE,1752330831
Västerås,Vasteras,,59.6161,16.5528,Sweden,SE,SWE,Västmanland,Vastmanland,SE-U,county,admin,688.2,128660,128660,2,Europe/Stockholm,FALSE,1752826955
Örebro,Orebro,,59.2739,15.2075,Sweden,SE,SWE,Örebro,Orebro,SE-T,county,admin,2172.0,126604,126604,2,Europe/Stockholm,FALSE,1752223019
Linköping,Linkoping,,58.4158,15.6253,Sweden,SE,SWE,Östergötland,Ostergotland,SE-E,county,admin,2769.5,115682,115682,2,Europe/Stockholm,FALSE,1752963378
Borås,Boras,Celfsborg,57.7211,12.9403,Sweden,SE,SWE,"Västra Götaland","Vastra Gotaland",SE-O,county,minor,126.13,114445,114445,2,Europe/Stockholm,FALSE,1752555835
Helsingborg,Helsingborg,Hälsingborg|Halsingbord,56.0500,12.7167,Sweden,SE,SWE,Skåne,Skane,SE-M,county,minor,2876.6,113828,113828,2,Europe/Stockholm,FALSE,1752789933
Jönköping,Jonkoping,,57.7828,14.1606,Sweden,SE,SWE,Jönköping,Jonkoping,SE-F,county,admin,2516.0,112766,112766,2,Europe/Stockholm,FALSE,1752079041
Sundsvall,Sundsvall,,62.4000,17.3167,Sweden,SE,SWE,Västernorrland,Vasternorrland,SE-Y,county,minor,1847.0,99825,58807,3,Europe/Stockholm,FALSE,1752024232
Gävle,Gavle,Gefle|Gäfle,60.6747,17.1417,Sweden,SE,SWE,Gävleborg,Gavleborg,SE-X,county,admin,111.8,96969,79004,2,Europe/Stockholm,FALSE,1752586931
Umeå,Umea,,63.8250,20.2639,Sweden,SE,SWE,Västerbotten,Vasterbotten,SE-AC,county,admin,383.1,75643,75643,2,Europe/Stockholm,FALSE,1752273881
