city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Cadempino,Cadempino,,46.0333,8.9333,Switzerland,CH,CHE,Ticino,Ticino,CH-TI,canton,,1693.4,1530,1530,3,Europe/Zurich,FALSE,1756905048
Wikon,Wikon,,47.2667,7.9667,Switzerland,CH,CHE,Luzern,Luzern,CH-LU,canton,,184.5,1528,1528,3,Europe/Zurich,FALSE,1756291009
Zernez,Zernez,Zernes,46.7000,10.1000,Switzerland,CH,CHE,Graubünden,Graubunden,CH-GR,canton,,4.4,1527,1527,3,Europe/Zurich,FALSE,1756976605
Buchholterberg,Buchholterberg,,46.8167,7.6833,Switzerland,CH,CHE,Bern,Bern,CH-BE,canton,,99.5,1526,1526,3,Europe/Zurich,FALSE,1756066618
Rue,Rue,,46.6167,6.8167,Switzerland,CH,CHE,Fribourg,Fribourg,CH-FR,canton,,136.2,1526,1526,3,Europe/Zurich,FALSE,1756483893
Les Breuleux,Les Breuleux,,47.2000,7.0000,Switzerland,CH,CHE,Jura,Jura,CH-JU,canton,,141.0,1526,1526,3,Europe/Zurich,FALSE,1756586273
Matran,Matran,,46.7833,7.1000,Switzerland,CH,CHE,Fribourg,Fribourg,CH-FR,canton,,522.7,1521,1521,3,Europe/Zurich,FALSE,1756006119
Melchnau,Melchnau,,47.1833,7.8500,Switzerland,CH,CHE,Bern,Bern,CH-BE,canton,,145.9,1517,1517,3,Europe/Zurich,FALSE,1756565326
Niederbüren,Niederburen,Büren,47.4667,9.2000,Switzerland,CH,CHE,Sankt Gallen,Sankt Gallen,CH-SG,canton,,95.6,1514,1514,3,Europe/Zurich,FALSE,1756207162
Lumino,Lumino,,46.2333,9.0667,Switzerland,CH,CHE,Ticino,Ticino,CH-TI,canton,,150.0,1513,1513,3,Europe/Zurich,FALSE,1756351844
Tägerig,Tagerig,,47.4000,8.2833,Switzerland,CH,CHE,Aargau,Aargau,CH-AG,canton,,459.3,1511,1511,3,Europe/Zurich,FALSE,1756018287
Cottens,Cottens,,46.7500,7.0333,Switzerland,CH,CHE,Fribourg,Fribourg,CH-FR,canton,,303.6,1509,1509,3,Europe/Zurich,FALSE,1756282917
Guggisberg,Guggisberg,,46.7667,7.3333,Switzerland,CH,CHE,Bern,Bern,CH-BE,canton,,27.5,1508,1508,3,Europe/Zurich,FALSE,1756041517
Bossonnens,Bossonnens,,46.5167,6.8500,Switzerland,CH,CHE,Fribourg,Fribourg,CH-FR,canton,,367.1,1505,1505,3,Europe/Zurich,FALSE,1756165830
Paudex,Paudex,,46.5000,6.6667,Switzerland,CH,CHE,Vaud,Vaud,CH-VD,canton,,4043.7,1504,1504,2,Europe/Zurich,FALSE,1756058624
Attiswil,Attiswil,,47.2333,7.6000,Switzerland,CH,CHE,Bern,Bern,CH-BE,canton,,196.6,1504,1504,3,Europe/Zurich,FALSE,1756548250
Airolo,Airolo,Airlonia|Airola,46.5333,8.6167,Switzerland,CH,CHE,Ticino,Ticino,CH-TI,canton,,15.9,1501,1501,3,Europe/Zurich,FALSE,1756403311
Aristau,Aristau,,47.2833,8.3667,Switzerland,CH,CHE,Aargau,Aargau,CH-AG,canton,,173.4,1498,1498,3,Europe/Zurich,FALSE,1756020627
Rhäzüns,Rhazuns,,46.8000,9.4000,Switzerland,CH,CHE,Graubünden,Graubunden,CH-GR,canton,,111.9,1496,1496,3,Europe/Zurich,FALSE,1756832010
Messen,Messen,,47.1000,7.4500,Switzerland,CH,CHE,Solothurn,Solothurn,CH-SO,canton,,124.6,1480,1480,3,Europe/Zurich,FALSE,1756829733
Rohrbach,Rohrbach,,47.1333,7.8167,Switzerland,CH,CHE,Bern,Bern,CH-BE,canton,,361.0,1480,1480,3,Europe/Zurich,FALSE,1756407559
