city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Damascus,Damascus,"Dimashq|Dimishq|Dimashk al-Shām|Dimashk|Al-Shām|Esh Shām|Dammeseq|Damasco|Damas|Cham|Damaskus|Dimeshki esh Sham",33.5131,36.2919,Syria,SY,SYR,Dimashq,Dimashq,SY-DI,governorate,primary,23838.1,2584771,2584771,1,Asia/Damascus,FALSE,1760685964
Aleppo,Aleppo,"Khalepion|Haleb|Alep|Berea|Aleppe|Beroea|Madīnat Ḩalab|Ḩalab",36.2000,37.1600,Syria,SY,SYR,Ḩalab,Halab,SY-HL,governorate,admin,10545.6,2003671,2003671,1,Asia/Damascus,FALSE,1760366651
Homs,Homs,Emesa|Hums|Houmousse|Ḩimş,34.7308,36.7094,Syria,SY,SYR,Ḩimş,Hims,SY-HI,governorate,admin,1842.5,775404,775404,2,Asia/Damascus,FALSE,1760013934
Latakia,Latakia,"Lattaquié|El Lādhiqīya|Ladhiqiye|El Lādhaqiyé|Lattakia|Latakieh|Laodikeia|Laodicea|Ladikiya|Ladikis|Laodicée|Al-Laziqiyah|Laodicea ad Mare|Al Lādhiqīyah",35.5167,35.7833,Syria,SY,SYR,"Al Lādhiqīyah","Al Ladhiqiyah",SY-LA,governorate,admin,12224.1,700000,700000,2,Asia/Damascus,FALSE,1760555544
Ḩamāh,Hamah,Epiphaneia|Hamath|Epiphania|Hama,35.1333,36.7500,Syria,SY,SYR,Ḩamāh,Hamah,SY-HM,governorate,admin,775.7,696863,696863,2,Asia/Damascus,FALSE,1760197502
"Ar Raqqah","Ar Raqqah",Nicephorium|Raqqa|Al-Rakka|Rakka|Raqqah,35.9500,39.0100,Syria,SY,SYR,"Ar Raqqah","Ar Raqqah",SY-RA,governorate,admin,152.8,299824,299824,2,Asia/Damascus,FALSE,1760035911
"Dayr az Zawr","Dayr az Zawr","Deïr ez Zor|Azaura|Dayr az Zūr|Deir Zzor|Deir ez Zoar|Dayr al-Zor",35.3333,40.1500,Syria,SY,SYR,"Dayr az Zawr","Dayr az Zawr",SY-DY,governorate,admin,96.1,271800,271800,2,Asia/Damascus,FALSE,1760792603
"Al Ḩasakah","Al Hasakah","Hasakeh|El Haseke|Ḩasskih|Hassetche|Ḩasijih|Al-Hasakeh",36.5117,40.7422,Syria,SY,SYR,"Al Ḩasakah","Al Hasakah",SY-HA,governorate,admin,149.2,188160,188160,2,Asia/Damascus,FALSE,1760476337
"Al Qāmishlī","Al Qamishli","Kamechlie|Al-Kamishly|Qāmishlīyah|Qamichlîyé|Qamichlīyah|Qāmeshli|Kamishli|El Qamishliye|Kamichlieh",37.0500,41.2200,Syria,SY,SYR,"Al Ḩasakah","Al Hasakah",SY-HA,governorate,minor,536.6,184231,184231,2,Asia/Damascus,FALSE,1760560461
Idlib,Idlib,Idleb,35.9333,36.6333,Syria,SY,SYR,Idlib,Idlib,SY-ID,governorate,admin,750.1,165000,165000,2,Asia/Damascus,FALSE,1760305230
Dar‘ā,Dar`a,Deraâ|Adraa|Der‘ā,32.6189,36.1021,Syria,SY,SYR,Dar‘ā,Dar'a,SY-DR,governorate,admin,672.7,146481,146481,2,Asia/Damascus,FALSE,1760427038
"Qabr as Sitt","Qabr as Sitt","Qabr es Sett|Qabr es Sitt|Sayyidah Zaynab|As Sayyidah Zaynab",33.4472,36.3361,Syria,SY,SYR,"Rīf Dimashq","Rif Dimashq",SY-RD,governorate,,7456.4,136427,136427,2,Asia/Damascus,FALSE,1760060975
Dūmā,Duma,Douma,33.5711,36.4011,Syria,SY,SYR,"Rīf Dimashq","Rif Dimashq",SY-RD,governorate,minor,1441.6,123494,123494,2,Asia/Damascus,FALSE,1760821818
Jaramānā,Jaramana,Jurmānā|Jaramānah|Jéramâna|Djaramānā,33.4833,36.3500,Syria,SY,SYR,"Rīf Dimashq","Rif Dimashq",SY-RD,governorate,minor,19220.7,114363,114363,2,Asia/Damascus,FALSE,1760709370
"As Salamīyah","As Salamiyah",Sélémîyé|Selemié|Salamiyeh|Salamias|Selemīya|Salamīyah,35.0118,37.0525,Syria,SY,SYR,Ḩamāh,Hamah,SY-HM,governorate,minor,193.0,110683,110683,2,Asia/Damascus,FALSE,1760391067
"As Safīrah","As Safirah",Sfiré|Sfīra|Al-Safira|Şafīr|Safira|Safīrah,36.0778,37.3733,Syria,SY,SYR,Ḩalab,Halab,SY-HL,governorate,minor,326.3,106460,106460,2,Asia/Damascus,FALSE,1760134354
