city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Dubova,Dubova,Doobva,38.6186,68.9258,Tajikistan,TJ,TJK,Nohiyahoi Tobei Jumhurí,Nohiyahoi Tobei Jumhuri,TJ-RA,,,47.5,,,4,Asia/Dushanbe,FALSE,1762576088
Maksim Gor’kiy,Maksim Gor'kiy,Uchastok Imeni Maksima Gor’kogo,37.4229,68.5677,Tajikistan,TJ,TJK,Khatlon,Khatlon,TJ-KT,province,,93.1,,,4,Asia/Dushanbe,FALSE,1762423400
Chimgilich,Chimgilich,Chimglig,37.6091,68.1428,Tajikistan,TJ,TJK,Khatlon,Khatlon,TJ-KT,province,,72.6,,,4,Asia/Dushanbe,FALSE,1762201101
Sary-Assiabak,Sary-Assiabak,,38.6667,68.7500,Tajikistan,TJ,TJK,Nohiyahoi Tobei Jumhurí,Nohiyahoi Tobei Jumhuri,TJ-RA,,,47.5,,,4,Asia/Dushanbe,FALSE,1762493526
Namadguti Bolo,Namadguti Bolo,Namangut|Namadgut|Namatgut,36.6796,71.7772,Tajikistan,TJ,TJK,Kŭhistoni Badakhshon,Kuhistoni Badakhshon,TJ-GB,autonomous province,,9.6,,,4,Asia/Dushanbe,FALSE,1762520222
Jorf,Jorf,Dzharf|Wishkbarv|Dzhavr|Dzhorf|Javr,38.4785,70.9617,Tajikistan,TJ,TJK,Kŭhistoni Badakhshon,Kuhistoni Badakhshon,TJ-GB,autonomous province,,9.6,,,4,Asia/Dushanbe,FALSE,1762129720
Qiblaí,Qiblai,Kibloy|Qiblay,38.0281,69.5985,Tajikistan,TJ,TJK,Khatlon,Khatlon,TJ-KT,province,,76.1,,,4,Asia/Dushanbe,FALSE,1762129944
Shaghoni Bolo,Shaghoni Bolo,Shagan-Bolo|Shagon-Bolo,37.9523,70.2246,Tajikistan,TJ,TJK,Khatlon,Khatlon,TJ-KT,province,,48.2,,,4,Asia/Dushanbe,FALSE,1762992148
Qirionte,Qirionte,,39.1872,69.2301,Tajikistan,TJ,TJK,Sughd,Sughd,TJ-SU,province,,7.8,,,5,Asia/Dushanbe,FALSE,1762589681
Chukmazor,Chukmazor,Chek-Mazar,38.5156,68.9388,Tajikistan,TJ,TJK,Nohiyahoi Tobei Jumhurí,Nohiyahoi Tobei Jumhuri,TJ-RA,,,296.4,,,3,Asia/Dushanbe,FALSE,1762473451
Sharituz,Sharituz,,38.0508,68.5383,Tajikistan,TJ,TJK,Nohiyahoi Tobei Jumhurí,Nohiyahoi Tobei Jumhuri,TJ-RA,,,221.0,,,3,Asia/Dushanbe,FALSE,1762598980
Muhojirobod,Muhojirobod,Mukhodzhirabad,37.5206,69.4543,Tajikistan,TJ,TJK,Khatlon,Khatlon,TJ-KT,province,,120.0,,,4,Asia/Dushanbe,FALSE,1762848612
Dashti-Khirsan,Dashti-Khirsan,,39.2000,70.4667,Tajikistan,TJ,TJK,Nohiyahoi Tobei Jumhurí,Nohiyahoi Tobei Jumhuri,TJ-RA,,,28.1,,,4,Asia/Dushanbe,FALSE,1762294585
Kŭchkina,Kuchkina,,39.8107,69.2108,Tajikistan,TJ,TJK,Sughd,Sughd,TJ-SU,province,,85.0,,,4,Asia/Dushanbe,FALSE,1762594281
Moskva,Moskva,,40.1500,69.6620,Tajikistan,TJ,TJK,Sughd,Sughd,TJ-SU,province,,169.5,,,4,Asia/Dushanbe,FALSE,1762471473
Gumbazi,Gumbazi,,40.1416,70.6228,Tajikistan,TJ,TJK,Sughd,Sughd,TJ-SU,province,,3020.1,,,2,Asia/Dushanbe,FALSE,1762134553
