city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Dushanbe,Dushanbe,Dyushambe|Dushambe|Jushambe|Stalinabad|Djuschambe,38.5367,68.7800,Tajikistan,TJ,TJK,Dushanbe,Dushanbe,TJ-DU,"capital region",primary,6929.4,863400,863400,1,Asia/Dushanbe,FALSE,1762930616
Khŭjand,Khujand,Khodzhent|Hodjent|Leninabad|Kojend|Leninobod|Khodyent|Khudzhand|Ursaten|Khojend|Khujand,40.2833,69.6333,Tajikistan,TJ,TJK,Sughd,Sughd,TJ-SU,province,admin,4967.5,770000,198700,2,Asia/Dushanbe,FALSE,1762372787
Konibodom,Konibodom,Kanibadam,40.2833,70.4167,Tajikistan,TJ,TJK,Sughd,Sughd,TJ-SU,province,minor,752.2,219000,50400,2,Asia/Dushanbe,FALSE,1762140294
Kŭlob,Kulob,Kulyab|Kulab,37.9092,69.7819,Tajikistan,TJ,TJK,Khatlon,Khatlon,TJ-KT,province,minor,406.8,106300,105500,2,Asia/Dushanbe,FALSE,1762798596
Istaravshan,Istaravshan,Bundzhikat|Ŭroteppa|Ura-Tyube,39.9108,69.0064,Tajikistan,TJ,TJK,Sughd,Sughd,TJ-SU,province,minor,63.8,65600,57400,3,Asia/Dushanbe,FALSE,1762380072
Tursunzoda,Tursunzoda,Tursunzade,38.5108,68.2303,Tajikistan,TJ,TJK,"Nohiyahoi Tobei Jumhurí","Nohiyahoi Tobei Jumhuri",TJ-RA,,minor,662.0,55700,46700,3,Asia/Dushanbe,FALSE,1762277771
Panjakent,Panjakent,Penjikent|Pendzhikent|Pendshikent|Pendzhakent|Panjkent,39.5000,67.6167,Tajikistan,TJ,TJK,Sughd,Sughd,TJ-SU,province,minor,543.0,52500,33000,3,Asia/Dushanbe,FALSE,1762088946
Isfara,Isfara,,40.1167,70.6333,Tajikistan,TJ,TJK,Sughd,Sughd,TJ-SU,province,minor,48.1,51700,40000,3,Asia/Dushanbe,FALSE,1762121684
Ghŭlakandoz,Ghulakandoz,Gulikandoz|Gulyakandoz|Gulakandoz|Ghulakandoz,40.1617,69.4678,Tajikistan,TJ,TJK,Sughd,Sughd,TJ-SU,province,,447.2,50200,50200,3,Asia/Dushanbe,FALSE,1762073547
Zargar,Zargar,,37.8000,68.6500,Tajikistan,TJ,TJK,Khatlon,Khatlon,TJ-KT,province,,920.5,49235,49235,3,Asia/Dushanbe,FALSE,1762322356
Levakant,Levakant,Kalininabad|Sarband,37.8667,68.9167,Tajikistan,TJ,TJK,Khatlon,Khatlon,TJ-KT,province,minor,2744.9,48300,17700,2,Asia/Dushanbe,FALSE,1762807871
Chimteppa,Chimteppa,Chorteppa|Chim-Tepe,38.4667,68.7333,Tajikistan,TJ,TJK,"Nohiyahoi Tobei Jumhurí","Nohiyahoi Tobei Jumhuri",TJ-RA,,,296.7,45221,45221,3,Asia/Dushanbe,FALSE,1762819593
Roghun,Roghun,Maydon|Rogun,38.6978,69.7522,Tajikistan,TJ,TJK,"Nohiyahoi Tobei Jumhurí","Nohiyahoi Tobei Jumhuri",TJ-RA,,minor,54.5,44100,44100,3,Asia/Dushanbe,FALSE,1762926748
Vahdat,Vahdat,Kofarnihon|Yangi-Bazar|Orjonikidzeabad|Ordzhonikidzeabad|Ordhonikidzeabad|Kofarnikhon|Orjonikidzeobod,38.5531,69.0206,Tajikistan,TJ,TJK,"Nohiyahoi Tobei Jumhurí","Nohiyahoi Tobei Jumhuri",TJ-RA,,minor,101.5,43200,40600,3,Asia/Dushanbe,FALSE,1762043986
Bokhtar,Bokhtar,"Qŭrghonteppa|Kurgan-Tyube|Qurghān Tyube",37.8364,68.7803,Tajikistan,TJ,TJK,Khatlon,Khatlon,TJ-KT,province,admin,1618.3,42075,42075,2,Asia/Dushanbe,FALSE,1762998971
Isfisor,Isfisor,Ispsar|Ispisar,40.2433,69.7447,Tajikistan,TJ,TJK,Sughd,Sughd,TJ-SU,province,,169.5,39590,39590,3,Asia/Dushanbe,FALSE,1762426322
Sarikishty,Sarikishty,Sarikishti|Sarkyshty,38.4667,68.7000,Tajikistan,TJ,TJK,"Nohiyahoi Tobei Jumhurí","Nohiyahoi Tobei Jumhuri",TJ-RA,,,349.0,38474,38474,3,Asia/Dushanbe,FALSE,1762415528
Navgilem,Navgilem,Navgilam,40.1333,70.6500,Tajikistan,TJ,TJK,Sughd,Sughd,TJ-SU,province,,233.8,38104,38104,3,Asia/Dushanbe,FALSE,1762623109
Qaratog,Qaratog,Karatag|Karagag|Qarotog|Karatog|Qoratog‘,38.5500,68.2833,Tajikistan,TJ,TJK,"Nohiyahoi Tobei Jumhurí","Nohiyahoi Tobei Jumhuri",TJ-RA,,,89.0,37948,37948,3,Asia/Dushanbe,FALSE,1762906542
Obburdon,Obburdon,Oburdon|Obbŭrdon,40.4278,69.3047,Tajikistan,TJ,TJK,Sughd,Sughd,TJ-SU,province,,120.1,37104,37104,3,Asia/Dushanbe,FALSE,1762458368
Chorkŭh,Chorkuh,Chorku|Charku,39.9739,70.5822,Tajikistan,TJ,TJK,Sughd,Sughd,TJ-SU,province,,233.8,37065,37065,3,Asia/Dushanbe,FALSE,1762755950
Yovon,Yovon,Yovan|Yavan,38.3167,69.0500,Tajikistan,TJ,TJK,Khatlon,Khatlon,TJ-KT,province,minor,271.3,36700,36700,3,Asia/Dushanbe,FALSE,1762920268
Simiganj,Simiganj,Simiganch,38.6525,69.0064,Tajikistan,TJ,TJK,"Nohiyahoi Tobei Jumhurí","Nohiyahoi Tobei Jumhuri",TJ-RA,,,101.5,35473,35473,3,Asia/Dushanbe,FALSE,1762393981
Rokhaty,Rokhaty,Rokhati,38.6000,68.9333,Tajikistan,TJ,TJK,"Nohiyahoi Tobei Jumhurí","Nohiyahoi Tobei Jumhuri",TJ-RA,,,296.7,32152,32152,3,Asia/Dushanbe,FALSE,1762898038
