city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
"Dar es Salaam","Dar es Salaam","Dār es Salām",-6.8161,39.2803,Tanzania,TZ,TZA,"Dar es Salaam","Dar es Salaam",TZ-02,region,admin,8285.1,7962000,4364541,1,Africa/Dar_es_Salaam,FALSE,1834843853
Mwanza,Mwanza,Muansa|Muanza|Mwamza|Mwansa,-2.5167,32.9000,Tanzania,TZ,TZA,Mwanza,Mwanza,TZ-18,region,admin,13121.2,1104521,706453,1,Africa/Dar_es_Salaam,FALSE,1834011288
Ubungo,Ubungo,,-6.7889,39.2056,Tanzania,TZ,TZA,"Dar es Salaam","Dar es Salaam",TZ-02,region,,4034.6,1086912,1086912,1,Africa/Dar_es_Salaam,FALSE,1834358621
Mbeya,Mbeya,,-8.9000,33.4500,Tanzania,TZ,TZA,Mbeya,Mbeya,TZ-14,region,admin,2145.0,541603,541603,2,Africa/Dar_es_Salaam,FALSE,1834396594
Arusha,Arusha,Aruscha,-3.3667,36.6833,Tanzania,TZ,TZA,Arusha,Arusha,TZ-01,region,admin,261.9,416442,416442,2,Africa/Dar_es_Salaam,FALSE,1834484937
Uvinza,Uvinza,Uwinsa|Rutschugiposten|Kimalapamba|Urvinsa,-5.1069,30.3839,Tanzania,TZ,TZA,Kigoma,Kigoma,TZ-08,region,,38.5,387442,387442,2,Africa/Dar_es_Salaam,FALSE,1834561245
Geita,Geita,,-2.8714,32.2294,Tanzania,TZ,TZA,Geita,Geita,TZ-27,region,admin,703.0,318006,318006,2,Africa/Dar_es_Salaam,FALSE,1834469543
Sumbawanga,Sumbawanga,Zumbayanga|Zumbawanga,-7.9667,31.6167,Tanzania,TZ,TZA,Rukwa,Rukwa,TZ-20,region,admin,3062.8,303986,147483,2,Africa/Dar_es_Salaam,FALSE,1834684278
Kibaha,Kibaha,,-6.7667,38.9167,Tanzania,TZ,TZA,Coast,Coast,TZ-19,region,admin,976.5,265360,23050,2,Africa/Dar_es_Salaam,FALSE,1834065400
Bariadi,Bariadi,Bariati,-2.7919,33.9894,Tanzania,TZ,TZA,Simiyu,Simiyu,TZ-30,region,admin,2648.4,260927,260927,2,Africa/Dar_es_Salaam,FALSE,1834546025
Kahama,Kahama,,-3.8375,32.6000,Tanzania,TZ,TZA,Shinyanga,Shinyanga,TZ-22,region,,6011.5,242208,242208,2,Africa/Dar_es_Salaam,FALSE,1834043034
Kasulu,Kasulu,Kasulo|Kassulo,-4.5800,30.1000,Tanzania,TZ,TZA,Kigoma,Kigoma,TZ-08,region,,266.8,238321,234452,2,Africa/Dar_es_Salaam,FALSE,1834918111
Tabora,Tabora,,-5.0167,32.8000,Tanzania,TZ,TZA,Tabora,Tabora,TZ-24,region,admin,151.6,221466,127880,2,Africa/Dar_es_Salaam,FALSE,1834712235
Zanzibar,Zanzibar,"Unguja|Zanzibar City",-6.1650,39.1990,Tanzania,TZ,TZA,"Zanzibar Urban/West","Zanzibar Urban/West",TZ-15,region,admin,14221.2,219007,219007,2,Africa/Dar_es_Salaam,FALSE,1834823848
Morogoro,Morogoro,Murogoro|Mrogoro,-6.8242,37.6633,Tanzania,TZ,TZA,Morogoro,Morogoro,TZ-16,region,admin,575.0,207000,207000,2,Africa/Dar_es_Salaam,FALSE,1834185429
Ifakara,Ifakara,,-8.1000,36.6833,Tanzania,TZ,TZA,Morogoro,Morogoro,TZ-16,region,,187.1,205843,205843,2,Africa/Dar_es_Salaam,FALSE,1834456222
Mpanda,Mpanda,,-6.3500,31.0667,Tanzania,TZ,TZA,Katavi,Katavi,TZ-28,region,admin,641.8,204338,204338,2,Africa/Dar_es_Salaam,FALSE,1834127573
Iringa,Iringa,,-7.7700,35.6900,Tanzania,TZ,TZA,Iringa,Iringa,TZ-04,region,admin,2275.5,202490,202490,2,Africa/Dar_es_Salaam,FALSE,1834453478
Singida,Singida,,-4.8167,34.7500,Tanzania,TZ,TZA,Singida,Singida,TZ-23,region,admin,2641.9,165492,29258,2,Africa/Dar_es_Salaam,FALSE,1834418526
Bukoba,Bukoba,,-1.3333,31.8167,Tanzania,TZ,TZA,Kagera,Kagera,TZ-05,region,admin,9729.4,144938,144938,2,Africa/Dar_es_Salaam,FALSE,1834433264
Moshi,Moshi,Moschi,-3.3349,37.3404,Tanzania,TZ,TZA,Kilimanjaro,Kilimanjaro,TZ-09,region,admin,2453.2,144739,144739,2,Africa/Dar_es_Salaam,FALSE,1834217168
Kigoma,Kigoma,,-4.8833,29.6333,Tanzania,TZ,TZA,Kigoma,Kigoma,TZ-08,region,admin,2507.7,135234,135234,2,Africa/Dar_es_Salaam,FALSE,1834583327
Tarime,Tarime,,-1.3500,34.3833,Tanzania,TZ,TZA,Mara,Mara,TZ-13,region,,3058.9,133043,133043,2,Africa/Dar_es_Salaam,FALSE,1834684619
Nzega,Nzega,,-4.2169,33.1864,Tanzania,TZ,TZA,Tabora,Tabora,TZ-24,region,,2196.0,125193,125193,2,Africa/Dar_es_Salaam,FALSE,1834034762
Handeni,Handeni,,-5.4242,38.0194,Tanzania,TZ,TZA,Tanga,Tanga,TZ-25,region,,2751.6,108968,108968,2,Africa/Dar_es_Salaam,FALSE,1834479617
Shinyanga,Shinyanga,Schinjanga,-3.6619,33.4231,Tanzania,TZ,TZA,Shinyanga,Shinyanga,TZ-22,region,admin,3459.9,107362,107362,2,Africa/Dar_es_Salaam,FALSE,1834972707
Musoma,Musoma,Musome|Mazama|Muzoma|Misoma,-1.5000,33.8000,Tanzania,TZ,TZA,Mara,Mara,TZ-13,region,admin,2482.6,103497,103497,2,Africa/Dar_es_Salaam,FALSE,1834100025
Tanga,Tanga,Longa,-5.0742,39.0992,Tanzania,TZ,TZA,Tanga,Tanga,TZ-25,region,admin,192.9,103399,103399,2,Africa/Dar_es_Salaam,FALSE,1834004568
Songea,Songea,Ssongea,-10.6833,35.6500,Tanzania,TZ,TZA,Ruvuma,Ruvuma,TZ-21,region,admin,3656.7,99961,99961,2,Africa/Dar_es_Salaam,FALSE,1834461509
Mtwara,Mtwara,Mikindani,-10.2736,40.1828,Tanzania,TZ,TZA,Mtwara,Mtwara,TZ-17,region,admin,2257.9,92602,92602,2,Africa/Dar_es_Salaam,FALSE,1834044142
Tukuyu,Tukuyu,"New Langenberg|Neu-Langenburg|Ntukuju|Neu-Langenberg",-9.2500,33.6500,Tanzania,TZ,TZA,Mbeya,Mbeya,TZ-14,region,,1123.9,50000,50000,3,Africa/Dar_es_Salaam,FALSE,1834960117
"Chake Chake","Chake Chake","Chaki Chaki",-5.2395,39.7700,Tanzania,TZ,TZA,"Pemba South","Pemba South",TZ-10,region,admin,4724.9,49959,49959,2,Africa/Dar_es_Salaam,FALSE,1834409018
Tunduru,Tunduru,"Tunduru-ja-Mwischo|Tunduru ya Mvisho|Tunduru ya Mwisho",-11.0667,37.3500,Tanzania,TZ,TZA,Ruvuma,Ruvuma,TZ-21,region,,163.5,48000,48000,3,Africa/Dar_es_Salaam,FALSE,1834030694
Dodoma,Dodoma,Idodoma,-6.1731,35.7419,Tanzania,TZ,TZA,Dodoma,Dodoma,TZ-03,region,primary,17.8,45807,45807,1,Africa/Dar_es_Salaam,FALSE,1834288497
Mbulu,Mbulu,Mburu|Burru|Umbulu|Iraku,-3.8500,35.5500,Tanzania,TZ,TZA,Manyara,Manyara,TZ-26,region,,372.3,45384,45384,3,Africa/Dar_es_Salaam,FALSE,1834497748
Korogwe,Korogwe,Nkologwe,-5.1558,38.4503,Tanzania,TZ,TZA,Tanga,Tanga,TZ-25,region,,273.0,44000,44000,3,Africa/Dar_es_Salaam,FALSE,1834605335
Kilosa,Kilosa,Kilossa,-6.8300,36.9875,Tanzania,TZ,TZA,Morogoro,Morogoro,TZ-16,region,,1057.9,43418,43418,3,Africa/Dar_es_Salaam,FALSE,1834242035
Lindi,Lindi,,-9.9969,39.7144,Tanzania,TZ,TZA,Lindi,Lindi,TZ-12,region,admin,5298.3,41549,41549,2,Africa/Dar_es_Salaam,FALSE,1834550750
Njombe,Njombe,Njobe,-9.3333,34.7667,Tanzania,TZ,TZA,Njombe,Njombe,TZ-29,region,admin,1250.9,40607,40607,2,Africa/Dar_es_Salaam,FALSE,1834328362
Tunduma,Tunduma,,-9.3000,32.7667,Tanzania,TZ,TZA,Mbeya,Mbeya,TZ-14,region,,1401.5,36556,36556,3,Africa/Dar_es_Salaam,FALSE,1834094894
Masasi,Masasi,Massassi,-10.7296,38.7999,Tanzania,TZ,TZA,Mtwara,Mtwara,TZ-17,region,,517.7,36032,36032,3,Africa/Dar_es_Salaam,FALSE,1834414126
Mugumu,Mugumu,,-1.8333,34.6667,Tanzania,TZ,TZA,Mara,Mara,TZ-13,region,,123.9,36000,36000,3,Africa/Dar_es_Salaam,FALSE,1834097845
Bagamoyo,Bagamoyo,Bagamojo,-6.4444,38.9028,Tanzania,TZ,TZA,Coast,Coast,TZ-19,region,,103.3,35000,35000,3,Africa/Dar_es_Salaam,FALSE,1834546518
Magu,Magu,,-2.5833,33.4333,Tanzania,TZ,TZA,Mwanza,Mwanza,TZ-18,region,,1062.8,35000,35000,3,Africa/Dar_es_Salaam,FALSE,1834840353
Mlimba,Mlimba,,-8.7786,35.8111,Tanzania,TZ,TZA,Morogoro,Morogoro,TZ-16,region,,86.8,34970,34970,3,Africa/Dar_es_Salaam,FALSE,1834564958
Misungwi,Misungwi,Isungwi|Missungwi,-2.8500,33.0833,Tanzania,TZ,TZA,Mwanza,Mwanza,TZ-18,region,,326.6,34612,34612,3,Africa/Dar_es_Salaam,FALSE,1834354110
Same,Same,Zame|Ssame,-4.0667,37.7833,Tanzania,TZ,TZA,Kilimanjaro,Kilimanjaro,TZ-09,region,,181.9,34322,34322,3,Africa/Dar_es_Salaam,FALSE,1834888088
Lushoto,Lushoto,Wilhelmstal,-4.7928,38.2911,Tanzania,TZ,TZA,Tanga,Tanga,TZ-25,region,,392.9,34000,34000,3,Africa/Dar_es_Salaam,FALSE,1834431227
Geiro,Geiro,Gairo,-6.1428,36.8694,Tanzania,TZ,TZA,Morogoro,Morogoro,TZ-16,region,,214.9,33209,33209,3,Africa/Dar_es_Salaam,FALSE,1834543579
Ngudu,Ngudu,,-2.9667,33.3333,Tanzania,TZ,TZA,Mwanza,Mwanza,TZ-18,region,,229.7,31123,31123,3,Africa/Dar_es_Salaam,FALSE,1834250706
Babati,Babati,,-4.2167,35.7500,Tanzania,TZ,TZA,Manyara,Manyara,TZ-26,region,admin,773.2,30975,30975,2,Africa/Dar_es_Salaam,FALSE,1834081851
Kibiti,Kibiti,,-7.7296,38.9500,Tanzania,TZ,TZA,Coast,Coast,TZ-19,region,,127.2,30163,30163,3,Africa/Dar_es_Salaam,FALSE,1834522080
Mpwapwa,Mpwapwa,Mpapua|Mpapwa,-6.3500,36.4833,Tanzania,TZ,TZA,Dodoma,Dodoma,TZ-03,region,,184.6,30000,30000,3,Africa/Dar_es_Salaam,FALSE,1834235223
Masanwa,Masanwa,,-3.1833,33.7833,Tanzania,TZ,TZA,Simiyu,Simiyu,TZ-30,region,,79.6,28000,28000,3,Africa/Dar_es_Salaam,FALSE,1834929930
Chato,Chato,Shato,-2.6378,31.7669,Tanzania,TZ,TZA,Geita,Geita,TZ-27,region,,3759.8,27776,27776,2,Africa/Dar_es_Salaam,FALSE,1834766071
Sikonge,Sikonge,,-5.6333,32.7667,Tanzania,TZ,TZA,Tabora,Tabora,TZ-24,region,,40.6,27113,27113,3,Africa/Dar_es_Salaam,FALSE,1834313836
Wete,Wete,Weti,-5.0567,39.7281,Tanzania,TZ,TZA,"Pemba North","Pemba North",TZ-06,region,admin,4774.8,26450,26450,2,Africa/Dar_es_Salaam,FALSE,1834217491
Manyoni,Manyoni,Manjoni,-5.7500,34.8333,Tanzania,TZ,TZA,Singida,Singida,TZ-23,region,,209.1,25505,25505,3,Africa/Dar_es_Salaam,FALSE,1834963293
Kabanga,Kabanga,,-2.9022,30.4986,Tanzania,TZ,TZA,Kigoma,Kigoma,TZ-08,region,,111.4,24979,24979,3,Africa/Dar_es_Salaam,FALSE,1834808900
Kakonko,Kakonko,,-3.2796,30.9600,Tanzania,TZ,TZA,Kigoma,Kigoma,TZ-08,region,,86.3,24688,24688,3,Africa/Dar_es_Salaam,FALSE,1834778373
Biharamulo,Biharamulo,Biaramulo|Usuwi,-2.6333,31.3167,Tanzania,TZ,TZA,Kagera,Kagera,TZ-05,region,,691.5,24573,24573,3,Africa/Dar_es_Salaam,FALSE,1834491817
Itigi,Itigi,,-5.7000,34.4833,Tanzania,TZ,TZA,Singida,Singida,TZ-23,region,,480.6,24000,24000,3,Africa/Dar_es_Salaam,FALSE,1834524806
Kilindoni,Kilindoni,,-7.9167,39.6500,Tanzania,TZ,TZA,Coast,Coast,TZ-19,region,,485.4,23426,23426,3,Africa/Dar_es_Salaam,FALSE,1834982666
