city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Ban Lam Ta Chin,Ban Lam Ta Chin,,13.8346,100.8402,Thailand,TH,THA,Krung Thep Maha Nakhon,Krung Thep Maha Nakhon,TH-10,municipality,,933.7,,,3,Asia/Bangkok,FALSE,1764047212
Ban Bo Thong,Ban Bo Thong,,17.5532,99.9460,Thailand,TH,THA,Uttaradit,Uttaradit,TH-53,province,,108.0,,,4,Asia/Bangkok,FALSE,1764816055
Ban Tha Sida,Ban Tha Sida,,16.2078,104.2092,Thailand,TH,THA,Roi Et,Roi Et,TH-45,province,,82.6,,,4,Asia/Bangkok,FALSE,1764517103
Ban Sok Khamong,Ban Sok Khamong,,14.4192,100.9173,Thailand,TH,THA,Saraburi,Saraburi,TH-19,province,,513.6,,,3,Asia/Bangkok,FALSE,1764166686
Ban Si Yaek Bueng Na Rang,Ban Si Yaek Bueng Na Rang,,16.1911,100.1282,Thailand,TH,THA,Phichit,Phichit,TH-66,province,,79.7,,,4,Asia/Bangkok,FALSE,1764414827
Ban Si Udom,Ban Si Udom,,16.3909,104.0720,Thailand,TH,THA,Roi Et,Roi Et,TH-45,province,,90.7,,,4,Asia/Bangkok,FALSE,1764516767
Ban Taphong,Ban Taphong,,8.2467,99.9833,Thailand,TH,THA,Nakhon Si Thammarat,Nakhon Si Thammarat,TH-80,province,,194.7,,,4,Asia/Bangkok,FALSE,1764770456
Ban Si Udom,Ban Si Udom,Ban Si U-dom,17.6727,103.2516,Thailand,TH,THA,Udon Thani,Udon Thani,TH-41,province,,93.3,,,4,Asia/Bangkok,FALSE,1764097536
Ban Rat Prasong,Ban Rat Prasong,,15.0492,102.1857,Thailand,TH,THA,Nakhon Ratchasima,Nakhon Ratchasima,TH-30,province,,542.5,,,3,Asia/Bangkok,FALSE,1764902374
Ban Nong No Noi,Ban Nong No Noi,Ban Nong No|Ban Nong Noi,14.4143,100.7948,Thailand,TH,THA,Saraburi,Saraburi,TH-19,province,,513.6,,,3,Asia/Bangkok,FALSE,1764655540
Ban Talong Tong,Ban Talong Tong,,14.6243,102.9176,Thailand,TH,THA,Buri Ram,Buri Ram,TH-31,province,,100.5,,,4,Asia/Bangkok,FALSE,1764954076
Ban Nong Daeng,Ban Nong Daeng,,16.2185,100.5150,Thailand,TH,THA,Phichit,Phichit,TH-66,province,,150.1,,,4,Asia/Bangkok,FALSE,1764192557
Ban Nam Sang,Ban Nam Sang,,15.6340,103.2779,Thailand,TH,THA,Maha Sarakham,Maha Sarakham,TH-44,province,,108.2,,,4,Asia/Bangkok,FALSE,1764194507
Ban Nam Sang,Ban Nam Sang,,15.7706,103.5456,Thailand,TH,THA,Roi Et,Roi Et,TH-45,province,,124.5,,,4,Asia/Bangkok,FALSE,1764776052
Ban Bo Thong,Ban Bo Thong,,20.0965,99.8752,Thailand,TH,THA,Chiang Rai,Chiang Rai,TH-57,province,,141.1,,,4,Asia/Bangkok,FALSE,1764003880
Ban Huai Bon,Ban Huai Bon,,19.9558,99.2017,Thailand,TH,THA,Chiang Mai,Chiang Mai,TH-50,province,,152.0,,,4,Asia/Bangkok,FALSE,1764044170
Ban Huai Bon,Ban Huai Bon,,18.8343,99.1718,Thailand,TH,THA,Chiang Mai,Chiang Mai,TH-50,province,,113.8,,,4,Asia/Bangkok,TRUE,1764506893
Ban Huai Bon,Ban Huai Bon,,18.3011,98.9271,Thailand,TH,THA,Lamphun,Lamphun,TH-51,province,,207.6,,,3,Asia/Bangkok,FALSE,1764474823
Ban Wang Sok,Ban Wang Sok,,12.2404,102.3014,Thailand,TH,THA,Trat,Trat,TH-23,province,,139.7,,,4,Asia/Bangkok,FALSE,1764330426
