city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Faculau,Faculau,,-8.6623,125.7313,Timor-Leste,TL,TLS,Aileu,Aileu,TL-AL,district,,23.9,,,4,Asia/Dili,FALSE,1626223672
Zumalai,Zumalai,,-9.1575,125.4506,Timor-Leste,TL,TLS,Kovalima,Kovalima,TL-CO,district,,72.4,,,4,Asia/Dili,FALSE,1626871477
Fatuku,Fatuku,,-8.9697,125.6622,Timor-Leste,TL,TLS,Manufahi,Manufahi,TL-MF,district,,88.4,,,4,Asia/Dili,FALSE,1626603093
Urletefoho,Urletefoho,,-8.7811,125.4125,Timor-Leste,TL,TLS,Ermera,Ermera,TL-ER,district,,174.2,,,4,Asia/Dili,FALSE,1626672580
Lebutu,Lebutu,,-8.5325,125.7455,Timor-Leste,TL,TLS,Díli,Dili,TL-DI,district,,101.0,,,4,Asia/Dili,FALSE,1626117315
Lalomato,Lalomato,,-8.7461,126.8217,Timor-Leste,TL,TLS,Lautém,Lautem,TL-LA,district,,77.7,,,4,Asia/Dili,FALSE,1626319264
Mape,Mape,,-9.1806,125.2733,Timor-Leste,TL,TLS,Bobonaro,Bobonaro,TL-BO,district,,52.7,,,4,Asia/Dili,FALSE,1626893455
Motaain,Motaain,Motaaln,-8.9592,124.9508,Timor-Leste,TL,TLS,Bobonaro,Bobonaro,TL-BO,district,,69.8,,,4,Asia/Dili,FALSE,1626774689
Chailoro,Chailoro,,-8.3978,127.2492,Timor-Leste,TL,TLS,Lautém,Lautem,TL-LA,district,,11.4,,,4,Asia/Dili,FALSE,1626502437
Dailor,Dailor,,-8.7608,125.5708,Timor-Leste,TL,TLS,Aileu,Aileu,TL-AL,district,,97.7,,,4,Asia/Dili,FALSE,1626960754
Narlolo,Narlolo,,-8.8178,125.3472,Timor-Leste,TL,TLS,Ermera,Ermera,TL-ER,district,,250.0,,,3,Asia/Dili,FALSE,1626485099
Quintaportugal,Quintaportugal,,-8.7049,125.5614,Timor-Leste,TL,TLS,Aileu,Aileu,TL-AL,district,,420.6,,,3,Asia/Dili,FALSE,1626944082
Uaitalitua,Uaitalitua,,-8.9150,126.2808,Timor-Leste,TL,TLS,Viqueque,Viqueque,TL-VI,district,,29.2,,,4,Asia/Dili,FALSE,1626086113
Lolinunu,Lolinunu,,-8.5850,126.3378,Timor-Leste,TL,TLS,Baucau,Baucau,TL-BA,district,,12.5,,,4,Asia/Dili,FALSE,1626537249
Ulturo,Ulturo,,-8.5058,126.8339,Timor-Leste,TL,TLS,Lautém,Lautem,TL-LA,district,,32.4,,,4,Asia/Dili,FALSE,1626128541
Malulai,Malulai,,-8.6331,126.6356,Timor-Leste,TL,TLS,Baucau,Baucau,TL-BA,district,,79.7,,,4,Asia/Dili,FALSE,1626763984
Nunulau,Nunulau,,-8.9017,125.2694,Timor-Leste,TL,TLS,Bobonaro,Bobonaro,TL-BO,district,,30.7,,,4,Asia/Dili,FALSE,1626976375
Beuah,Beuah,,-8.4800,125.9178,Timor-Leste,TL,TLS,Manatuto,Manatuto,TL-MT,district,,30.6,,,4,Asia/Dili,FALSE,1626887130
Builai,Builai,,-8.5086,126.4436,Timor-Leste,TL,TLS,Baucau,Baucau,TL-BA,district,,206.0,,,3,Asia/Dili,FALSE,1626485656
Maukale,Maukale,,-8.5567,126.4144,Timor-Leste,TL,TLS,Baucau,Baucau,TL-BA,district,,149.7,,,4,Asia/Dili,FALSE,1626639332
Anartutu,Anartutu,,-8.2600,125.5494,Timor-Leste,TL,TLS,Díli,Dili,TL-DI,district,,48.1,,,4,Asia/Dili,FALSE,1626432159
Loegolo,Loegolo,,-9.1178,125.4189,Timor-Leste,TL,TLS,Kovalima,Kovalima,TL-CO,district,,88.0,,,4,Asia/Dili,FALSE,1626232093
Badutmean,Badutmean,,-8.9889,124.9456,Timor-Leste,TL,TLS,Bobonaro,Bobonaro,TL-BO,district,,56.7,,,4,Asia/Dili,FALSE,1626794065
