city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Aményaglo,Amenyaglo,,6.2011,1.1739,Togo,TG,TGO,Maritime,Maritime,TG-M,region,,8162.0,,,2,Africa/Lome,TRUE,1768931101
Aményaglo,Amenyaglo,,6.5500,1.6833,Togo,TG,TGO,Maritime,Maritime,TG-M,region,,323.9,,,3,Africa/Lome,TRUE,1768458362
Namab,Namab,Namalo,9.8167,0.6000,Togo,TG,TGO,Kara,Kara,TG-K,region,,96.5,,,4,Africa/Lome,FALSE,1768657353
Abalo Kpélé,Abalo Kpele,,7.4333,1.5833,Togo,TG,TGO,Plateaux,Plateaux,TG-P,region,,104.9,,,4,Africa/Lome,FALSE,1768716484
Néyépa,Neyepa,,8.0333,1.5167,Togo,TG,TGO,Plateaux,Plateaux,TG-P,region,,79.4,,,4,Africa/Lome,FALSE,1768970765
Adjétakopé,Adjetakope,Djeta Kopé|Atéta Kopé,6.7333,1.2000,Togo,TG,TGO,Maritime,Maritime,TG-M,region,,174.7,,,4,Africa/Lome,FALSE,1768440277
Lodji,Lodji,,7.7000,1.1167,Togo,TG,TGO,Plateaux,Plateaux,TG-P,region,,101.5,,,4,Africa/Lome,FALSE,1768700397
Akoutchobli,Akoutchobli,,7.4667,1.1667,Togo,TG,TGO,Plateaux,Plateaux,TG-P,region,,104.9,,,4,Africa/Lome,FALSE,1768457286
Alokénou,Alokenou,,6.2431,1.0772,Togo,TG,TGO,Maritime,Maritime,TG-M,region,,101.8,,,4,Africa/Lome,FALSE,1768478578
Assahoun,Assahoun,Asahoun|Adzahoun,6.4500,0.9167,Togo,TG,TGO,Maritime,Maritime,TG-M,region,,101.8,,,4,Africa/Lome,FALSE,1768335093
Amou,Amou,,7.5667,1.1000,Togo,TG,TGO,Plateaux,Plateaux,TG-P,region,,76.0,,,4,Africa/Lome,FALSE,1768646013
Amou,Amou,,6.2150,1.2033,Togo,TG,TGO,Maritime,Maritime,TG-M,region,,8162.1,,,2,Africa/Lome,FALSE,1768703336
Houmblasso Kopé,Houmblasso Kope,Hounbléso Kopé,6.4833,1.6167,Togo,TG,TGO,Maritime,Maritime,TG-M,region,,324.9,,,3,Africa/Lome,FALSE,1768214432
Fonboro,Fonboro,,10.3500,0.4667,Togo,TG,TGO,Savanes,Savanes,TG-S,region,,72.8,,,4,Africa/Lome,FALSE,1768109174
Aladjové,Aladjove,,7.0000,1.4167,Togo,TG,TGO,Plateaux,Plateaux,TG-P,region,,113.6,,,4,Africa/Lome,FALSE,1768341991
Lili Kopé,Lili Kope,Lilikové,6.5500,1.1833,Togo,TG,TGO,Maritime,Maritime,TG-M,region,,174.7,,,4,Africa/Lome,FALSE,1768395099
Pebadjibé,Pebadjibe,,9.3333,0.5500,Togo,TG,TGO,Kara,Kara,TG-K,region,,36.0,,,4,Africa/Lome,FALSE,1768236546
Loko,Loko,,10.6333,0.2500,Togo,TG,TGO,Savanes,Savanes,TG-S,region,,174.6,,,4,Africa/Lome,FALSE,1768934826
Loko,Loko,,10.5792,0.2542,Togo,TG,TGO,Savanes,Savanes,TG-S,region,,72.8,,,4,Africa/Lome,TRUE,1768870941
Nandri,Nandri,,10.0500,0.7500,Togo,TG,TGO,Kara,Kara,TG-K,region,,65.8,,,4,Africa/Lome,FALSE,1768848624
Inokopé,Inokope,,6.9167,0.9667,Togo,TG,TGO,Plateaux,Plateaux,TG-P,region,,113.6,,,4,Africa/Lome,FALSE,1768041527
Podji,Podji,,6.2667,1.7333,Togo,TG,TGO,Maritime,Maritime,TG-M,region,,564.9,,,3,Africa/Lome,FALSE,1768312314
Ohouritcho,Ohouritcho,,7.5667,1.0667,Togo,TG,TGO,Plateaux,Plateaux,TG-P,region,,76.0,,,4,Africa/Lome,FALSE,1768354352
Kouévé,Koueve,Kpéve,6.9667,0.9833,Togo,TG,TGO,Plateaux,Plateaux,TG-P,region,,113.6,,,4,Africa/Lome,FALSE,1768227165
Ounpé,Ounpe,,6.1658,1.2658,Togo,TG,TGO,Maritime,Maritime,TG-M,region,,5927.7,,,2,Africa/Lome,FALSE,1768975599
Adjeïdé,Adjeide,Kirikri|Kri-Kri|Adjkrédé|Kjirkjiri|Kyiridyiri,9.2000,1.4167,Togo,TG,TGO,Centrale,Centrale,TG-C,region,,71.4,,,4,Africa/Lome,FALSE,1768566112
Mondlabélé,Mondlabele,,8.0500,1.4167,Togo,TG,TGO,Plateaux,Plateaux,TG-P,region,,79.4,,,4,Africa/Lome,FALSE,1768333034
Pabouté,Paboute,,9.6833,0.9000,Togo,TG,TGO,Kara,Kara,TG-K,region,,67.7,,,4,Africa/Lome,FALSE,1768048389
Komoukopé,Komoukope,,7.1333,1.1500,Togo,TG,TGO,Plateaux,Plateaux,TG-P,region,,113.6,,,4,Africa/Lome,FALSE,1768405728
Migbodji,Migbodji,,6.1647,1.2064,Togo,TG,TGO,Maritime,Maritime,TG-M,region,,7805.1,,,2,Africa/Lome,FALSE,1768015239
Gassieldo,Gassieldo,,9.8833,0.5833,Togo,TG,TGO,Savanes,Savanes,TG-S,region,,82.6,,,4,Africa/Lome,FALSE,1768627830
Djikamé,Djikame,,7.2500,1.5833,Togo,TG,TGO,Plateaux,Plateaux,TG-P,region,,153.1,,,4,Africa/Lome,FALSE,1768393703
Aoukoukopé,Aoukoukope,,7.3833,1.2000,Togo,TG,TGO,Plateaux,Plateaux,TG-P,region,,104.9,,,4,Africa/Lome,FALSE,1768496840
Haduo,Haduo,,8.0333,1.4167,Togo,TG,TGO,Plateaux,Plateaux,TG-P,region,,79.4,,,4,Africa/Lome,FALSE,1768938133
Adakpo Kondji,Adakpo Kondji,,6.3619,1.4897,Togo,TG,TGO,Maritime,Maritime,TG-M,region,,300.2,,,3,Africa/Lome,FALSE,1768888653
Mandime,Mandime,,10.8167,0.1167,Togo,TG,TGO,Savanes,Savanes,TG-S,region,,346.1,,,3,Africa/Lome,FALSE,1768812273
Rhéhou,Rhehou,Hehoun,6.3667,1.7500,Togo,TG,TGO,Maritime,Maritime,TG-M,region,,564.9,,,3,Africa/Lome,FALSE,1768940509
Aveyigbome,Aveyigbome,,6.1528,1.1242,Togo,TG,TGO,Maritime,Maritime,TG-M,region,,1569.8,,,3,Africa/Accra,FALSE,1768498426
Blétérikopé,Bleterikope,,6.4833,0.7333,Togo,TG,TGO,Maritime,Maritime,TG-M,region,,81.8,,,4,Africa/Accra,FALSE,1768764643
Adiémassikopé,Adiemassikope,Adiemasi Kopé,6.5333,0.7667,Togo,TG,TGO,Maritime,Maritime,TG-M,region,,98.1,,,4,Africa/Lome,FALSE,1768721682
Kpota,Kpota,,6.8667,1.3500,Togo,TG,TGO,Plateaux,Plateaux,TG-P,region,,113.6,,,4,Africa/Lome,FALSE,1768359370
Bounlaré,Bounlare,,9.4000,0.7667,Togo,TG,TGO,Kara,Kara,TG-K,region,,36.0,,,4,Africa/Lome,FALSE,1768048408
Kpota,Kpota,,6.3194,1.4156,Togo,TG,TGO,Maritime,Maritime,TG-M,region,,300.2,,,3,Africa/Lome,FALSE,1768238123
Kpadafé,Kpadafe,Kpadapé,6.8500,0.6000,Togo,TG,TGO,Plateaux,Plateaux,TG-P,region,,336.2,,,3,Africa/Lome,FALSE,1768122245
Bessaméké,Bessameke,,7.1833,1.5000,Togo,TG,TGO,Plateaux,Plateaux,TG-P,region,,153.1,,,4,Africa/Lome,FALSE,1768214304
Yayago,Yayago,,10.7333,0.2500,Togo,TG,TGO,Savanes,Savanes,TG-S,region,,346.1,,,3,Africa/Lome,FALSE,1768669241
Gbékon,Gbekon,Gbécon,7.5500,1.1500,Togo,TG,TGO,Plateaux,Plateaux,TG-P,region,,104.9,,,4,Africa/Lome,FALSE,1768083029
Gbékon,Gbekon,Béko,7.7167,0.9500,Togo,TG,TGO,Plateaux,Plateaux,TG-P,region,,76.0,,,4,Africa/Lome,TRUE,1768777508
Dozo,Dozo,,10.2333,0.9500,Togo,TG,TGO,Savanes,Savanes,TG-S,region,,65.8,,,4,Africa/Lome,FALSE,1768602372
Kpouata,Kpouata,,10.7167,0.0500,Togo,TG,TGO,Savanes,Savanes,TG-S,region,,174.6,,,4,Africa/Lome,FALSE,1768254186
