city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Sokodé,Sokode,,8.9833,1.1333,Togo,TG,TGO,Centrale,Centrale,TG-C,region,admin,95.5,113000,113000,2,Africa/Lome,FALSE,1768875145
Kpalimé,Kpalime,Palimé|Agomé-Palimé,6.9000,0.6333,Togo,TG,TGO,Plateaux,Plateaux,TG-P,region,,336.2,87478,87478,3,Africa/Lome,FALSE,1768253626
Atakpamé,Atakpame,,7.5269,1.1267,Togo,TG,TGO,Plateaux,Plateaux,TG-P,region,admin,104.9,84979,84979,2,Africa/Lome,FALSE,1768070717
Dapaong,Dapaong,Dapong|Dapango,10.8667,0.2000,Togo,TG,TGO,Savanes,Savanes,TG-S,region,admin,346.1,58071,58071,2,Africa/Lome,FALSE,1768366976
Tsévié,Tsevie,Tzevie|Tsévyé,6.4333,1.2167,Togo,TG,TGO,Maritime,Maritime,TG-M,region,,174.7,55775,55775,3,Africa/Lome,FALSE,1768281903
Notsé,Notse,Nuatya|Nuatia|Nuatja|Nouatja,6.9483,1.1681,Togo,TG,TGO,Plateaux,Plateaux,TG-P,region,,113.6,49143,49143,3,Africa/Lome,FALSE,1768108332
Tabligbo,Tabligbo,Tablizhbo|Awési,6.5833,1.5000,Togo,TG,TGO,Maritime,Maritime,TG-M,region,,161.4,36961,36961,3,Africa/Lome,FALSE,1768943625
Sansanné-Mango,Sansanne-Mango,Sanssané-Mango|Sansane-Mangu|Mango|Nsara|N’Zara,10.3556,0.4756,Togo,TG,TGO,Savanes,Savanes,TG-S,region,,72.8,34791,34791,3,Africa/Lome,FALSE,1768815814
Lomé,Lome,,6.1319,1.2228,Togo,TG,TGO,Maritime,Maritime,TG-M,region,primary,366.7,33000,33000,1,Africa/Lome,FALSE,1768409132
Sotouboua,Sotouboua,,8.5667,0.9833,Togo,TG,TGO,Centrale,Centrale,TG-C,region,,26.3,32464,32464,3,Africa/Lome,FALSE,1768355631
Aného,Aneho,"Petit Popo|Klein-Popo|Anerho|Anekho|Anécho|Little Popo",6.2333,1.6000,Togo,TG,TGO,Maritime,Maritime,TG-M,region,,564.9,28238,28238,3,Africa/Lome,FALSE,1768922287
Bafilo,Bafilo,,9.3500,1.2667,Togo,TG,TGO,Kara,Kara,TG-K,region,,55.5,23627,23627,3,Africa/Lome,FALSE,1768588000
Bassar,Bassar,Bassari,9.2500,0.7833,Togo,TG,TGO,Kara,Kara,TG-K,region,,36.0,23181,23181,3,Africa/Lome,FALSE,1768050143
Niamtougou,Niamtougou,Njamtūu|Niamtuu|Nyamtouhou,9.7667,1.1000,Togo,TG,TGO,Kara,Kara,TG-K,region,,67.7,22986,22986,3,Africa/Lome,FALSE,1768703422
Afanyangan,Afanyangan,Afranyanga|Afanjaga|Afagnagnan|Afanyá|Afangnagan,6.4939,1.6339,Togo,TG,TGO,Maritime,Maritime,TG-M,region,,324.9,13046,13046,3,Africa/Lome,FALSE,1768926605
Kévé,Keve,Kéwegá|Kéwé,6.4278,0.9245,Togo,TG,TGO,Maritime,Maritime,TG-M,region,,101.8,12000,12000,3,Africa/Lome,FALSE,1768316152
