city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Nuku‘alofa,Nuku`alofa,Nukalofa|Niukalofa|Nuku‘aloia,-21.1333,-175.2000,Tonga,TO,TON,Tongatapu,Tongatapu,TO-04,division,primary,288.8,23221,23221,1,Pacific/Tongatapu,FALSE,1776737461
Kolovai,Kolovai,Kolevai,-21.0998,-175.3394,Tonga,TO,TON,Tongatapu,Tongatapu,TO-04,division,,288.8,4098,4098,3,Pacific/Tongatapu,FALSE,1776087931
Neiafu,Neiafu,Neafu|Nei-afo,-18.6508,-173.9831,Tonga,TO,TON,Vava‘u,Vava'u,TO-05,division,,66.4,3845,3845,4,Pacific/Tongatapu,FALSE,1776829745
‘Ohonua,`Ohonua,,-21.3421,-174.9559,Tonga,TO,TON,Tongatapu,Tongatapu,TO-04,division,,50.1,1289,1289,4,Pacific/Tongatapu,FALSE,1776790968
Pangaimotu,Pangaimotu,Pangai,-18.6833,-174.0000,Tonga,TO,TON,Vava‘u,Vava'u,TO-05,division,,75.9,696,696,4,Pacific/Tongatapu,FALSE,1776548816
Haatua,Haatua,,-21.3930,-174.9620,Tonga,TO,TON,Tongatapu,Tongatapu,TO-04,division,,50.1,486,486,4,Pacific/Tongatapu,FALSE,1776234862
Huma,Huma,Houma,-21.3160,-174.9310,Tonga,TO,TON,Tongatapu,Tongatapu,TO-04,division,,50.1,310,310,4,Pacific/Tongatapu,FALSE,1776152774
Vaipoa,Vaipoa,,-15.9500,-173.7500,Tonga,TO,TON,Vava‘u,Vava'u,TO-05,division,,34.2,172,172,4,Pacific/Tongatapu,FALSE,1776849521
Vaimalo,Vaimalo,,-18.6330,-174.0000,Tonga,TO,TON,Vava‘u,Vava'u,TO-05,division,,66.4,114,114,4,Pacific/Tongatapu,FALSE,1776824504
Holopeka,Holopeka,Holobeka,-19.7840,-174.3410,Tonga,TO,TON,Ha‘apai,Ha'apai,TO-02,division,,39.4,,,4,Pacific/Tongatapu,FALSE,1776257407
Fo‘ui,Fo`ui,,-21.1124,-175.3385,Tonga,TO,TON,Tongatapu,Tongatapu,TO-04,division,,288.8,,,3,Pacific/Tongatapu,FALSE,1776947738
Ha‘asini,Ha`asini,,-21.2481,-175.1101,Tonga,TO,TON,Tongatapu,Tongatapu,TO-04,division,,288.8,,,3,Pacific/Tongatapu,FALSE,1776875893
Holeva,Holeva,,-18.6425,-173.9221,Tonga,TO,TON,Vava‘u,Vava'u,TO-05,division,,66.4,,,4,Pacific/Tongatapu,FALSE,1776653698
Ha’akio,Ha'akio,,-18.6218,-173.9432,Tonga,TO,TON,Vava‘u,Vava'u,TO-05,division,,66.4,,,4,Pacific/Tongatapu,FALSE,1776385977
Kanokupolu,Kanokupolu,,-21.0833,-175.3333,Tonga,TO,TON,Tongatapu,Tongatapu,TO-04,division,,288.8,,,3,Pacific/Tongatapu,FALSE,1776969468
Luahoko,Luahoko,,-19.6720,-174.3923,Tonga,TO,TON,Vava‘u,Vava'u,TO-05,division,,39.4,,,4,Pacific/Tongatapu,FALSE,1776323562
Ha‘alalo,Ha`alalo,,-21.1845,-175.2809,Tonga,TO,TON,Tongatapu,Tongatapu,TO-04,division,,288.8,,,3,Pacific/Tongatapu,FALSE,1776876569
Veitongo,Veitongo,Veitogo,-21.1864,-175.2114,Tonga,TO,TON,Tongatapu,Tongatapu,TO-04,division,,288.8,,,3,Pacific/Tongatapu,FALSE,1776092708
Nukuleka,Nukuleka,,-21.1500,-175.1333,Tonga,TO,TON,Tongatapu,Tongatapu,TO-04,division,,288.8,,,3,Pacific/Tongatapu,FALSE,1776234031
"Taliai Camp","Taliai Camp",,-21.2434,-175.1348,Tonga,TO,TON,Vava‘u,Vava'u,TO-05,division,,288.8,,,3,Pacific/Tongatapu,FALSE,1776829037
Ta‘anea,Ta`anea,,-18.6099,-173.9417,Tonga,TO,TON,Vava‘u,Vava'u,TO-05,division,,66.4,,,4,Pacific/Tongatapu,FALSE,1776724636
Tefisi,Tefisi,Ngaakau,-18.6298,-174.0145,Tonga,TO,TON,Vava‘u,Vava'u,TO-05,division,,66.4,,,4,Pacific/Tongatapu,FALSE,1776004764
’Olo’ua,'Olo'ua,,-18.6719,-173.9588,Tonga,TO,TON,Vava‘u,Vava'u,TO-05,division,,66.4,,,4,Pacific/Tongatapu,FALSE,1776760402
Ha‘atafu,Ha`atafu,,-21.0704,-175.3280,Tonga,TO,TON,Tongatapu,Tongatapu,TO-04,division,,288.8,,,3,Pacific/Tongatapu,FALSE,1776397918
Hokula,Hokula,,-19.7153,-175.0592,Tonga,TO,TON,Vava‘u,Vava'u,TO-05,division,,39.4,,,4,Pacific/Tongatapu,FALSE,1776220043
Hā‘utu,Ha`utu,Ha‘utu,-21.1446,-175.3298,Tonga,TO,TON,Tongatapu,Tongatapu,TO-04,division,,288.8,,,3,Pacific/Tongatapu,FALSE,1776448140
