city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Chaguanas,Chaguanas,"Chaguanas Village",10.5167,-61.4000,"Trinidad and Tobago",TT,TTO,Chaguanas,Chaguanas,TT-CHA,municipality,admin,1399.7,101297,83489,2,America/Port_of_Spain,FALSE,1780795054
"San Fernando","San Fernando",,10.2833,-61.4667,"Trinidad and Tobago",TT,TTO,"San Fernando","San Fernando",TT-SFO,municipality,admin,2973.1,82997,55419,2,America/Port_of_Spain,FALSE,1780361077
"Port of Spain","Port of Spain","City of Port-of-Spain|Port-au-Spain|Port-of-Spain",10.6667,-61.5167,"Trinidad and Tobago",TT,TTO,"Port of Spain","Port of Spain",TT-POS,municipality,primary,3089.5,81142,37074,1,America/Port_of_Spain,FALSE,1780670676
Arima,Arima,"Town of Arima",10.6333,-61.2833,"Trinidad and Tobago",TT,TTO,Arima,Arima,TT-ARI,municipality,admin,2801.0,65623,33606,2,America/Port_of_Spain,FALSE,1780753308
Couva,Couva,"Couva Savannah Village",10.4167,-61.4500,"Trinidad and Tobago",TT,TTO,Couva/Tabaquite/Talparo,Couva/Tabaquite/Talparo,TT-CTT,region,admin,716.4,48858,48858,2,America/Port_of_Spain,FALSE,1780835692
"Point Fortin","Point Fortin",,10.1667,-61.6667,"Trinidad and Tobago",TT,TTO,"Point Fortin","Point Fortin",TT-PTF,municipality,admin,809.0,29579,20161,2,America/Port_of_Spain,FALSE,1780702349
"Princes Town","Princes Town","Princess Town",10.2667,-61.3833,"Trinidad and Tobago",TT,TTO,"Princes Town","Princes Town",TT-PRT,region,admin,178.7,28335,28335,2,America/Port_of_Spain,FALSE,1780714817
"Diego Martin","Diego Martin","Diego Martin Village",10.7167,-61.5667,"Trinidad and Tobago",TT,TTO,"Diego Martin","Diego Martin",TT-DMN,region,admin,808.3,25370,25370,2,America/Port_of_Spain,FALSE,1780534918
Laventille,Laventille,,10.6500,-61.4833,"Trinidad and Tobago",TT,TTO,"San Juan/Laventille","San Juan/Laventille",TT-SJL,region,,723.0,21454,21454,3,America/Port_of_Spain,FALSE,1780201146
"Sangre Grande","Sangre Grande",,10.5667,-61.1333,"Trinidad and Tobago",TT,TTO,"Sangre Grande","Sangre Grande",TT-SGE,region,admin,91.1,18127,18127,2,America/Port_of_Spain,FALSE,1780469686
Tunapuna,Tunapuna,"Tunapuna Village",10.6333,-61.3833,"Trinidad and Tobago",TT,TTO,Tunapuna/Piarco,Tunapuna/Piarco,TT-TUP,region,admin,408.8,17650,17650,2,America/Port_of_Spain,FALSE,1780508155
Scarborough,Scarborough,"Port Louis",11.1833,-60.7375,"Trinidad and Tobago",TT,TTO,Tobago,Tobago,TT-TOB,ward,admin,1754.0,17537,17537,2,America/Port_of_Spain,FALSE,1780875399
Gasparillo,Gasparillo,"Gasparillo Village",10.3167,-61.4167,"Trinidad and Tobago",TT,TTO,Couva/Tabaquite/Talparo,Couva/Tabaquite/Talparo,TT-CTT,region,,258.6,16426,16426,3,America/Port_of_Spain,FALSE,1780142944
"Claxton Bay","Claxton Bay","Claxton Bay Village",10.3405,-61.4555,"Trinidad and Tobago",TT,TTO,Couva/Tabaquite/Talparo,Couva/Tabaquite/Talparo,TT-CTT,region,,258.6,14436,14436,3,America/Port_of_Spain,FALSE,1780203587
"Saint Joseph","Saint Joseph",,10.6556,-61.4167,"Trinidad and Tobago",TT,TTO,Tunapuna/Piarco,Tunapuna/Piarco,TT-TUP,region,,419.8,14376,14376,3,America/Port_of_Spain,FALSE,1780256893
"San Juan","San Juan",,10.6500,-61.4500,"Trinidad and Tobago",TT,TTO,"San Juan/Laventille","San Juan/Laventille",TT-SJL,region,,59.6,13797,13797,3,America/Port_of_Spain,FALSE,1780554728
Fyzabad,Fyzabad,"Fyzabad Village",10.1833,-61.5500,"Trinidad and Tobago",TT,TTO,Siparia,Siparia,TT-SIP,region,,183.7,13099,13099,3,America/Port_of_Spain,FALSE,1780514222
Marabella,Marabella,,10.3000,-61.4500,"Trinidad and Tobago",TT,TTO,"San Fernando","San Fernando",TT-SFO,municipality,,2367.3,12508,12508,2,America/Port_of_Spain,FALSE,1780714221
Valencia,Valencia,"Valencia Village",10.6500,-61.2000,"Trinidad and Tobago",TT,TTO,"Sangre Grande","Sangre Grande",TT-SGE,region,,91.1,12327,12327,3,America/Port_of_Spain,FALSE,1780842812
Penal,Penal,"Peñal Village|Peñal",10.1667,-61.4667,"Trinidad and Tobago",TT,TTO,Penal/Debe,Penal/Debe,TT-PED,region,,379.0,12281,12281,3,America/Port_of_Spain,FALSE,1780976981
Freeport,Freeport,,10.4500,-61.4167,"Trinidad and Tobago",TT,TTO,Couva/Tabaquite/Talparo,Couva/Tabaquite/Talparo,TT-CTT,region,,258.6,11850,11850,3,America/Port_of_Spain,FALSE,1780420196
