city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Dar Abdallah Bel Haj,Dar Abdallah Bel Haj,Dar Abdallah Bel Hadj,37.0539,9.4947,Tunisia,TN,TUN,Bizerte,Bizerte,TN-23,governorate,,64.1,,,4,Africa/Tunis,FALSE,1788558004
Bou Thadi,Bou Thadi,Bū Thady,35.0987,10.2705,Tunisia,TN,TUN,Sfax,Sfax,TN-61,governorate,,23.3,,,4,Africa/Tunis,FALSE,1788086553
Rass el Aïn,Rass el Ain,Rass el Aïne|Ras-el-Aïne|Ras el Aïn|Ra’s al ‘Ayn,32.9756,10.3487,Tunisia,TN,TUN,Tataouine,Tataouine,TN-83,governorate,,20.0,,,4,Africa/Tunis,FALSE,1788808137
Djama el Guelloufi,Djama el Guelloufi,Jāmi‘ al Guelloufi,33.6167,11.0333,Tunisia,TN,TUN,Médenine,Medenine,TN-82,governorate,,106.2,,,4,Africa/Tunis,FALSE,1788564152
Dar el Haj Daoui,Dar el Haj Daoui,Dar el Hadj Daoui,36.8706,10.9253,Tunisia,TN,TUN,Nabeul,Nabeul,TN-21,governorate,,284.0,,,3,Africa/Tunis,FALSE,1788502447
Sidi Bou Choucha,Sidi Bou Choucha,Sīdī Bū Shūshah,36.4969,8.9319,Tunisia,TN,TUN,Jendouba,Jendouba,TN-32,governorate,,95.9,,,4,Africa/Tunis,FALSE,1788490067
Ksour Lireba,Ksour Lireba,Quşūr Lireba,36.9067,8.7850,Tunisia,TN,TUN,Jendouba,Jendouba,TN-32,governorate,,138.5,,,4,Africa/Tunis,FALSE,1788243775
Dar el Saïd,Dar el Said,Dar el Caïd,35.8694,10.5925,Tunisia,TN,TUN,Sousse,Sousse,TN-51,governorate,,2924.8,,,2,Africa/Tunis,FALSE,1788962647
Douar Ennbaza,Douar Ennbaza,,36.6464,10.2503,Tunisia,TN,TUN,Ben Arous,Ben Arous,TN-13,governorate,,163.4,,,4,Africa/Tunis,FALSE,1788552081
Douar el Blate,Douar el Blate,,37.0777,9.8539,Tunisia,TN,TUN,Bizerte,Bizerte,TN-23,governorate,,47.2,,,4,Africa/Tunis,FALSE,1788420060
Matguia,Matguia,,34.6733,10.3433,Tunisia,TN,TUN,Sfax,Sfax,TN-61,governorate,,46.9,,,4,Africa/Tunis,FALSE,1788293450
Fortuna,Fortuna,,36.7522,10.7808,Tunisia,TN,TUN,Nabeul,Nabeul,TN-21,governorate,,184.4,,,4,Africa/Tunis,FALSE,1788344883
Hafi Rassa,Hafi Rassa,,33.5111,10.0153,Tunisia,TN,TUN,Gabès,Gabes,TN-81,governorate,,3.0,,,5,Africa/Tunis,FALSE,1788986223
Sidi Bou Zacouma,Sidi Bou Zacouma,Sīdī Bū Zaqqūmah,36.4667,9.1000,Tunisia,TN,TUN,Béja,Beja,TN-31,governorate,,104.8,,,4,Africa/Tunis,FALSE,1788482597
Majoura,Majoura,Dechret Majoura|Mājūrah,34.6609,9.2407,Tunisia,TN,TUN,Gafsa,Gafsa,TN-71,governorate,,52.1,,,4,Africa/Tunis,FALSE,1788979745
Dar Khalifa Ben Hassene,Dar Khalifa Ben Hassene,,36.8872,10.8992,Tunisia,TN,TUN,Nabeul,Nabeul,TN-21,governorate,,124.2,,,4,Africa/Tunis,FALSE,1788710752
El Alem,El Alem,Al ‘Ālim,35.9084,10.0581,Tunisia,TN,TUN,Kairouan,Kairouan,TN-41,governorate,,73.9,,,4,Africa/Tunis,FALSE,1788296061
Barkouk,Barkouk,Barqūq,33.8508,10.8519,Tunisia,TN,TUN,Médenine,Medenine,TN-82,governorate,,487.3,,,3,Africa/Tunis,FALSE,1788592165
El Bekakcha,El Bekakcha,Al Bakākishah,36.8333,10.6500,Tunisia,TN,TUN,Nabeul,Nabeul,TN-21,governorate,,88.6,,,4,Africa/Tunis,FALSE,1788131419
Borj el Hafsia,Borj el Hafsia,Bordj el Hafsia|Burj al Ḩafşīyah,36.7319,9.9275,Tunisia,TN,TUN,Manouba,Manouba,TN-14,governorate,,198.2,,,4,Africa/Tunis,FALSE,1788133590
Douar Douaouda,Douar Douaouda,Douar Zouaouda|Dawwār ad Dawāwidah,35.7316,9.4598,Tunisia,TN,TUN,Siliana,Siliana,TN-34,governorate,,36.2,,,4,Africa/Tunis,FALSE,1788424043
Ousseltia Ouled Rabat,Ousseltia Ouled Rabat,,35.5975,9.5828,Tunisia,TN,TUN,Kairouan,Kairouan,TN-41,governorate,,71.5,,,4,Africa/Tunis,FALSE,1788878612
Dar Bou Zid,Dar Bou Zid,Dār Bū Zayd,35.8333,8.4667,Tunisia,TN,TUN,Kef,Kef,TN-33,governorate,,28.5,,,4,Africa/Tunis,FALSE,1788888027
Bordj el Amri,Bordj el Amri,Burj al Amri,36.7028,9.8878,Tunisia,TN,TUN,Manouba,Manouba,TN-14,governorate,,160.8,,,4,Africa/Tunis,FALSE,1788633973
El Hammam,El Hammam,Bulla Reggia,36.5586,8.7539,Tunisia,TN,TUN,Jendouba,Jendouba,TN-32,governorate,,134.7,,,4,Africa/Tunis,FALSE,1788283656
Telmine,Telmine,Talmīn|Telemine,33.7166,8.9195,Tunisia,TN,TUN,Kébili,Kebili,TN-73,governorate,,46.8,,,4,Africa/Tunis,FALSE,1788758087
Borj el Kherba,Borj el Kherba,Bordj el Kherba|Burj al Khirbah|Bordj el Krerba,37.0581,9.7597,Tunisia,TN,TUN,Bizerte,Bizerte,TN-23,governorate,,111.2,,,4,Africa/Tunis,FALSE,1788933755
Dar el Haj Ali,Dar el Haj Ali,Dar el Hadj Ali,36.9258,10.8908,Tunisia,TN,TUN,Nabeul,Nabeul,TN-21,governorate,,124.2,,,4,Africa/Tunis,FALSE,1788925997
Douar Oulad Salah,Douar Oulad Salah,,34.8356,10.4900,Tunisia,TN,TUN,Sfax,Sfax,TN-61,governorate,,46.9,,,4,Africa/Tunis,FALSE,1788011374
Ez Zaouaoudi,Ez Zaouaoudi,,36.0442,10.3342,Tunisia,TN,TUN,Sousse,Sousse,TN-51,governorate,,137.7,,,4,Africa/Tunis,FALSE,1788100915
Beni Aïchoun,Beni Aichoun,Beni Aïchoum|Ben Aichoun|Beni-Aychoun|Banī ‘Ayshūn,36.5759,10.8416,Tunisia,TN,TUN,Nabeul,Nabeul,TN-21,governorate,,358.1,,,3,Africa/Tunis,FALSE,1788193149
Sidi Ali el Hattab,Sidi Ali el Hattab,Sīdī ‘Alī al Ḩaţţāb,36.7544,9.9679,Tunisia,TN,TUN,Manouba,Manouba,TN-14,governorate,,198.2,,,4,Africa/Tunis,FALSE,1788241362
Douar Cheikh Amar,Douar Cheikh Amar,,36.8667,10.9106,Tunisia,TN,TUN,Nabeul,Nabeul,TN-21,governorate,,284.0,,,3,Africa/Tunis,FALSE,1788816503
Massicault,Massicault,,36.7134,9.8854,Tunisia,TN,TUN,Manouba,Manouba,TN-14,governorate,,198.2,,,4,Africa/Tunis,FALSE,1788355720
Bergoug,Bergoug,Barqūq,33.4167,10.1333,Tunisia,TN,TUN,Gabès,Gabes,TN-81,governorate,,67.8,,,4,Africa/Tunis,FALSE,1788796516
Hennchir Ben Khalladia,Hennchir Ben Khalladia,Hanshīr Bin Khallādīyah,36.6000,9.2833,Tunisia,TN,TUN,Béja,Beja,TN-31,governorate,,57.2,,,4,Africa/Tunis,FALSE,1788076788
Douar Oulad Abbas,Douar Oulad Abbas,Dawwār Awlād ‘Abbās,35.3758,9.4972,Tunisia,TN,TUN,Kairouan,Kairouan,TN-41,governorate,,62.4,,,4,Africa/Tunis,FALSE,1788349147
Khannguet el Hajaj,Khannguet el Hajaj,Khanqat al Ḩājjāj|Khanguet el Hadjadj|Khannguet el Hadjadj,36.6174,10.4057,Tunisia,TN,TUN,Nabeul,Nabeul,TN-21,governorate,,249.9,,,3,Africa/Tunis,FALSE,1788062328
Ouallarh,Ouallarh,,33.8167,10.8833,Tunisia,TN,TUN,Médenine,Medenine,TN-82,governorate,,487.3,,,3,Africa/Tunis,FALSE,1788611182
Douar Guerfdjana,Douar Guerfdjana,Dawwār Guerfdjana,36.9333,10.0167,Tunisia,TN,TUN,Bizerte,Bizerte,TN-23,governorate,,280.2,,,3,Africa/Tunis,FALSE,1788362504
Dar el Bey,Dar el Bey,,36.8125,10.3044,Tunisia,TN,TUN,Tunis,Tunis,TN-11,governorate,,4088.5,,,2,Africa/Tunis,FALSE,1788804136
Ghidmah,Ghidmah,Rhibma|Rhidma,33.4269,8.8179,Tunisia,TN,TUN,Kébili,Kebili,TN-73,governorate,,2.8,,,5,Africa/Tunis,FALSE,1788006810
