city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Tunis,Tunis,Tunis-Ville|Tunisi|Tunes|Tunez|Tūnis,36.8064,10.1817,Tunisia,TN,TUN,Tunis,Tunis,TN-11,governorate,primary,2833.8,602560,602560,1,Africa/Tunis,FALSE,1788742103
"Sidi Bouzid","Sidi Bouzid","Sidi Bou Zid|Gammouda|Qamūdah|Sīdī Bū Zayd",35.0381,9.4858,Tunisia,TN,TUN,"Sidi Bouzid","Sidi Bouzid",TN-43,governorate,admin,183.7,429912,429912,2,Africa/Tunis,FALSE,1788196439
Sfax,Sfax,Taparura|Şafāqis,34.7400,10.7600,Tunisia,TN,TUN,Sfax,Sfax,TN-61,governorate,admin,4734.5,265131,265131,2,Africa/Tunis,FALSE,1788741658
Sousse,Sousse,Soussa|Susa|Sousa|Hadrumetum|Souse|Sūsah,35.8333,10.6333,Tunisia,TN,TUN,Sousse,Sousse,TN-51,governorate,admin,246.0,221530,221530,2,Africa/Tunis,FALSE,1788927583
Kairouan,Kairouan,"Qairwan|Al-Kayrawān|Qairouan|Kairwan|Al Qayrawān",35.6772,10.1008,Tunisia,TN,TUN,Kairouan,Kairouan,TN-41,governorate,admin,181.7,186653,186653,2,Africa/Tunis,FALSE,1788844707
Métouia,Metouia,"La Méthouïa|M’tuia|Methouïa|Al Maţwīyah",33.9667,10.0000,Tunisia,TN,TUN,Gabès,Gabes,TN-81,governorate,,68.0,170000,170000,2,Africa/Tunis,FALSE,1788442482
Kebili,Kebili,Qibilī,33.7050,8.9650,Tunisia,TN,TUN,Kébili,Kebili,TN-73,governorate,admin,27.2,163257,163257,2,Africa/Tunis,FALSE,1788285135
Sukrah,Sukrah,"La Soukra|Soukra",36.8833,10.2500,Tunisia,TN,TUN,L’Ariana,L'Ariana,TN-12,governorate,,6010.9,129693,129693,2,Africa/Tunis,FALSE,1788614141
Gabès,Gabes,Qabes|Abes|Kābis|Tacapae|Tacape|Qābis|Gābis,33.8833,10.1167,Tunisia,TN,TUN,Gabès,Gabes,TN-81,governorate,admin,2685.5,116323,116323,2,Africa/Tunis,FALSE,1788064276
Ariana,Ariana,"L’Ariana|El Ariana|Aryānah",36.8625,10.1956,Tunisia,TN,TUN,L’Ariana,L'Ariana,TN-12,governorate,admin,636.0,114486,114486,2,Africa/Tunis,FALSE,1788682546
"Sakiet ed Daier","Sakiet ed Daier","Sakiet ed Daïr|Sāqiyat ad Dā’ir",34.8000,10.7800,Tunisia,TN,TUN,Sfax,Sfax,TN-61,governorate,,1139.4,113776,113776,2,Africa/Tunis,FALSE,1788449518
Gafsa,Gafsa,Kafsa|Justiniania|Capsa|Gafso|Qafşah|Gafşah,34.4225,8.7842,Tunisia,TN,TUN,Gafsa,Gafsa,TN-71,governorate,admin,138.7,111170,111170,2,Africa/Tunis,FALSE,1788454569
Msaken,Msaken,Msaker|Masākin,35.7333,10.5833,Tunisia,TN,TUN,Sousse,Sousse,TN-51,governorate,,296.4,110000,110000,2,Africa/Tunis,FALSE,1788688595
Medenine,Medenine,Médenine|Madanīn,33.3547,10.5053,Tunisia,TN,TUN,Médenine,Medenine,TN-82,governorate,admin,125.2,109409,109409,2,Africa/Tunis,FALSE,1788240639
Béja,Beja,Bedja|Bājah,36.7333,9.1833,Tunisia,TN,TUN,Béja,Beja,TN-31,governorate,admin,170.0,109299,109299,2,Africa/Tunis,FALSE,1788225711
Kasserine,Kasserine,"Qasserine|Kasserin|Al Qaşrayn",35.1667,8.8333,Tunisia,TN,TUN,Kasserine,Kasserine,TN-42,governorate,admin,718.4,108794,108794,2,Africa/Tunis,FALSE,1788047794
Radès,Rades,Rādis|Maxula-Radès|Maxula,36.7667,10.2833,Tunisia,TN,TUN,"Ben Arous","Ben Arous",TN-13,governorate,,3673.4,97588,97588,2,Africa/Tunis,FALSE,1788930929
Hammamet,Hammamet,"Al Ḩammāmāt",36.4000,10.6167,Tunisia,TN,TUN,Nabeul,Nabeul,TN-21,governorate,,308.3,97579,97579,3,Africa/Tunis,FALSE,1788426798
Tataouine,Tataouine,"Fum Taţāwīn|Fumm Tattauin|Tatahouïne|Foum Tatahouine|Foum Tataouine|Taţāwīn",32.9306,10.4500,Tunisia,TN,TUN,Tataouine,Tataouine,TN-83,governorate,admin,12.5,95775,95775,2,Africa/Tunis,FALSE,1788300169
Monastir,Monastir,"El Menstir|Ruspina|Hadrumetum|Al Munastīr",35.7694,10.8194,Tunisia,TN,TUN,Monastir,Monastir,TN-52,governorate,admin,2015.2,93306,93306,2,Africa/Tunis,FALSE,1788553334
"La Marsa","La Marsa","Al Marsá|El Marsa",36.8764,10.3253,Tunisia,TN,TUN,Tunis,Tunis,TN-11,governorate,,3632.0,92987,92987,2,Africa/Tunis,FALSE,1788911754
"Ben Arous","Ben Arous","Fochville|Bin ‘Arūs",36.7472,10.3333,Tunisia,TN,TUN,"Ben Arous","Ben Arous",TN-13,governorate,admin,6219.1,88322,88322,2,Africa/Tunis,FALSE,1788439087
"Sakiet ez Zit","Sakiet ez Zit","Sāqiyat az Zayt",34.8000,10.7700,Tunisia,TN,TUN,Sfax,Sfax,TN-61,governorate,,1099.7,87512,87512,3,Africa/Tunis,FALSE,1788542455
Zarzis,Zarzis,Zarzia|Jarjīs,33.5000,11.1167,Tunisia,TN,TUN,Médenine,Medenine,TN-82,governorate,,235.3,80000,80000,3,Africa/Tunis,FALSE,1788933524
"Ben Gardane","Ben Gardane","Ben Gardan|Ben-Gardán|Bin Qirdān",33.1389,11.2167,Tunisia,TN,TUN,Médenine,Medenine,TN-82,governorate,,17.9,79912,79912,3,Africa/Tunis,FALSE,1788380441
Mahdia,Mahdia,"Mehdia|Madhia|Africa|Zella|Mahedia|Al Mahdīyah",35.5000,11.0667,Tunisia,TN,TUN,Mahdia,Mahdia,TN-53,governorate,admin,123.3,79545,79545,2,Africa/Tunis,FALSE,1788440786
"Houmt Souk","Houmt Souk","Humt-Suk|Humk-Suk|Houmt Souq|Houmet Es Souk|Djerba|Houmet Essouk|Ḩawmat as Sūq",33.8667,10.8500,Tunisia,TN,TUN,Médenine,Medenine,TN-82,governorate,,487.3,75904,75904,3,Africa/Tunis,FALSE,1788550812
