city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
"Grand Turk","Grand Turk","Cockburn Town",21.4590,-71.1390,"Turks and Caicos Islands",TC,TCA,,,,,primary,212.8,3700,3700,1,America/Grand_Turk,FALSE,1796965313
Wheeland,Wheeland,,21.8489,-72.3200,"Turks and Caicos Islands",TC,TCA,,,,,,119.8,3210,3210,4,America/Grand_Turk,FALSE,1796969607
"Cockburn Harbour","Cockburn Harbour",,21.4833,-71.5333,"Turks and Caicos Islands",TC,TCA,,,,,,53.2,811,811,4,America/Grand_Turk,FALSE,1796302807
"The Bight Settlements","The Bight Settlements","The Bight",21.7796,-72.2042,"Turks and Caicos Islands",TC,TCA,,,,,,569.8,,,3,America/Grand_Turk,FALSE,1796923057
"Palm Grove","Palm Grove",,21.4521,-71.1435,"Turks and Caicos Islands",TC,TCA,,,,,,979.4,,,3,America/Grand_Turk,FALSE,1796685414
Kew,Kew,,21.9134,-71.9927,"Turks and Caicos Islands",TC,TCA,,,,,,5.2,,,5,America/Grand_Turk,FALSE,1796976942
"Conch Bar","Conch Bar",,21.8297,-71.8009,"Turks and Caicos Islands",TC,TCA,,,,,,0.4,,,5,America/Grand_Turk,FALSE,1796129521
"Major Hill","Major Hill",,21.9180,-71.9225,"Turks and Caicos Islands",TC,TCA,,,,,,5.2,,,5,America/Grand_Turk,FALSE,1796032829
"The Pillory","The Pillory",,21.4809,-71.1486,"Turks and Caicos Islands",TC,TCA,,,,,,954.7,,,3,America/Grand_Turk,FALSE,1796496698
"South Windsor","South Windsor",,21.8837,-71.9178,"Turks and Caicos Islands",TC,TCA,,,,,,5.2,,,5,America/Grand_Turk,FALSE,1796081931
"Balfour Town","Balfour Town",,21.3268,-71.2151,"Turks and Caicos Islands",TC,TCA,,,,,,13.6,,,4,America/Grand_Turk,FALSE,1796917098
"Sandy Point","Sandy Point",,21.9393,-72.0380,"Turks and Caicos Islands",TC,TCA,,,,,,5.2,,,5,America/Grand_Turk,FALSE,1796661921
"High Rock","High Rock",,21.7972,-72.2673,"Turks and Caicos Islands",TC,TCA,,,,,,1373.1,,,3,America/Grand_Turk,FALSE,1796376769
