city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Funafuti,Funafuti,Fongafale,-8.5167,179.2000,Tuvalu,TV,TUV,Funafuti,Funafuti,TV-FUN,"town council",primary,2510.4,6025,6025,1,Pacific/Funafuti,FALSE,1798251391
Tonga,Tonga,,-6.2833,176.3167,Tuvalu,TV,TUV,Nanumaga,Nanumaga,TV-NMG,"island council",,207.0,236,236,3,Pacific/Funafuti,FALSE,1798633999
Tanrake,Tanrake,Tapotali,-7.2458,177.1470,Tuvalu,TV,TUV,Nui,Nui,TV-NUI,"island council",,749.2,221,221,3,Pacific/Funafuti,FALSE,1798395199
Muli,Muli,,-7.4667,178.6667,Tuvalu,TV,TUV,Vaitupu,Vaitupu,TV-VAI,"island council",,16.9,,,4,Pacific/Funafuti,FALSE,1798047197
Potufale,Potufale,Polufale,-7.4667,178.6833,Tuvalu,TV,TUV,Vaitupu,Vaitupu,TV-VAI,"island council",,13.7,,,4,Pacific/Funafuti,FALSE,1798672466
Saniuta,Saniuta,,-7.4833,178.7000,Tuvalu,TV,TUV,Vaitupu,Vaitupu,TV-VAI,"island council",,868.2,,,3,Pacific/Funafuti,FALSE,1798666181
Matagi,Matagi,,-7.4667,178.7000,Tuvalu,TV,TUV,Vaitupu,Vaitupu,TV-VAI,"island council",,43.9,,,4,Pacific/Funafuti,FALSE,1798621821
Asau,Asau,,-7.5000,178.6667,Tuvalu,TV,TUV,Vaitupu,Vaitupu,TV-VAI,"island council",,868.2,,,3,Pacific/Funafuti,FALSE,1798062554
Lolua,Lolua,,-5.6667,176.1333,Tuvalu,TV,TUV,Nanumea,Nanumea,TV-NMA,"island council",,14.3,,,4,Pacific/Funafuti,FALSE,1798332714
Kulia,Kulia,,-6.1167,177.2833,Tuvalu,TV,TUV,Niutao,Niutao,TV-NIT,"island council",,0,,,5,Pacific/Funafuti,FALSE,1798738003
"Fenua Tapu","Fenua Tapu",,-7.2444,177.1460,Tuvalu,TV,TUV,Nui,Nui,TV-NUI,"island council",,749.2,,,3,Pacific/Funafuti,FALSE,1798915649
Vaitupu,Vaitupu,,-7.4891,178.6796,Tuvalu,TV,TUV,Vaitupu,Vaitupu,TV-VAI,"island council",,1316.9,,,3,Pacific/Funafuti,FALSE,1798723211
