city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Alerek,Alerek,,2.8050,33.7639,Uganda,UG,UGA,Abim,Abim,UG-314,district,,20.3,,,4,Africa/Kampala,FALSE,1800095105
Kamugoya,Kamugoya,,1.2500,33.2833,Uganda,UG,UGA,Buyende,Buyende,UG-226,district,,337.3,,,3,Africa/Kampala,FALSE,1800368688
Lwamahunga,Lwamahunga,,0.7412,30.4587,Uganda,UG,UGA,Kyenjojo,Kyenjojo,UG-415,district,,208.2,,,3,Africa/Kampala,FALSE,1800098330
Katugo,Katugo,,1.7819,31.7639,Uganda,UG,UGA,Masindi,Masindi,UG-409,district,,101.6,,,4,Africa/Kampala,FALSE,1800458702
Katugo,Katugo,,1.6327,31.4621,Uganda,UG,UGA,Masindi,Masindi,UG-409,district,,45.0,,,4,Africa/Kampala,TRUE,1800759463
Rugwing,Rugwing,,0.7435,34.0987,Uganda,UG,UGA,Tororo,Tororo,UG-212,district,,633.7,,,3,Africa/Kampala,FALSE,1800879562
Pabongo,Pabongo,,1.9332,31.7119,Uganda,UG,UGA,Masindi,Masindi,UG-409,district,,101.6,,,4,Africa/Kampala,FALSE,1800057655
Kakungumaire,Kakungumaire,,1.5821,32.0917,Uganda,UG,UGA,Nakasongola,Nakasongola,UG-109,district,,36.7,,,4,Africa/Kampala,FALSE,1800905072
Buwangolo,Buwangolo,,0.9564,34.1532,Uganda,UG,UGA,Mbale,Mbale,UG-209,district,,680.9,,,3,Africa/Kampala,FALSE,1800470858
Doya,Doya,Ndoya,1.6333,33.0667,Uganda,UG,UGA,Kaberamaido,Kaberamaido,UG-213,district,,183.5,,,4,Africa/Kampala,FALSE,1800620740
Loyoro,Loyoro,,3.3456,34.2802,Uganda,UG,UGA,Kaabong,Kaabong,UG-318,district,,2.5,,,5,Africa/Kampala,FALSE,1800310255
Orungo,Orungo,,2.0161,33.4572,Uganda,UG,UGA,Amuria,Amuria,UG-216,district,,187.8,,,4,Africa/Kampala,FALSE,1800558197
