city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Lyman,Lyman,Liman,48.4097,36.8614,Ukraine,UA,UKR,Donetska Oblast,Donetska Oblast,UA-14,province,,15.9,,,4,Europe/Kyiv,TRUE,1804804786
Hihant,Hihant,Gigant|Konstantinopol’ Nomer Vtoroy,47.9292,37.1614,Ukraine,UA,UKR,Donetska Oblast,Donetska Oblast,UA-14,province,,58.2,,,4,Europe/Kyiv,FALSE,1804536546
Surovtsivka,Surovtsivka,Surovtsevka,49.1094,38.3369,Ukraine,UA,UKR,Luhanska Oblast,Luhanska Oblast,UA-09,province,,22.8,,,4,Europe/Kyiv,FALSE,1804835880
Dmytrivka,Dmytrivka,Dmitrovka,50.3874,35.5717,Ukraine,UA,UKR,Sumska Oblast,Sumska Oblast,UA-59,province,,21.1,,,4,Europe/Kyiv,FALSE,1804657210
Dmytrivka,Dmytrivka,Dmitrovka|Dmitriyevka,50.7947,34.1721,Ukraine,UA,UKR,Sumska Oblast,Sumska Oblast,UA-59,province,,20.9,,,4,Europe/Kyiv,TRUE,1804295479
Dmytrivka,Dmytrivka,Dmitruvka|Dmitrovka|Dmitriyevka,50.6206,26.4675,Ukraine,UA,UKR,Rivnenska Oblast,Rivnenska Oblast,UA-56,province,,51.8,,,4,Europe/Kyiv,FALSE,1804797802
Petranka,Petranka,,48.9025,24.3035,Ukraine,UA,UKR,Ivano-Frankivska Oblast,Ivano-Frankivska Oblast,UA-26,province,,54.6,,,4,Europe/Kyiv,FALSE,1804676466
Yasna Poliana,Yasna Poliana,Mikal’china Sloboda|Mikhal’china Sloboda|Yasna Polyana,52.3088,33.2118,Ukraine,UA,UKR,Chernihivska Oblast,Chernihivska Oblast,UA-74,province,,13.3,,,4,Europe/Kyiv,FALSE,1804020107
Suliatychi,Suliatychi,Sulyatyche|Sulyatychi|Sulyatichi,49.2036,24.1272,Ukraine,UA,UKR,Lvivska Oblast,Lvivska Oblast,UA-46,province,,64.1,,,4,Europe/Kyiv,FALSE,1804811147
Dmytrivka,Dmytrivka,Dmitrovka|Novyy Lyustdorf|Novy Lyustdorf,46.7928,31.0300,Ukraine,UA,UKR,Odeska Oblast,Odeska Oblast,UA-51,province,,81.0,,,4,Europe/Kyiv,TRUE,1804646427
Ratentol,Ratentol,,47.7167,36.6333,Ukraine,UA,UKR,Zaporizka Oblast,Zaporizka Oblast,UA-23,province,,18.6,,,4,Europe/Kyiv,FALSE,1804651711
Dubnyaky,Dubnyaky,Dubnyaki,51.2608,26.6892,Ukraine,UA,UKR,Rivnenska Oblast,Rivnenska Oblast,UA-56,province,,54.1,,,4,Europe/Kyiv,FALSE,1804977927
Bratenytsia,Bratenytsia,Bratenitsa|Bratenytsya,50.2801,35.6811,Ukraine,UA,UKR,Kharkivska Oblast,Kharkivska Oblast,UA-63,province,,31.8,,,4,Europe/Kyiv,FALSE,1804521166
Ostriv,Ostriv,Ostrov,51.2928,28.8022,Ukraine,UA,UKR,Zhytomyrska Oblast,Zhytomyrska Oblast,UA-18,province,,17.5,,,4,Europe/Kyiv,FALSE,1804189370
Ustymivka,Ustymivka,Ustinovka,49.9643,30.0198,Ukraine,UA,UKR,Kyivska Oblast,Kyivska Oblast,UA-32,province,,43.9,,,4,Europe/Kyiv,FALSE,1804000324
Volya-Kholoyevskaya,Volya-Kholoyevskaya,Volya Kholoyevska|Wola Chołojowska,50.2000,24.5167,Ukraine,UA,UKR,Lvivska Oblast,Lvivska Oblast,UA-46,province,,62.5,,,4,Europe/Kyiv,FALSE,1804809743
Vysokaya Pech’,Vysokaya Pech',,51.3833,29.1667,Ukraine,UA,UKR,Zhytomyrska Oblast,Zhytomyrska Oblast,UA-18,province,,17.5,,,4,Europe/Kyiv,FALSE,1804044551
