city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Rhu,Rhu,,55.8167,-5.4500,United Kingdom,GB,GBR,Argyll and Bute,Argyll and Bute,GB-AGB,council area,,3.7,,,5,Europe/London,TRUE,1826560944
Highbray,Highbray,,51.0929,-3.8706,United Kingdom,GB,GBR,Devon,Devon,GB-DEV,county,,16.9,,,3,Europe/London,FALSE,1826666280
Llanrhidian,Llanrhidian,,51.6064,-4.1703,United Kingdom,GB,GBR,Swansea,Swansea,GB-SWA,unitary authority,,133.8,,,4,Europe/London,FALSE,1826057871
South Tidworth,South Tidworth,,51.2167,-1.6500,United Kingdom,GB,GBR,Wiltshire,Wiltshire,GB-WIL,unitary authority,,80.8,,,4,Europe/London,FALSE,1826511089
Clynekirkton,Clynekirkton,Clyne,58.0333,-3.8833,United Kingdom,GB,GBR,Highland,Highland,GB-HLD,council area,,11.9,,,4,Europe/London,FALSE,1826257355
Bents,Bents,,55.8333,-3.6500,United Kingdom,GB,GBR,West Lothian,West Lothian,GB-WLN,council area,,25.5,,,4,Europe/London,FALSE,1826153805
Hillend Reservoir,Hillend Reservoir,,55.8833,-3.8667,United Kingdom,GB,GBR,North Lanarkshire,North Lanarkshire,GB-NLK,council area,,10.1,,,4,Europe/London,FALSE,1826827263
Snave,Snave,,51.0340,0.8695,United Kingdom,GB,GBR,Kent,Kent,GB-KEN,county,,32.2,,,4,Europe/London,FALSE,1826859532
Carleen,Carleen,,50.1200,-5.3400,United Kingdom,GB,GBR,Cornwall,Cornwall,GB-CON,unitary authority,,119.9,,,4,Europe/London,FALSE,1826899149
Kilcoo,Kilcoo,,54.2167,-6.0333,United Kingdom,GB,GBR,"Newry, Mourne and Down","Newry, Mourne and Down",GB-NMD,district,,23.7,,,3,Europe/London,FALSE,1826264886
Craggie,Craggie,,57.4167,-4.1333,United Kingdom,GB,GBR,Highland,Highland,GB-HLD,council area,,11.2,,,4,Europe/London,FALSE,1826028160
Corby,Corby,,52.8000,-0.5167,United Kingdom,GB,GBR,Lincolnshire,Lincolnshire,GB-LIN,county,,53.7,,,4,Europe/London,FALSE,1826407297
Chetwynd,Chetwynd,,52.7833,-2.4000,United Kingdom,GB,GBR,Telford and Wrekin,Telford and Wrekin,GB-TFW,unitary authority,,34.2,,,4,Europe/London,FALSE,1826684707
Craigavon,Craigavon,,54.4497,-6.3646,United Kingdom,GB,GBR,"Armagh City, Banbridge and Craigavon","Armagh City, Banbridge and Craigavon",GB-ABC,district,,1514.9,,,3,Europe/London,FALSE,1826678234
Brancepeth,Brancepeth,,54.7333,-1.6500,United Kingdom,GB,GBR,Durham,Durham,GB-DUR,unitary authority,,28.6,,,3,Europe/London,FALSE,1826139537
Tyberton,Tyberton,,52.0500,-2.9000,United Kingdom,GB,GBR,Herefordshire,Herefordshire,GB-HEF,unitary authority,,25.2,,,4,Europe/London,FALSE,1826479653
Rowardennan,Rowardennan,,56.1553,-4.6420,United Kingdom,GB,GBR,Stirling,Stirling,GB-STG,council area,,0.6,,,5,Europe/London,FALSE,1826620357
Stanford on Avon,Stanford on Avon,Stanford,52.4023,-1.1348,United Kingdom,GB,GBR,Northamptonshire,Northamptonshire,GB-NTH,county,,11.3,,,3,Europe/London,FALSE,1826000066
Drumclog,Drumclog,,55.6245,-4.1618,United Kingdom,GB,GBR,South Lanarkshire,South Lanarkshire,GB-SLK,council area,,40.8,,,3,Europe/London,FALSE,1826160026
Panteg,Panteg,,51.9742,-5.0214,United Kingdom,GB,GBR,Pembrokeshire,Pembrokeshire,GB-PEM,unitary authority,,25.6,,,4,Europe/London,FALSE,1826776047
Froghall,Froghall,,53.0220,-1.9650,United Kingdom,GB,GBR,Staffordshire,Staffordshire,GB-STS,county,,265.0,,,3,Europe/London,FALSE,1826967745
Bankhead,Bankhead,,57.1833,-2.1833,United Kingdom,GB,GBR,Aberdeen City,Aberdeen City,GB-ABE,council area,,2390.9,,,2,Europe/London,FALSE,1826294053
Birley,Birley,,52.3180,-2.9310,United Kingdom,GB,GBR,Herefordshire,Herefordshire,GB-HEF,unitary authority,,38.7,,,4,Europe/London,FALSE,1826848423
Kilournan,Kilournan,,58.1333,-3.8167,United Kingdom,GB,GBR,Highland,Highland,GB-HLD,council area,,1.1,,,5,Europe/London,FALSE,1826903947
Bratton,Bratton,,51.2042,-3.5094,United Kingdom,GB,GBR,Somerset,Somerset,GB-SOM,county,,14.2,,,4,Europe/London,FALSE,1826438040
Rotsea,Rotsea,,53.9512,-0.3785,United Kingdom,GB,GBR,East Riding of Yorkshire,East Riding of Yorkshire,GB-ERY,unitary authority,,26.9,,,3,Europe/London,FALSE,1826845790
Martinhoe,Martinhoe,,51.2216,-3.9098,United Kingdom,GB,GBR,Devon,Devon,GB-DEV,county,,10.0,,,5,Europe/London,FALSE,1826990569
Kingskerswell,Kingskerswell,,50.4960,-3.5722,United Kingdom,GB,GBR,Devon,Devon,GB-DEV,county,,2681.0,,,2,Europe/London,FALSE,1826446940
Carnbrea,Carnbrea,,50.2167,-5.2333,United Kingdom,GB,GBR,Cornwall,Cornwall,GB-CON,unitary authority,,223.1,,,3,Europe/London,FALSE,1826677118
Risley,Risley,,53.4297,-2.5219,United Kingdom,GB,GBR,Warrington,Warrington,GB-WRT,unitary authority,,3853.6,,,2,Europe/London,FALSE,1826542052
Kinloch,Kinloch,,56.5167,-3.8333,United Kingdom,GB,GBR,Perth and Kinross,Perth and Kinross,GB-PKN,council area,,1.2,,,5,Europe/London,FALSE,1826069345
Logie,Logie,,56.3722,-2.9667,United Kingdom,GB,GBR,Fife,Fife,GB-FIF,council area,,13.3,,,3,Europe/London,FALSE,1826714523
Inkhorn,Inkhorn,,57.4333,-2.1333,United Kingdom,GB,GBR,Aberdeenshire,Aberdeenshire,GB-ABD,council area,,18.7,,,4,Europe/London,FALSE,1826332035
Cleadale,Cleadale,,56.9196,-6.1493,United Kingdom,GB,GBR,Highland,Highland,GB-HLD,council area,,1.1,,,5,Europe/London,FALSE,1826901669
Cairndow,Cairndow,,56.2548,-4.9379,United Kingdom,GB,GBR,Argyll and Bute,Argyll and Bute,GB-AGB,council area,,1.1,,,3,Europe/London,FALSE,1826305842
Ballochroy,Ballochroy,,55.7000,-5.6167,United Kingdom,GB,GBR,Argyll and Bute,Argyll and Bute,GB-AGB,council area,,1.2,,,5,Europe/London,FALSE,1826634880
Steens Bridge,Steens Bridge,,52.2167,-2.6667,United Kingdom,GB,GBR,Herefordshire,Herefordshire,GB-HEF,unitary authority,,32.8,,,4,Europe/London,FALSE,1826855158
Llanglydwen,Llanglydwen,,51.9071,-4.6530,United Kingdom,GB,GBR,Carmarthenshire,Carmarthenshire,GB-CMN,unitary authority,,23.0,,,4,Europe/London,FALSE,1826795574
Llanfair-ar-y-bryn,Llanfair-ar-y-bryn,,52.0333,-3.7333,United Kingdom,GB,GBR,Carmarthenshire,Carmarthenshire,GB-CMN,unitary authority,,4.3,,,5,Europe/London,FALSE,1826395072
Tottington,Tottington,,52.5244,0.7919,United Kingdom,GB,GBR,Norfolk,Norfolk,GB-NFK,county,,4.4,,,3,Europe/London,FALSE,1826911923
Saxelby,Saxelby,,52.7821,-0.9636,United Kingdom,GB,GBR,Leicestershire,Leicestershire,GB-LEC,county,,550.2,,,3,Europe/London,FALSE,1826937233
Templand,Templand,,55.1625,-3.4383,United Kingdom,GB,GBR,Dumfries and Galloway,Dumfries and Galloway,GB-DGY,council area,,14.3,,,3,Europe/London,FALSE,1826715942
Colintraive,Colintraive,,55.9236,-5.1525,United Kingdom,GB,GBR,Argyll and Bute,Argyll and Bute,GB-AGB,council area,,17.8,,,3,Europe/London,FALSE,1826834814
Oragaig,Oragaig,Cragaig,55.7333,-5.4167,United Kingdom,GB,GBR,Argyll and Bute,Argyll and Bute,GB-AGB,council area,,1.0,,,5,Europe/London,FALSE,1826469877
Ughill,Ughill,Uthill,53.4102,-1.6118,United Kingdom,GB,GBR,Sheffield,Sheffield,GB-SHF,metropolitan district,,6.8,,,5,Europe/London,FALSE,1826303807
Teffont Magna,Teffont Magna,,51.0900,-2.0170,United Kingdom,GB,GBR,Wiltshire,Wiltshire,GB-WIL,unitary authority,,27.0,,,3,Europe/London,FALSE,1826121672
North Leverton,North Leverton,,53.3167,-0.8167,United Kingdom,GB,GBR,Nottinghamshire,Nottinghamshire,GB-NTT,county,,55.7,,,4,Europe/London,FALSE,1826350446
Froxfield,Froxfield,,51.0250,-0.9980,United Kingdom,GB,GBR,Hampshire,Hampshire,GB-HAM,county,,72.6,,,3,Europe/London,FALSE,1826595710
Little Hinton,Little Hinton,,51.5333,-1.6667,United Kingdom,GB,GBR,Swindon,Swindon,GB-SWD,unitary authority,,61.1,,,4,Europe/London,FALSE,1826551014
Brigham,Brigham,,53.9682,-0.3615,United Kingdom,GB,GBR,East Riding of Yorkshire,East Riding of Yorkshire,GB-ERY,unitary authority,,19.3,,,3,Europe/London,FALSE,1826746897
Mansfield Woodhouse,Mansfield Woodhouse,,53.1600,-1.1900,United Kingdom,GB,GBR,Nottinghamshire,Nottinghamshire,GB-NTT,county,,4469.0,,,2,Europe/London,FALSE,1826642886
Hale,Hale,,54.2000,-2.7600,United Kingdom,GB,GBR,Cumbria,Cumbria,GB-CMA,county,,97.9,,,4,Europe/London,TRUE,1826764196
Low Eskcleth,Low Eskcleth,Eskcleth,54.4310,-2.0060,United Kingdom,GB,GBR,North Yorkshire,North Yorkshire,GB-NYK,county,,4.3,,,3,Europe/London,FALSE,1826205147
Hesleden,Hesleden,,54.7367,-1.3150,United Kingdom,GB,GBR,Durham,Durham,GB-DUR,unitary authority,,1430.6,,,3,Europe/London,FALSE,1826410900
Dunkeld,Dunkeld,,56.5643,-3.5849,United Kingdom,GB,GBR,Perth and Kinross,Perth and Kinross,GB-PKN,council area,,42.1,,,3,Europe/London,FALSE,1826711459
Wheddon Cross,Wheddon Cross,,51.1381,-3.5406,United Kingdom,GB,GBR,Somerset,Somerset,GB-SOM,county,,12.4,,,4,Europe/London,FALSE,1826773512
Cockfield,Cockfield,,54.6129,-1.8062,United Kingdom,GB,GBR,Durham,Durham,GB-DUR,unitary authority,,137.7,,,3,Europe/London,FALSE,1826921551
Stainton le Vale,Stainton le Vale,Stainton,53.4319,-0.2343,United Kingdom,GB,GBR,Lincolnshire,Lincolnshire,GB-LIN,county,,6.9,,,3,Europe/London,FALSE,1826584553
Longford,Longford,,52.7610,-2.4060,United Kingdom,GB,GBR,Telford and Wrekin,Telford and Wrekin,GB-TFW,unitary authority,,60.8,,,3,Europe/London,FALSE,1826111088
Hucknall Torkard,Hucknall Torkard,,53.0333,-1.2000,United Kingdom,GB,GBR,Nottinghamshire,Nottinghamshire,GB-NTT,county,,4275.1,,,2,Europe/London,FALSE,1826238200
Kilmote,Kilmote,,58.0833,-3.7333,United Kingdom,GB,GBR,Highland,Highland,GB-HLD,council area,,1.1,,,5,Europe/London,FALSE,1826864731
Listooder,Listooder,,54.4000,-5.8167,United Kingdom,GB,GBR,"Newry, Mourne and Down","Newry, Mourne and Down",GB-NMD,district,,43.6,,,4,Europe/London,FALSE,1826045808
Great Hallingbury,Great Hallingbury,Hallingbury,51.8333,0.1833,United Kingdom,GB,GBR,Essex,Essex,GB-ESS,county,,448.5,,,3,Europe/London,FALSE,1826191611
Houndwood,Houndwood,,55.8667,-2.2500,United Kingdom,GB,GBR,Scottish Borders,Scottish Borders,GB-SCB,council area,,8.5,,,5,Europe/London,FALSE,1826402581
Walsden,Walsden,,53.6949,-2.1003,United Kingdom,GB,GBR,Calderdale,Calderdale,GB-CLD,metropolitan district,,458.8,,,3,Europe/London,FALSE,1826853307
Keldhead,Keldhead,Heldhead,54.6333,-2.8000,United Kingdom,GB,GBR,Cumbria,Cumbria,GB-CMA,county,,15.1,,,4,Europe/London,FALSE,1826689216
Fain,Fain,,57.7667,-5.1333,United Kingdom,GB,GBR,Highland,Highland,GB-HLD,council area,,3.7,,,5,Europe/London,FALSE,1826935477
Pren-gwyn,Pren-gwyn,,52.0735,-4.2997,United Kingdom,GB,GBR,Ceredigion,Ceredigion,GB-CGN,unitary authority,,19.2,,,3,Europe/London,FALSE,1826236065
Ford Green,Ford Green,,53.0600,-2.1500,United Kingdom,GB,GBR,Stoke-on-Trent,Stoke-on-Trent,GB-STE,unitary authority,,3130.8,,,2,Europe/London,FALSE,1826945079
Lackagh,Lackagh,Lacklagh,55.0167,-7.0333,United Kingdom,GB,GBR,Causeway Coast and Glens,Causeway Coast and Glens,GB-CCG,district,,106.1,,,4,Europe/London,FALSE,1826725628
Little Ryburgh,Little Ryburgh,,52.8158,0.9175,United Kingdom,GB,GBR,Norfolk,Norfolk,GB-NFK,county,,47.4,,,4,Europe/London,FALSE,1826178153
Horndean,Horndean,,55.7333,-2.1667,United Kingdom,GB,GBR,Scottish Borders,Scottish Borders,GB-SCB,council area,,10.5,,,4,Europe/London,FALSE,1826766320
Deptford,Deptford,,51.4780,-0.0265,United Kingdom,GB,GBR,Lewisham,Lewisham,GB-LEW,London borough,,13168.0,,,2,Europe/London,FALSE,1826977529
Wold Newton,Wold Newton,,53.4537,-0.1288,United Kingdom,GB,GBR,North East Lincolnshire,North East Lincolnshire,GB-NEL,unitary authority,,9.8,,,3,Europe/London,FALSE,1826368714
Foyle Hill,Foyle Hill,,54.9833,-7.3500,United Kingdom,GB,GBR,Derry and Strabane,Derry and Strabane,GB-DRS,district,,1538.6,,,3,Europe/London,FALSE,1826550043
Hempstead,Hempstead,,51.8500,-2.2667,United Kingdom,GB,GBR,Gloucestershire,Gloucestershire,GB-GLS,county,,566.9,,,3,Europe/London,FALSE,1826789978
Shide,Shide,,50.6920,-1.2920,United Kingdom,GB,GBR,Isle of Wight,Isle of Wight,GB-IOW,unitary authority,,47.8,,,4,Europe/London,FALSE,1826828746
Ballure,Ballure,,55.8500,-5.6333,United Kingdom,GB,GBR,Argyll and Bute,Argyll and Bute,GB-AGB,council area,,0.8,,,5,Europe/London,FALSE,1826014443
Halford,Halford,,52.4450,-2.8300,United Kingdom,GB,GBR,Shropshire,Shropshire,GB-SHR,unitary authority,,20.3,,,3,Europe/London,FALSE,1826959794
Weethley,Weethley,,52.1833,-1.9167,United Kingdom,GB,GBR,Warwickshire,Warwickshire,GB-WAR,county,,33.4,,,3,Europe/London,FALSE,1826383783
Llansaintfraed in Elvel,Llansaintfraed in Elvel,Llansaintffread,52.1821,-3.3187,United Kingdom,GB,GBR,Powys,Powys,GB-POW,unitary authority,,10.5,,,4,Europe/London,FALSE,1826601454
Glyn-Dyfrdwy,Glyn-Dyfrdwy,,52.9750,-3.2670,United Kingdom,GB,GBR,Denbighshire,Denbighshire,GB-DEN,unitary authority,,17.2,,,3,Europe/London,FALSE,1826250270
Millers Dale,Millers Dale,,53.2560,-1.7910,United Kingdom,GB,GBR,Derbyshire,Derbyshire,GB-DBY,county,,12.1,,,4,Europe/London,FALSE,1826059705
Glenurguhart,Glenurguhart,,57.6333,-4.1167,United Kingdom,GB,GBR,Highland,Highland,GB-HLD,council area,,5.0,,,5,Europe/London,FALSE,1826598246
Frithelstock,Frithelstock,,50.9465,-4.2040,United Kingdom,GB,GBR,Devon,Devon,GB-DEV,county,,25.6,,,3,Europe/London,FALSE,1826777732
Turnberry,Turnberry,,55.3333,-4.8500,United Kingdom,GB,GBR,South Ayrshire,South Ayrshire,GB-SAY,council area,,18.7,,,4,Europe/London,FALSE,1826012228
Mainstone,Mainstone,,52.4810,-3.0680,United Kingdom,GB,GBR,Shropshire,Shropshire,GB-SHR,unitary authority,,7.9,,,3,Europe/London,FALSE,1826580403
Burton,Burton,,50.7525,-1.7651,United Kingdom,GB,GBR,Dorset,Dorset,GB-DOR,county,,3335.0,,,2,Europe/London,FALSE,1826684268
Llangattock Lingoed,Llangattock Lingoed,,51.8754,-2.9287,United Kingdom,GB,GBR,Monmouthshire,Monmouthshire,GB-MON,unitary authority,,14.3,,,4,Europe/London,FALSE,1826806742
Birch,Birch,,53.5626,-2.2274,United Kingdom,GB,GBR,Rochdale,Rochdale,GB-RCH,metropolitan district,,92.2,,,4,Europe/London,FALSE,1826968074
South Dalton,South Dalton,,53.8951,-0.5309,United Kingdom,GB,GBR,East Riding of Yorkshire,East Riding of Yorkshire,GB-ERY,unitary authority,,14.7,,,3,Europe/London,FALSE,1826875717
Kinnernie,Kinnernie,,57.1667,-2.4500,United Kingdom,GB,GBR,Aberdeenshire,Aberdeenshire,GB-ABD,council area,,15.6,,,4,Europe/London,FALSE,1826071361
Stron-fearnan,Stron-fearnan,Fernan|Fearnan,56.5759,-4.0819,United Kingdom,GB,GBR,Perth and Kinross,Perth and Kinross,GB-PKN,council area,,86.2,,,3,Europe/London,FALSE,1826301764
Caputh,Caputh,,56.5431,-3.4848,United Kingdom,GB,GBR,Perth and Kinross,Perth and Kinross,GB-PKN,council area,,34.3,,,3,Europe/London,FALSE,1826769279
Summer Bridge,Summer Bridge,,54.0570,-1.6930,United Kingdom,GB,GBR,North Yorkshire,North Yorkshire,GB-NYK,county,,365.4,,,3,Europe/London,FALSE,1826527993
Llanwrin,Llanwrin,,52.6157,-3.7925,United Kingdom,GB,GBR,Powys,Powys,GB-POW,unitary authority,,9.4,,,5,Europe/London,FALSE,1826426108
Carnan,Carnan,,57.3667,-7.3500,United Kingdom,GB,GBR,Eilean Siar,Eilean Siar,GB-ELS,council area,,7.0,,,5,Europe/London,FALSE,1826698664
Milton,Milton,,50.7333,-1.6500,United Kingdom,GB,GBR,Hampshire,Hampshire,GB-HAM,county,,498.3,,,3,Europe/London,FALSE,1826986228
Uldale,Uldale,,54.7200,-3.1700,United Kingdom,GB,GBR,Cumbria,Cumbria,GB-CMA,county,,5.9,,,3,Europe/London,FALSE,1826627581
Langrick,Langrick,,53.0225,-0.1061,United Kingdom,GB,GBR,Lincolnshire,Lincolnshire,GB-LIN,county,,31.2,,,3,Europe/London,FALSE,1826958850
Little Hucklow,Little Hucklow,,53.2970,-1.7350,United Kingdom,GB,GBR,Derbyshire,Derbyshire,GB-DBY,county,,28.3,,,3,Europe/London,FALSE,1826773730
Faxton,Faxton,,52.3692,-0.8499,United Kingdom,GB,GBR,Northamptonshire,Northamptonshire,GB-NTH,county,,61.7,,,3,Europe/London,FALSE,1826445017
Morton,Morton,,52.8025,-0.3740,United Kingdom,GB,GBR,Lincolnshire,Lincolnshire,GB-LIN,county,,1671.8,,,3,Europe/London,TRUE,1826464742
Dippin,Dippin,,55.4549,-5.0945,United Kingdom,GB,GBR,North Ayrshire,North Ayrshire,GB-NAY,council area,,8.2,,,3,Europe/London,FALSE,1826775223
Bettisfield,Bettisfield,,52.9130,-2.8050,United Kingdom,GB,GBR,Wrexham,Wrexham,GB-WRX,unitary authority,,38.4,,,3,Europe/London,FALSE,1826909974
Clashnessie,Clashnessie,,58.2305,-5.3038,United Kingdom,GB,GBR,Highland,Highland,GB-HLD,council area,,2.5,,,5,Europe/London,FALSE,1826164060
Corrykinloch,Corrykinloch,,58.1833,-4.7833,United Kingdom,GB,GBR,Highland,Highland,GB-HLD,council area,,0.5,,,5,Europe/London,FALSE,1826350557
Westleigh,Westleigh,,51.0300,-4.1800,United Kingdom,GB,GBR,Devon,Devon,GB-DEV,county,,32.8,,,3,Europe/London,FALSE,1826053972
Meinciau,Meinciau,,51.7739,-4.2308,United Kingdom,GB,GBR,Carmarthenshire,Carmarthenshire,GB-CMN,unitary authority,,301.1,,,3,Europe/London,FALSE,1826057496
Mitton,Mitton,,52.7333,-2.1667,United Kingdom,GB,GBR,Staffordshire,Staffordshire,GB-STS,county,,21.3,,,4,Europe/London,FALSE,1826043868
Strachan,Strachan,,57.0205,-2.5385,United Kingdom,GB,GBR,Aberdeenshire,Aberdeenshire,GB-ABD,council area,,57.5,,,3,Europe/London,FALSE,1826962132
Skenfrith,Skenfrith,Skenfreth,51.8770,-2.7880,United Kingdom,GB,GBR,Herefordshire,Herefordshire,GB-HEF,unitary authority,,19.8,,,4,Europe/London,FALSE,1826647554
Saint Brides,Saint Brides,,51.7500,-5.1900,United Kingdom,GB,GBR,Pembrokeshire,Pembrokeshire,GB-PEM,unitary authority,,14.9,,,3,Europe/London,FALSE,1826895440
Llantrisant,Llantrisant,Llantrissent,51.6667,-2.8847,United Kingdom,GB,GBR,Monmouthshire,Monmouthshire,GB-MON,unitary authority,,45.8,,,4,Europe/London,FALSE,1826840616
Stoughton,Stoughton,,51.2333,-0.5833,United Kingdom,GB,GBR,Surrey,Surrey,GB-SRY,county,,2419.6,,,2,Europe/London,FALSE,1826329765
Cross Foxes,Cross Foxes,,52.7167,-3.8333,United Kingdom,GB,GBR,Gwynedd,Gwynedd,GB-GWN,unitary authority,,5.5,,,5,Europe/London,FALSE,1826269758
Finzean,Finzean,,57.0219,-2.6293,United Kingdom,GB,GBR,Aberdeenshire,Aberdeenshire,GB-ABD,council area,,2.9,,,3,Europe/London,FALSE,1826092666
Sandness,Sandness,,60.2994,-1.6528,United Kingdom,GB,GBR,Shetland Islands,Shetland Islands,GB-ZET,council area,,4.2,,,5,Europe/London,FALSE,1826463286
Vigo,Vigo,,52.3333,-2.0167,United Kingdom,GB,GBR,Worcestershire,Worcestershire,GB-WOR,county,,73.0,,,4,Europe/London,FALSE,1826022111
Kilverstone,Kilverstone,,52.4167,0.7833,United Kingdom,GB,GBR,Norfolk,Norfolk,GB-NFK,county,,103.3,,,4,Europe/London,FALSE,1826806777
Whetstone,Whetstone,,51.6260,-0.1715,United Kingdom,GB,GBR,Barnet,Barnet,GB-BNE,London borough,,5728.8,,,2,Europe/London,FALSE,1826034737
