city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
London,London,,51.5072,-0.1275,"United Kingdom",GB,GBR,"London, City of","London, City of",GB-LND,"city corporation",primary,6479.9,11262000,8825001,1,Europe/London,FALSE,1826645935
Birmingham,Birmingham,,52.4800,-1.9025,"United Kingdom",GB,GBR,Birmingham,Birmingham,GB-BIR,"metropolitan district",,4246.6,2919600,1137100,1,Europe/London,FALSE,1826423213
Portsmouth,Portsmouth,,50.8058,-1.0872,"United Kingdom",GB,GBR,Portsmouth,Portsmouth,GB-POR,"unitary authority",,5170,855679,248440,2,Europe/London,FALSE,1826964096
Southampton,Southampton,,50.9025,-1.4042,"United Kingdom",GB,GBR,Southampton,Southampton,GB-STH,"unitary authority",,5268.6,855569,271173,2,Europe/London,FALSE,1826602892
Leeds,Leeds,,53.7975,-1.5436,"United Kingdom",GB,GBR,Leeds,Leeds,GB-LDS,"metropolitan district",,1430.5,789194,789194,2,Europe/London,FALSE,1826343963
Nottingham,Nottingham,Nottigham,52.9561,-1.1512,"United Kingdom",GB,GBR,Nottingham,Nottingham,GB-NGM,"unitary authority",,3877.5,729977,289301,2,Europe/London,FALSE,1826122597
Bristol,Bristol,,51.4536,-2.5975,"United Kingdom",GB,GBR,"Bristol, City of","Bristol, City of",GB-BST,"unitary authority",,4310.8,707412,472465,2,Europe/London,FALSE,1826921049
Glasgow,Glasgow,,55.8611,-4.2500,"United Kingdom",GB,GBR,"Glasgow City","Glasgow City",GB-GLG,"council area",,189.9,626410,626410,2,Europe/London,FALSE,1826836462
Manchester,Manchester,,53.4790,-2.2452,"United Kingdom",GB,GBR,Manchester,Manchester,GB-MAN,"metropolitan district",,4737.3,547627,547627,2,Europe/London,FALSE,1826246335
Sheffield,Sheffield,,53.3808,-1.4703,"United Kingdom",GB,GBR,Sheffield,Sheffield,GB-SHF,"metropolitan district",,1408.1,518090,518090,2,Europe/London,FALSE,1826289852
Liverpool,Liverpool,,53.4094,-2.9785,"United Kingdom",GB,GBR,Liverpool,Liverpool,GB-LIV,"metropolitan district",,4590.9,513441,513441,2,Europe/London,FALSE,1826558678
Leicester,Leicester,Leiscester,52.6344,-1.1319,"United Kingdom",GB,GBR,Leicester,Leicester,GB-LCE,"unitary authority",,5047.8,508916,464395,2,Europe/London,FALSE,1826431946
Caerdydd,Caerdydd,Cardiff,51.4833,-3.1833,"United Kingdom",GB,GBR,Cardiff,Cardiff,GB-CRF,"unitary authority",,2576.4,488153,361469,2,Europe/London,FALSE,1826362422
Edinburgh,Edinburgh,,55.9533,-3.1892,"United Kingdom",GB,GBR,"Edinburgh, City of","Edinburgh, City of",GB-EDH,"council area",,1884.4,488050,488050,2,Europe/London,FALSE,1826492520
Worthing,Worthing,,50.8147,-0.3714,"United Kingdom",GB,GBR,"West Sussex","West Sussex",GB-WSX,county,,3359.6,474485,109120,2,Europe/London,FALSE,1826936965
Stoke-on-Trent,Stoke-on-Trent,Stoke-upon-Trent|Stoke,53.0000,-2.1833,"United Kingdom",GB,GBR,Stoke-on-Trent,Stoke-on-Trent,GB-STE,"unitary authority",,2685.0,372775,249008,2,Europe/London,FALSE,1826799578
