city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Marietta,Marietta,,33.7007,-87.3939,United States,US,USA,Alabama,Alabama,US-AL,state,,0.3,,,5,America/Chicago,FALSE,1840041390
Forest Grove Station,Forest Grove Station,,42.8111,-85.8817,United States,US,USA,Michigan,Michigan,US-MI,state,,78.7,,,4,America/Detroit,FALSE,1840070755
Whitworth,Whitworth,,34.4840,-83.0949,United States,US,USA,Georgia,Georgia,US-GA,state,,154.3,,,4,America/New_York,FALSE,1840048537
ʻUmikoa,`Umikoa,,19.9795,-155.3825,United States,US,USA,Hawaii,Hawaii,US-HI,state,,10.4,,,4,Pacific/Honolulu,FALSE,1840050210
Marley Mill,Marley Mill,,31.4929,-85.6958,United States,US,USA,Alabama,Alabama,US-AL,state,,18.4,,,4,America/Chicago,FALSE,1840041392
Whitney,Whitney,,33.7223,-83.7118,United States,US,USA,Georgia,Georgia,US-GA,state,,31.7,,,4,America/New_York,FALSE,1840048536
Redwood,Redwood,,29.8100,-97.9103,United States,US,USA,Texas,Texas,US-TX,state,,205.1,3423,3423,3,America/Chicago,FALSE,1840019638
Garrard,Garrard,,37.1237,-83.7463,United States,US,USA,Kentucky,Kentucky,US-KY,state,,18.1,,,4,America/New_York,FALSE,1840062802
Gates,Gates,,38.2340,-83.3666,United States,US,USA,Kentucky,Kentucky,US-KY,state,,100.0,,,4,America/New_York,FALSE,1840062803
Gatliff,Gatliff,,36.6818,-84.0263,United States,US,USA,Kentucky,Kentucky,US-KY,state,,12.7,,,4,America/New_York,FALSE,1840030749
Garland Village,Garland Village,,44.8595,-84.3031,United States,US,USA,Michigan,Michigan,US-MI,state,,29.3,,,4,America/Detroit,FALSE,1840127406
Canawaugus,Canawaugus,,42.9270,-77.7794,United States,US,USA,New York,New York,US-NY,state,,81.9,,,4,America/New_York,FALSE,1840083193
Kyleville,Kyleville,,39.8187,-76.3872,United States,US,USA,Pennsylvania,Pennsylvania,US-PA,state,,95.5,,,4,America/New_York,FALSE,1840100010
Forest Grove,Forest Grove,,42.7967,-85.8617,United States,US,USA,Michigan,Michigan,US-MI,state,,90.3,,,4,America/Detroit,FALSE,1840070754
Menomonee Falls,Menomonee Falls,,43.1487,-88.1227,United States,US,USA,Wisconsin,Wisconsin,US-WI,state,,453.0,38610,38610,3,America/Chicago,FALSE,1840003020
Menomonie,Menomonie,,44.8893,-91.9084,United States,US,USA,Wisconsin,Wisconsin,US-WI,state,,466.5,16563,16563,3,America/Chicago,FALSE,1840037988
Catalpa,Catalpa,,35.6915,-93.5266,United States,US,USA,Arkansas,Arkansas,US-AR,state,,25.5,,,4,America/Chicago,FALSE,1840040070
Hills Prairie,Hills Prairie,,30.0516,-97.2919,United States,US,USA,Texas,Texas,US-TX,state,,3.2,,,5,America/Chicago,FALSE,1840037029
Center Hill,Center Hill,,35.2626,-91.8840,United States,US,USA,Arkansas,Arkansas,US-AR,state,,50.7,,,4,America/Chicago,FALSE,1840003886
Cedarville,Cedarville,,35.5830,-94.3615,United States,US,USA,Arkansas,Arkansas,US-AR,state,,71.0,1548,1548,3,America/Chicago,FALSE,1840014536
Country Life Acres,Country Life Acres,,38.6223,-90.4554,United States,US,USA,Missouri,Missouri,US-MO,state,,262.3,93,93,3,America/Chicago,FALSE,1840012819
Oral,Oral,,35.8334,-84.3563,United States,US,USA,Tennessee,Tennessee,US-TN,state,,80.8,,,4,America/New_York,FALSE,1840110322
Claytonia,Claytonia,,43.5674,-116.8329,United States,US,USA,Idaho,Idaho,US-ID,state,,103.1,,,4,America/Boise,FALSE,1840050480
Concordia,Concordia,,38.9878,-93.5683,United States,US,USA,Missouri,Missouri,US-MO,state,,503.8,2390,2390,3,America/Chicago,FALSE,1840007385
Kaumalapau,Kaumalapau,,20.7870,-156.9894,United States,US,USA,Hawaii,Hawaii,US-HI,state,,0.0,,,5,Pacific/Honolulu,FALSE,1840023630
Clayton,Clayton,,44.2591,-114.3880,United States,US,USA,Idaho,Idaho,US-ID,state,,0.1,15,15,3,America/Boise,FALSE,1840018600
Wadesville,Wadesville,,39.2426,-78.0389,United States,US,USA,Virginia,Virginia,US-VA,state,,36.8,,,4,America/New_York,FALSE,1840116444
Ripley,Ripley,,34.7620,-87.1208,United States,US,USA,Alabama,Alabama,US-AL,state,,104.6,,,4,America/Chicago,FALSE,1840041615
Hagler,Hagler,,33.0340,-87.3400,United States,US,USA,Alabama,Alabama,US-AL,state,,12.5,,,4,America/Chicago,FALSE,1840043374
Vashti,Vashti,,36.8635,-79.6395,United States,US,USA,Virginia,Virginia,US-VA,state,,21.3,,,4,America/New_York,FALSE,1840116438
Venter,Venter,,37.7624,-77.1353,United States,US,USA,Virginia,Virginia,US-VA,state,,260.3,,,4,America/New_York,FALSE,1840116439
Verdon,Verdon,,37.8782,-77.5055,United States,US,USA,Virginia,Virginia,US-VA,state,,14.3,,,4,America/New_York,FALSE,1840116440
Vicey,Vicey,,37.2071,-82.2285,United States,US,USA,Virginia,Virginia,US-VA,state,,42.6,,,4,America/New_York,FALSE,1840116441
Viers,Viers,,37.1721,-82.2363,United States,US,USA,Virginia,Virginia,US-VA,state,,11.0,,,4,America/New_York,FALSE,1840116442
