city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Tashkent,Tashkent,Toshkent|Tashkend,41.3111,69.2797,Uzbekistan,UZ,UZB,Toshkent,Toshkent,UZ-TK,city,primary,190.6,2956384,2956384,1,Asia/Tashkent,FALSE,1860331871
Namangan,Namangan,"Gorod Namangan|Namangan Shahri",41.0011,71.6683,Uzbekistan,UZ,UZB,Namangan,Namangan,UZ-NG,province,admin,376.5,626120,626120,2,Asia/Tashkent,FALSE,1860894033
Andijon,Andijon,Andizhan|Andijan|Andidzhan,40.7833,72.3333,Uzbekistan,UZ,UZB,Andijon,Andijon,UZ-AN,province,admin,747.6,547800,547800,2,Asia/Tashkent,FALSE,1860445095
Samarkand,Samarkand,Samarqand,39.6547,66.9758,Uzbekistan,UZ,UZB,Samarqand,Samarqand,UZ-SA,province,admin,234.0,546303,546303,2,Asia/Samarkand,FALSE,1860388706
Nukus,Nukus,,42.4667,59.6000,Uzbekistan,UZ,UZB,Qoraqalpog‘iston,Qoraqalpog'iston,UZ-QR,republic,admin,12.3,319583,319583,2,Asia/Samarkand,FALSE,1860620079
Farg‘ona,Farg`ona,"Skobelevo|Farghona|Fergana|Novyy Margelan|Skobelev",40.3864,71.7864,Uzbekistan,UZ,UZB,Farg‘ona,Farg'ona,UZ-FA,province,admin,569.5,288850,288850,2,Asia/Tashkent,FALSE,1860479627
Bukhara,Bukhara,"Buxoro|Bokhara|Alt-Buchara|Bukhoro|Staraya Bukhara",39.7667,64.4231,Uzbekistan,UZ,UZB,Buxoro,Buxoro,UZ-BU,province,admin,49.9,280187,280187,2,Asia/Samarkand,FALSE,1860523678
Qarshi,Qarshi,"Qarshi Shahri|Gorod Karshi",38.8667,65.8000,Uzbekistan,UZ,UZB,Qashqadaryo,Qashqadaryo,UZ-QA,province,admin,113.9,274891,274891,2,Asia/Samarkand,FALSE,1860343319
Qo‘qon,Qo`qon,Kokand|Qŭqon,40.5286,70.9425,Uzbekistan,UZ,UZB,Farg‘ona,Farg'ona,UZ-FA,province,,569.5,259700,259700,2,Asia/Tashkent,FALSE,1860403462
Marg‘ilon,Marg`ilon,Margilan|Margelan|Marghilon,40.4711,71.7247,Uzbekistan,UZ,UZB,Farg‘ona,Farg'ona,UZ-FA,province,,569.5,215400,215400,2,Asia/Tashkent,FALSE,1860419224
Jizzax,Jizzax,Dishsak|Jizzakh|Jizak|Dzhizak,40.1158,67.8422,Uzbekistan,UZ,UZB,Jizzax,Jizzax,UZ-JI,province,admin,69.6,163200,163200,2,Asia/Tashkent,FALSE,1860218891
