city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Cái Ba,Cai Ba,,21.3667,107.6167,Vietnam,VN,VNM,Quảng Ninh,Quang Ninh,VN-13,province,,132.3,,,4,Asia/Bangkok,FALSE,1704793107
Xóm Thíp,Xom Thip,Xóm Thip|Som Thin|Som Thip,21.7912,104.6400,Vietnam,VN,VNM,Yên Bái,Yen Bai,VN-06,province,,91.6,,,4,Asia/Bangkok,FALSE,1704785828
Xóm Mới,Xom Moi,,22.7108,104.4488,Vietnam,VN,VNM,Hà Giang,Ha Giang,VN-03,province,,121.3,,,4,Asia/Bangkok,FALSE,1704381181
Mại Thôn,Mai Thon,,20.9500,105.3667,Vietnam,VN,VNM,Hòa Bình,Hoa Binh,VN-14,province,,179.8,,,4,Asia/Bangkok,FALSE,1704233659
Xóm Ná,Xom Na,,19.4969,105.6376,Vietnam,VN,VNM,Thanh Hóa,Thanh Hoa,VN-21,province,,629.3,,,3,Asia/Bangkok,FALSE,1704454052
Khum Tavek,Khum Tavek,,11.7169,106.4450,Vietnam,VN,VNM,Bình Phước,Binh Phuoc,VN-58,province,,175.0,,,4,Asia/Ho_Chi_Minh,FALSE,1704077518
Gia Lach,Gia Lach,Tan Lieng|Ten Lieng,12.4000,108.8000,Vietnam,VN,VNM,Khánh Hòa,Khanh Hoa,VN-34,province,,32.6,,,4,Asia/Ho_Chi_Minh,FALSE,1704136784
Vai Bổ,Vai Bo,Voi Bổ,18.4737,105.3203,Vietnam,VN,VNM,Hà Tĩnh,Ha Tinh,VN-23,province,,102.6,,,4,Asia/Bangkok,FALSE,1704730528
Thôn Bảy,Thon Bay,Thôn 7,14.2707,107.9556,Vietnam,VN,VNM,Kon Tum,Kon Tum,VN-28,province,,478.5,,,3,Asia/Ho_Chi_Minh,FALSE,1704410896
Thôn Bảy,Thon Bay,Thôn 7,14.6267,107.9682,Vietnam,VN,VNM,Kon Tum,Kon Tum,VN-28,province,,103.2,,,4,Asia/Ho_Chi_Minh,TRUE,1704683951
Thôn Bảy,Thon Bay,Thôn 7,14.5388,107.9385,Vietnam,VN,VNM,Kon Tum,Kon Tum,VN-28,province,,103.2,,,4,Asia/Ho_Chi_Minh,TRUE,1704615095
Giồng Tre,Giong Tre,,10.2083,106.6122,Vietnam,VN,VNM,Bến Tre,Ben Tre,VN-50,province,,368.1,,,3,Asia/Ho_Chi_Minh,FALSE,1704761589
Long Hoà A,Long Hoa A,,10.3957,106.3690,Vietnam,VN,VNM,Tiền Giang,Tien Giang,VN-46,province,,818.4,,,3,Asia/Ho_Chi_Minh,FALSE,1704381937
Thôn Bảy,Thon Bay,Thôn 7,19.3690,105.6828,Vietnam,VN,VNM,Thanh Hóa,Thanh Hoa,VN-21,province,,468.2,,,3,Asia/Bangkok,FALSE,1704705205
Thôn Bảy,Thon Bay,Thôn 7,18.6977,105.3043,Vietnam,VN,VNM,Nghệ An,Nghe An,VN-22,province,,191.2,,,4,Asia/Bangkok,FALSE,1704456759
Câm Vân,Cam Van,,15.9000,108.1667,Vietnam,VN,VNM,Quảng Nam,Quang Nam,VN-27,province,,981.4,,,3,Asia/Ho_Chi_Minh,FALSE,1704569475
Thôn Bảy,Thon Bay,Thôn 7,15.3855,108.5314,Vietnam,VN,VNM,Quảng Nam,Quang Nam,VN-27,province,,290.8,,,3,Asia/Ho_Chi_Minh,FALSE,1704055110
Thôn Bảy,Thon Bay,Thôn 7,15.5295,108.5993,Vietnam,VN,VNM,Quảng Nam,Quang Nam,VN-27,province,,290.8,,,3,Asia/Ho_Chi_Minh,TRUE,1704678301
Thôn Bảy,Thon Bay,Thôn 7,15.3927,108.6165,Vietnam,VN,VNM,Quảng Nam,Quang Nam,VN-27,province,,290.8,,,3,Asia/Ho_Chi_Minh,TRUE,1704038913
