city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
"Road Town","Road Town",,18.4167,-64.6167,"Virgin Islands, British",VG,VGB,,,,,primary,443.6,12603,12603,1,America/Tortola,FALSE,1092732412
"Spanish Town","Spanish Town",,18.4500,-64.4333,"Virgin Islands, British",VG,VGB,,,,,,205.3,,,3,America/Tortola,FALSE,1092000000
Recovery,Recovery,,18.3886,-64.6735,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000023
"Spring Bay Land","Spring Bay Land",,18.4333,-64.4419,"Virgin Islands, British",VG,VGB,,,,,,205.3,,,3,America/Tortola,FALSE,1092000055
"Georges Hollow","Georges Hollow",,18.4218,-64.6254,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000060
"West End","West End",,18.3880,-64.6978,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000017
Hannah,Hannah,,18.4014,-64.6371,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092936230
"Martins Joes Hill","Martins Joes Hill",,18.4274,-64.6392,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000050
Nibbs,Nibbs,,18.4143,-64.6355,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000008
"Pond Bay","Pond Bay",,18.4701,-64.4133,"Virgin Islands, British",VG,VGB,,,,,,205.3,,,3,America/Tortola,FALSE,1092000003
"Rogues Bay","Rogues Bay",,18.4464,-64.6049,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000063
"Steep Hill","Steep Hill",,18.4175,-64.6271,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000061
"Long Swamp","Long Swamp",,18.4382,-64.5713,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092202223
"John Tarter","John Tarter",,18.4787,-64.4130,"Virgin Islands, British",VG,VGB,,,,,,205.3,,,3,America/Tortola,FALSE,1092000004
Shannon,Shannon,,18.4207,-64.6513,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000031
"Brandywine Bay","Brandywine Bay",,18.4181,-64.5844,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000074
Hodge,Hodge,,18.4279,-64.6557,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000032
"Hawks Nest","Hawks Nest",,18.4564,-64.5607,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000082
"Hodge’s Creek","Hodge's Creek",,18.4260,-64.5690,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000078
"The Mill","The Mill",,18.4597,-64.5354,"Virgin Islands, British",VG,VGB,,,,,,2.6,,,5,America/Tortola,FALSE,1092368887
Anderson,Anderson,,18.4404,-64.6440,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092197119
"Lower Hope","Lower Hope",,18.4376,-64.5904,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000069
McIntosh,McIntosh,,18.4320,-64.6533,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000033
"Little Carrot Bay","Little Carrot Bay",,18.4069,-64.6739,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092238848
"New Bush","New Bush",,18.4328,-64.6377,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000045
"Skeleton Land","Skeleton Land",,18.4454,-64.7333,"Virgin Islands, British",VG,VGB,,,,,,35.2,,,4,America/Tortola,FALSE,1092000048
Diamond,Diamond,,18.4315,-64.6344,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000051
Henley,Henley,,18.4396,-64.6329,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000038
"Cane Garden Bay","Cane Garden Bay",,18.4167,-64.6500,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092545751
"Apple Bay","Apple Bay",,18.4021,-64.6768,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000021
"Paraquita Bay","Paraquita Bay",,18.4259,-64.5818,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000076
"Long Bay","Long Bay",,18.3966,-64.6861,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000018
"South Sound","South Sound",,18.4872,-64.3886,"Virgin Islands, British",VG,VGB,,,,,,205.3,,,3,America/Tortola,FALSE,1092658440
Edney,Edney,,18.4105,-64.6512,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000030
"South Side","South Side",,18.4410,-64.7473,"Virgin Islands, British",VG,VGB,,,,,,35.2,,,4,America/Tortola,FALSE,1092000040
"Duffs Bottom","Duffs Bottom",,18.4085,-64.6245,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000053
"Little Dix Bay","Little Dix Bay",,18.4586,-64.4340,"Virgin Islands, British",VG,VGB,,,,,,205.3,,,3,America/Tortola,FALSE,1092000002
Daseys,Daseys,,18.3869,-64.6729,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000025
"Bakers Bay","Bakers Bay",,18.4929,-64.3852,"Virgin Islands, British",VG,VGB,,,,,,205.3,,,3,America/Tortola,FALSE,1092000011
"Mount Healthy","Mount Healthy",,18.4485,-64.6429,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000036
"Leonards Joes Hill","Leonards Joes Hill",,18.4288,-64.6406,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000049
Boway,Boway,,18.3850,-64.6731,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000024
"Great Mountain","Great Mountain",,18.4388,-64.6294,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092971094
"Maya Cove","Maya Cove",,18.4167,-64.5667,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092253748
"Thomas Land","Thomas Land",,18.4434,-64.5548,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000080
"North Sound","North Sound",,18.4906,-64.3831,"Virgin Islands, British",VG,VGB,,,,,,205.3,,,3,America/Tortola,FALSE,1092000012
Lambert,Lambert,,18.4515,-64.5751,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000067
"Copper Mine","Copper Mine",,18.4327,-64.4255,"Virgin Islands, British",VG,VGB,,,,,,205.3,,,3,America/Tortola,FALSE,1092000058
"Little Apple Bay","Little Apple Bay",,18.3952,-64.6819,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000019
"Pleasant Valley","Pleasant Valley",,18.4042,-64.6413,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000052
"Lettsome Settlement","Lettsome Settlement",,18.4542,-64.7249,"Virgin Islands, British",VG,VGB,,,,,,35.2,,,4,America/Tortola,FALSE,1092808866
Blyden,Blyden,,18.4206,-64.6299,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000007
"Little Harbour","Little Harbour",,18.4421,-64.7218,"Virgin Islands, British",VG,VGB,,,,,,35.2,,,4,America/Tortola,FALSE,1092820811
Ross,Ross,,18.4334,-64.6571,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000034
Doty,Doty,,18.4141,-64.6462,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000010
"Cooten Bay","Cooten Bay",,18.4465,-64.5999,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000065
Kingstown,Kingstown,,18.4167,-64.5964,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092247392
Belmont,Belmont,,18.3923,-64.7009,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000016
"Freshwater Pond","Freshwater Pond",,18.3894,-64.6762,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092787099
"North Sound Settlement","North Sound Settlement",,18.4972,-64.3848,"Virgin Islands, British",VG,VGB,,,,,,205.3,,,3,America/Tortola,FALSE,1092000014
"Fish Bay","Fish Bay",,18.4205,-64.5996,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000075
"The Bond","The Bond",,18.4898,-64.3924,"Virgin Islands, British",VG,VGB,,,,,,205.3,,,3,America/Tortola,FALSE,1092000013
"Green Bank","Green Bank",,18.4316,-64.6435,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000044
"Pockwood Pond","Pockwood Pond",,18.3945,-64.6526,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000026
"Balsom Ghut","Balsom Ghut",,18.4541,-64.5682,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000083
Cocodella,Cocodella,,18.4191,-64.6298,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000062
"Wesley Will","Wesley Will",,18.4428,-64.6044,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092050557
"Trunk Bay Land","Trunk Bay Land",,18.4387,-64.4395,"Virgin Islands, British",VG,VGB,,,,,,205.3,,,3,America/Tortola,FALSE,1092000059
"Josias Bay","Josias Bay",,18.4431,-64.5881,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000077
Spooner,Spooner,,18.4433,-64.6335,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000037
Leonards,Leonards,,18.4249,-64.6353,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092696647
"East End","East End",,18.4402,-64.5564,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000001
"The Country","The Country",,18.4321,-64.4364,"Virgin Islands, British",VG,VGB,,,,,,205.3,,,3,America/Tortola,FALSE,1092000057
Arundell,Arundell,,18.4161,-64.6571,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000028
"Fahie Hill","Fahie Hill",,18.4384,-64.6211,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000043
"Hedrington Spring Ghut","Hedrington Spring Ghut",,18.4292,-64.5842,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000073
Dawson,Dawson,,18.3918,-64.7056,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000015
Albion,Albion,,18.4144,-64.6287,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000006
"Carrot Bay","Carrot Bay",,18.4517,-64.6041,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000064
"Martin Spring Ghut","Martin Spring Ghut",,18.4351,-64.5826,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000070
"Primrose Garden","Primrose Garden",,18.4369,-64.6333,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000046
Havers,Havers,,18.3944,-64.6439,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000027
"Cappoons Bay","Cappoons Bay",,18.3995,-64.6798,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000020
"The Settlement","The Settlement",,18.7198,-64.3167,"Virgin Islands, British",VG,VGB,,,,,,9.6,,,5,America/Tortola,FALSE,1092435400
"Cotton Ground","Cotton Ground",,18.4472,-64.7524,"Virgin Islands, British",VG,VGB,,,,,,35.2,,,4,America/Tortola,FALSE,1092000041
"Trunk Bay","Trunk Bay",,18.4465,-64.6112,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000042
Chalwell,Chalwell,,18.4195,-64.6454,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000009
"Creek Village","Creek Village",,18.4911,-64.3811,"Virgin Islands, British",VG,VGB,,,,,,205.3,,,3,America/Tortola,FALSE,1092863190
"Upper Hope","Upper Hope",,18.4362,-64.5941,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000068
Martin,Martin,,18.4387,-64.6531,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000035
"Cart Path","Cart Path",,18.3947,-64.6751,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000022
Slaney,Slaney,,18.4073,-64.6180,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000054
"Ballast Bay","Ballast Bay",,18.4151,-64.6675,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000029
Lloyds,Lloyds,,18.4475,-64.5609,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000081
"Turnbull Hill","Turnbull Hill",,18.4404,-64.6244,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000039
"Nottingham Estate","Nottingham Estate",Nottingham,18.4329,-64.5784,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000072
"Plum Tree Bay","Plum Tree Bay",,18.4840,-64.4116,"Virgin Islands, British",VG,VGB,,,,,,205.3,,,3,America/Tortola,FALSE,1092000005
"Belle Vue","Belle Vue",,18.4310,-64.5947,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000071
"Belle Vue","Belle Vue",,18.4436,-64.7483,"Virgin Islands, British",VG,VGB,,,,,,35.2,,,4,America/Tortola,TRUE,1092927548
Threllfall,Threllfall,,18.4112,-64.6382,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092038852
"Great Carrot Bay","Great Carrot Bay",,18.4108,-64.6710,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092341593
Meyers,Meyers,,18.4263,-64.6452,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000047
"Parham Town","Parham Town",,18.4425,-64.5599,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000079
"Rhymers Estate","Rhymers Estate",,18.4350,-64.4350,"Virgin Islands, British",VG,VGB,,,,,,205.3,,,3,America/Tortola,FALSE,1092000056
Pickering,Pickering,,18.4319,-64.6303,"Virgin Islands, British",VG,VGB,,,,,,443.6,,,3,America/Tortola,FALSE,1092000066
