city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Mata-Utu,Mata-Utu,"Regina Spit|Matâ’utu|Mata’Utu|Matā’utu",-13.2833,-176.1833,"Wallis and Futuna",WF,WLF,Uvea,Uvea,WF-UV,"administrative precinct",primary,123.3,1029,1029,1,Pacific/Wallis,FALSE,1876784844
Liku,Liku,,-13.2639,-176.1733,"Wallis and Futuna",WF,WLF,Uvea,Uvea,WF-UV,"administrative precinct",,90.0,605,605,4,Pacific/Wallis,FALSE,1876918345
Utufua,Utufua,,-13.3433,-176.1944,"Wallis and Futuna",WF,WLF,Uvea,Uvea,WF-UV,"administrative precinct",,75.0,602,602,4,Pacific/Wallis,FALSE,1876412536
Falaleu,Falaleu,,-13.2933,-176.1817,"Wallis and Futuna",WF,WLF,Uvea,Uvea,WF-UV,"administrative precinct",,123.3,572,572,4,Pacific/Wallis,FALSE,1876674175
Ono,Ono,,-14.3106,-178.1050,"Wallis and Futuna",WF,WLF,Alo,Alo,WF-AL,"administrative precinct",,39.1,524,524,4,Pacific/Wallis,FALSE,1876000004
Alele,Alele,,-13.2442,-176.1806,"Wallis and Futuna",WF,WLF,Uvea,Uvea,WF-UV,"administrative precinct",,73.4,524,524,4,Pacific/Wallis,FALSE,1876507109
Mala’e,Mala'e,,-13.2444,-176.1933,"Wallis and Futuna",WF,WLF,Uvea,Uvea,WF-UV,"administrative precinct",,73.4,504,504,4,Pacific/Wallis,FALSE,1876421295
Taoa,Taoa,,-14.3103,-178.1281,"Wallis and Futuna",WF,WLF,Alo,Alo,WF-AL,"administrative precinct",,39.1,480,480,4,Pacific/Wallis,FALSE,1876000005
Aka’aka,Aka'aka,Akaka,-13.2769,-176.1714,"Wallis and Futuna",WF,WLF,Uvea,Uvea,WF-UV,"administrative precinct",,123.3,474,474,4,Pacific/Wallis,FALSE,1876529870
Halalo,Halalo,Ha’alalo,-13.3386,-176.2150,"Wallis and Futuna",WF,WLF,Uvea,Uvea,WF-UV,"administrative precinct",,75.0,471,471,4,Pacific/Wallis,FALSE,1876015131
Ahoa,Ahoa,,-13.2842,-176.2356,"Wallis and Futuna",WF,WLF,Uvea,Uvea,WF-UV,"administrative precinct",,123.3,436,436,4,Pacific/Wallis,FALSE,1876832486
Vaitupu,Vaitupu,,-13.2264,-176.1875,"Wallis and Futuna",WF,WLF,Uvea,Uvea,WF-UV,"administrative precinct",,73.4,406,406,4,Pacific/Wallis,FALSE,1876333815
Vaimalau,Vaimalau,Vaimatau,-13.3200,-176.1997,"Wallis and Futuna",WF,WLF,Uvea,Uvea,WF-UV,"administrative precinct",,75.0,371,371,4,Pacific/Wallis,FALSE,1876385676
Vailala,Vailala,,-13.2214,-176.2061,"Wallis and Futuna",WF,WLF,Uvea,Uvea,WF-UV,"administrative precinct",,73.4,341,341,4,Pacific/Wallis,FALSE,1876229310
Lavegahau,Lavegahau,,-13.3081,-176.1881,"Wallis and Futuna",WF,WLF,Uvea,Uvea,WF-UV,"administrative precinct",,75.0,330,330,4,Pacific/Wallis,FALSE,1876602841
Leava,Leava,Sigavé|Singave,-14.2961,-178.1585,"Wallis and Futuna",WF,WLF,Sigave,Sigave,WF-SG,"administrative precinct",admin,45.3,322,322,2,Pacific/Wallis,FALSE,1876731744
Ha’afuasia,Ha'afuasia,Haafusia,-13.3000,-176.1850,"Wallis and Futuna",WF,WLF,Uvea,Uvea,WF-UV,"administrative precinct",,123.3,299,299,4,Pacific/Wallis,FALSE,1876176114
Tepa,Tepa,,-13.3236,-176.1867,"Wallis and Futuna",WF,WLF,Uvea,Uvea,WF-UV,"administrative precinct",,75.0,270,270,4,Pacific/Wallis,FALSE,1876258954
Fiua,Fiua,,-14.2531,-178.1803,"Wallis and Futuna",WF,WLF,Sigave,Sigave,WF-SG,"administrative precinct",,45.3,257,257,4,Pacific/Wallis,FALSE,1876000008
Kolia,Kolia,,-14.3092,-178.0986,"Wallis and Futuna",WF,WLF,Alo,Alo,WF-AL,"administrative precinct",,39.1,254,254,4,Pacific/Wallis,FALSE,1876731153
Gahi,Gahi,,-13.3367,-176.1869,"Wallis and Futuna",WF,WLF,Uvea,Uvea,WF-UV,"administrative precinct",,75.0,249,249,4,Pacific/Wallis,FALSE,1876686287
Te’esi,Te'esi,Teesi|Téessé,-13.3511,-176.2042,"Wallis and Futuna",WF,WLF,Uvea,Uvea,WF-UV,"administrative precinct",,75.0,216,216,4,Pacific/Wallis,FALSE,1876789609
