city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Hebron,Hebron,"El Khulil|El Khalil|Khalil-el-Rahman|Ḩabrūn|Al Khalīl|Hevrōn",31.5286,35.0969,"West Bank",XW,XWB,,,,,,634.8,201063,201063,2,Asia/Hebron,FALSE,1934166495
Nāblus,Nablus,Shechem|Schechem|Sychem|Neapolis|Napouse|Shekhem|Sykhem|Nābulus,32.2222,35.2611,"West Bank",XW,XWB,,,,,,634.8,156906,156906,2,Asia/Hebron,FALSE,1934360634
Ţūlkarm,Tulkarm,"Tūl Kerem|Keram",32.3125,35.0267,"West Bank",XW,XWB,,,,,,634.8,64532,64532,3,Asia/Hebron,FALSE,1934334760
Yattir,Yattir,Yatir,31.4478,35.0900,"West Bank",XW,XWB,,,,,,477.5,63511,63511,3,Asia/Hebron,FALSE,1934947354
Qalqīlyah,Qalqilyah,"Qalqīlye|Kfar Saba|Kalkilieh|Qalqīliya|Kal Kiliya|Qalkilya",32.1903,34.9686,"West Bank",XW,XWB,,,,,,2018.9,51683,51683,2,Asia/Hebron,FALSE,1934513064
Janīn,Janin,"Djenin|Jinin|‘Ein Gannīm|Engannim|Jenin",32.4611,35.3000,"West Bank",XW,XWB,,,,,,1338.0,49908,49908,3,Asia/Hebron,FALSE,1934524373
Ramallah,Ramallah,"Rahm Alla|Rām Allāh",31.9000,35.2000,"West Bank",XW,XWB,,,,,,634.8,38998,38998,3,Asia/Hebron,FALSE,1934604374
"Az̧ Z̧āhirīyah","Az Zahiriyah","El Dahaheriya|Edh Dhāhrīye|Dhāhirīya|Devīr|Debir|Adh Dhahiriya|Edh Dhāiriya|Ed Dhaherie|Aḑ Ḑāhirīyah|Eḍh Ḍhāhiriya",31.4078,34.9722,"West Bank",XW,XWB,,,,,,634.8,35924,35924,3,Asia/Hebron,FALSE,1934407195
Bethlehem,Bethlehem,"Bayt Laḩm|Beit Lahm|Beit Lehem|Bethléem",31.7044,35.2064,"West Bank",XW,XWB,,,,,,634.8,28591,28591,3,Asia/Hebron,FALSE,1934388150
Baytūnyā,Baytunya,Betounia|Beitūnya|Beituniyā|Beitunia|Bītuniyā,31.8889,35.1675,"West Bank",XW,XWB,,,,,,1015.4,26604,26604,3,Asia/Hebron,FALSE,1934209318
Idhnā,Idhna,Idnā|Idnah,31.5586,34.9761,"West Bank",XW,XWB,,,,,,1209.7,26009,26009,3,Asia/Jerusalem,FALSE,1934524225
Qabāţīyah,Qabatiyah,Qabātye|Kubatiya|Qabātiya|Kubatie,32.4097,35.2808,"West Bank",XW,XWB,,,,,,483.5,24439,24439,3,Asia/Hebron,FALSE,1934173704
Jericho,Jericho,Erīha|Arīḩā|Yirīḩū|Yerīhō,31.8561,35.4600,"West Bank",XW,XWB,,,,,,634.8,20907,20907,3,Asia/Hebron,FALSE,1934197330
"Bayt Ūmmar","Bayt Ummar","Beit Ummar|Beit Immar|Bayt Immar|Bayt ‘Umar",31.6214,35.1022,"West Bank",XW,XWB,,,,,,634.8,16977,16977,3,Asia/Jerusalem,FALSE,1934976309
Ya‘bad,Ya`bad,Ya‘bud,32.4467,35.1703,"West Bank",XW,XWB,,,,,,741.3,16012,16012,3,Asia/Jerusalem,FALSE,1934942551
"Bayt Jālā","Bayt Jala","Beit Jālā",31.7150,35.1872,"West Bank",XW,XWB,,,,,,1037.2,13484,13484,3,Asia/Hebron,FALSE,1934810558
"Bayt Sāḩūr","Bayt Sahur","Beit Saḥūr|Bettsahour|Ḩaql ar Ru‘āh|Ḩaql ar Ru‘āt|Ḥaql er Ru‘āt",31.7003,35.2250,"West Bank",XW,XWB,,,,,,634.8,13281,13281,3,Asia/Hebron,FALSE,1934945594
"Abū Dīs","Abu Dis",,31.7625,35.2658,"West Bank",XW,XWB,,,,,,432.9,12251,12251,3,Asia/Jerusalem,FALSE,1934018131
Tilfīt,Tilfit,Tifit,32.4015,35.3415,"West Bank",XW,XWB,,,,,,634.8,,,3,Asia/Hebron,FALSE,1934020629
"Khirbat Dayr an Nīl","Khirbat Dayr an Nil","Khirbat Deir en Nīl|Khirbat Deir an Nil",31.6576,35.0696,"West Bank",XW,XWB,,,,,,634.8,,,3,Asia/Jerusalem,FALSE,1934867727
"Khirbat al Munţār ash Sharqīyah","Khirbat al Muntar ash Sharqiyah",,32.4591,35.1210,"West Bank",XW,XWB,,,,,,634.8,,,3,Asia/Jerusalem,FALSE,1934855833
Suseya,Suseya,Susya,31.3833,35.1000,"West Bank",XW,XWB,,,,,,634.8,,,3,Asia/Jerusalem,FALSE,1934994344
"Şūr Bāhir","Sur Bahir","Sūr Bāhit",31.7368,35.2334,"West Bank",XW,XWB,,,,,,634.8,,,3,Asia/Jerusalem,FALSE,1934303583
"Ar Rām wa Ḑāḩiyat al Barīd","Ar Ram wa Dahiyat al Barid","Er Rām|Ar Rām|Rām",31.8494,35.2342,"West Bank",XW,XWB,,,,,,634.8,,,3,Asia/Jerusalem,FALSE,1934163803
Tomer,Tomer,,32.0333,35.4333,"West Bank",XW,XWB,,,,,,634.8,,,3,Asia/Jerusalem,FALSE,1934312975
"Naẖal Kalya","Nahal Kalya","Kalya|Nahal Kallia|Kalia",31.7667,35.5000,"West Bank",XW,XWB,,,,,,634.8,,,3,Asia/Jerusalem,FALSE,1934362449
Immātīn,Immatin,"Umm at Tīn|Um et Tīn",32.1916,35.1584,"West Bank",XW,XWB,,,,,,634.8,,,3,Asia/Jerusalem,FALSE,1934465019
"Nazlat Abū Nār","Nazlat Abu Nar",,32.4070,35.0746,"West Bank",XW,XWB,,,,,,637.5,,,3,Asia/Jerusalem,FALSE,1934380059
"Dār Şalāḩ","Dar Salah",,31.7103,35.2624,"West Bank",XW,XWB,,,,,,634.8,,,3,Asia/Hebron,FALSE,1934802225
‘Ajjūl,`Ajjul,,32.0223,35.1797,"West Bank",XW,XWB,,,,,,634.8,,,3,Asia/Hebron,FALSE,1934056112
Dūmā,Duma,Dūmah|Domea|Dōma,32.0563,35.3670,"West Bank",XW,XWB,,,,,,634.8,,,3,Asia/Jerusalem,FALSE,1934037729
"Dayr Abū Ḑa‘īf","Dayr Abu Da`if","Deir Abū Ḍa‘īf",32.4560,35.3616,"West Bank",XW,XWB,,,,,,634.8,,,3,Asia/Hebron,FALSE,1934150713
"Banī Na‘īm","Bani Na`im",,31.5159,35.1642,"West Bank",XW,XWB,,,,,,634.8,,,3,Asia/Hebron,FALSE,1934435693
"Ad Dawḩah","Ad Dawhah",,31.9559,35.1998,"West Bank",XW,XWB,,,,,,634.8,,,3,Asia/Jerusalem,FALSE,1934542654
"Ad Dawḩah","Ad Dawhah",,31.6995,35.1805,"West Bank",XW,XWB,,,,,,634.8,,,3,Asia/Hebron,TRUE,1934270712
Sinjil,Sinjil,"Saint Gilles|Sindjil",32.0333,35.2654,"West Bank",XW,XWB,,,,,,634.8,,,3,Asia/Jerusalem,FALSE,1934044147
"Khirbat Abū ‘Anqar","Khirbat Abu `Anqar",,32.4892,35.3937,"West Bank",XW,XWB,,,,,,634.8,,,3,Asia/Jerusalem,FALSE,1934371154
Rehan,Rehan,"Naẖal Reyhan",32.4667,35.1333,"West Bank",XW,XWB,,,,,,634.8,,,3,Asia/Jerusalem,FALSE,1934432447
"Al Majd","Al Majd","Khirbat el Majd|Khirbat al Majd",31.4810,34.9506,"West Bank",XW,XWB,,,,,,634.8,,,3,Asia/Jerusalem,FALSE,1934699900
"Khirbat al Hijrah","Khirbat al Hijrah","Khirbat el Hajra|Khirbat al Hijra|Khirbat al Ḩajarah",31.4885,35.0561,"West Bank",XW,XWB,,,,,,634.8,,,3,Asia/Jerusalem,FALSE,1934256119
"‘Arab al Furayjāt","`Arab al Furayjat",,31.3564,34.9207,"West Bank",XW,XWB,,,,,,634.8,,,3,Asia/Jerusalem,FALSE,1934342960
Jalqamūs,Jalqamus,,32.4246,35.3642,"West Bank",XW,XWB,,,,,,634.8,,,3,Asia/Hebron,FALSE,1934017949
"Khallat al Ḩaddād","Khallat al Haddad",,31.6582,35.1901,"West Bank",XW,XWB,,,,,,634.8,,,3,Asia/Jerusalem,FALSE,1934594554
