city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Kapepe,Kapepe,,-12.4000,33.2333,Zambia,ZM,ZMB,Eastern,Eastern,ZM-03,province,,111.5,,,4,Africa/Lusaka,FALSE,1894731218
Matafu,Matafu,,-14.3833,25.0500,Zambia,ZM,ZMB,Western,Western,ZM-01,province,,12.8,,,4,Africa/Lusaka,FALSE,1894551118
Matafu,Matafu,,-14.7333,24.0333,Zambia,ZM,ZMB,Western,Western,ZM-01,province,,10.0,,,5,Africa/Lusaka,TRUE,1894275564
Matafu,Matafu,,-15.1167,24.5667,Zambia,ZM,ZMB,Western,Western,ZM-01,province,,6.8,,,5,Africa/Lusaka,TRUE,1894845324
Siyanga,Siyanga,,-14.4500,22.1667,Zambia,ZM,ZMB,Western,Western,ZM-01,province,,4.6,,,5,Africa/Lusaka,FALSE,1894406213
Mukungwa,Mukungwa,,-14.9333,22.1333,Zambia,ZM,ZMB,Western,Western,ZM-01,province,,7.7,,,5,Africa/Lusaka,FALSE,1894881590
Kapilo,Kapilo,,-12.3167,33.1333,Zambia,ZM,ZMB,Eastern,Eastern,ZM-03,province,,111.5,,,4,Africa/Lusaka,FALSE,1894907409
Liyembani,Liyembani,,-14.7500,23.7500,Zambia,ZM,ZMB,Western,Western,ZM-01,province,,10.0,,,5,Africa/Lusaka,FALSE,1894143269
Enala Kasakila,Enala Kasakila,,-12.8797,30.3894,Zambia,ZM,ZMB,Central,Central,ZM-02,province,,9.2,,,5,Africa/Lusaka,FALSE,1894905957
Wile Kapepele,Wile Kapepele,,-12.8612,30.3834,Zambia,ZM,ZMB,Central,Central,ZM-02,province,,9.2,,,5,Africa/Lusaka,FALSE,1894801286
Makambwe,Makambwe,,-14.3697,31.5588,Zambia,ZM,ZMB,Eastern,Eastern,ZM-03,province,,69.3,,,4,Africa/Lusaka,FALSE,1894305517
Timeo Kunda,Timeo Kunda,,-12.8635,30.6665,Zambia,ZM,ZMB,Central,Central,ZM-02,province,,9.2,,,5,Africa/Lusaka,FALSE,1894216598
Kandombwe,Kandombwe,,-14.4667,23.7000,Zambia,ZM,ZMB,Western,Western,ZM-01,province,,9.4,,,5,Africa/Lusaka,FALSE,1894524878
Malimbu,Malimbu,,-15.1833,22.6667,Zambia,ZM,ZMB,Western,Western,ZM-01,province,,17.5,,,4,Africa/Lusaka,FALSE,1894733886
Longwait,Longwait,,-15.6667,28.2833,Zambia,ZM,ZMB,Lusaka,Lusaka,ZM-09,province,,34.9,,,4,Africa/Lusaka,FALSE,1894111183
Salukokisa,Salukokisa,,-15.9500,23.7167,Zambia,ZM,ZMB,Western,Western,ZM-01,province,,7.6,,,5,Africa/Lusaka,FALSE,1894956535
Nadoroba,Nadoroba,,-12.9127,30.6557,Zambia,ZM,ZMB,Central,Central,ZM-02,province,,9.2,,,5,Africa/Lusaka,FALSE,1894261985
Makunganya,Makunganya,,-13.1833,31.9500,Zambia,ZM,ZMB,Eastern,Eastern,ZM-03,province,,17.3,,,4,Africa/Lusaka,FALSE,1894319734
Muzila,Muzila,,-14.9667,22.3167,Zambia,ZM,ZMB,Western,Western,ZM-01,province,,7.7,,,5,Africa/Lusaka,FALSE,1894253496
Mukuma,Mukuma,,-9.5333,29.6667,Zambia,ZM,ZMB,Northern,Northern,ZM-05,province,,12.5,,,4,Africa/Lusaka,FALSE,1894798182
Simumpande,Simumpande,Simupandi|Simupande,-17.2570,27.3861,Zambia,ZM,ZMB,Southern,Southern,ZM-07,province,,34.8,,,4,Africa/Lusaka,FALSE,1894893138
Zamatebele,Zamatebele,,-14.6667,23.3167,Zambia,ZM,ZMB,Western,Western,ZM-01,province,,9.4,,,5,Africa/Lusaka,FALSE,1894063250
Duta,Duta,,-10.8333,31.1000,Zambia,ZM,ZMB,Northern,Northern,ZM-05,province,,8.3,,,5,Africa/Lusaka,FALSE,1894625912
Piti,Piti,,-16.5575,24.7723,Zambia,ZM,ZMB,Western,Western,ZM-01,province,,2.9,,,5,Africa/Lusaka,FALSE,1894570382
Katali,Katali,Katala,-13.2859,23.0548,Zambia,ZM,ZMB,North-Western,North-Western,ZM-06,province,,11.7,,,4,Africa/Lusaka,FALSE,1894813564
Kansilye,Kansilye,,-9.4667,31.5000,Zambia,ZM,ZMB,Northern,Northern,ZM-05,province,,26.0,,,4,Africa/Lusaka,FALSE,1894727155
Chiperembe,Chiperembe,,-12.7000,32.8833,Zambia,ZM,ZMB,Eastern,Eastern,ZM-03,province,,14.1,,,4,Africa/Lusaka,FALSE,1894943913
Litoli,Litoli,,-13.9500,29.7667,Zambia,ZM,ZMB,Central,Central,ZM-02,province,,23.6,,,4,Africa/Lusaka,FALSE,1894362673
Savisonga,Savisonga,,-13.3817,23.7703,Zambia,ZM,ZMB,North-Western,North-Western,ZM-06,province,,9.1,,,5,Africa/Lusaka,FALSE,1894225924
Kwenda,Kwenda,,-16.5833,23.8167,Zambia,ZM,ZMB,Western,Western,ZM-01,province,,7.6,,,5,Africa/Lusaka,FALSE,1894796692
Chiputa,Chiputa,,-14.2833,23.0500,Zambia,ZM,ZMB,Western,Western,ZM-01,province,,6.5,,,5,Africa/Lusaka,FALSE,1894691651
Iluya,Iluya,,-14.9667,22.9667,Zambia,ZM,ZMB,Western,Western,ZM-01,province,,14.5,,,4,Africa/Lusaka,FALSE,1894118827
Iluya,Iluya,,-15.7833,23.9500,Zambia,ZM,ZMB,Western,Western,ZM-01,province,,7.6,,,5,Africa/Lusaka,TRUE,1894914683
Chiputa,Chiputa,Chipota,-10.9643,28.8952,Zambia,ZM,ZMB,Luapula,Luapula,ZM-04,province,,32.5,,,4,Africa/Lusaka,FALSE,1894100408
Mukanga,Mukanga,,-15.3833,23.3667,Zambia,ZM,ZMB,Western,Western,ZM-01,province,,9.6,,,5,Africa/Lusaka,FALSE,1894453734
