airportId;codeIataAirport;nameAirport;codeIso2Country;codeIcaoAirport;codeIataCity;latitudeAirport;longitudeAirport;timezone;GMT;isRailRoad;isBusStation;nameTranslations;popularity;phone;website;geonameId;routes;nameCountry;;
1;AAA;Anaa;PF;NTGA;AAA;-17,05;-145,41667;Pacific/Tahiti;-10;0;0;Anaa,Anaa,Анаа,อาน่า,阿纳机场;0;;;6947726;0;French Polynesia;;
2;AAB;Arrabury;AU;YARY;AAB;-26,7;141,04167;Australia/Brisbane;10;0;0;Arrabury,阿拉伯里机场;0;;;7730796;0;Australia;;
3;AAC;El Arish International Airport;EG;HEAR;AAC;31,133333;33,75;Africa/Cairo;2;0;0;El Arish International Airport,阿里什机场;0;;;6297289;0;Egypt;;
4;AAE;Les Salines;DZ;DABB;AAE;36,821392;7,811857;Africa/Algiers;1;0;0;Annaba,Les Salines,Les Salines,Les Salines,Les Salines,สนามบินแอนนาบา,安纳巴机场;0;;;2570559;42;;;
5;AAF;Apalachicola Regional;US;KAAF;AAF;29,733334;-84,98333;America/New_York;-5;0;0;Apalachicola Regional,Apalachicola  Havalimanı,阿帕拉契科拉市机场;0;;;4146153;0;United States;;
6;AAG;Arapoti;BR;SSYA;AAG;-24,103611;-49,79;America/Sao_Paulo;-2;0;0;Arapoti,阿拉波蒂机场;0;;;3471795;0;Brazil;;
7;AAH;Aachen/Merzbruck;DE;EDKA;AAH;50,75;6,133333;Europe/Berlin;1;0;0;Aachen/Merzbruck,Aachen Merzbruck Havalimanı,亚琛机场;0;;;3247449;0;Germany;;
8;AAI;Arraias;BR;SWRA;AAI;-12,916667;-46,933334;America/Araguaina;-2;0;0;Arraias,阿拉亚斯机场;0;;;7668483;0;Brazil;;
9;AAJ;Cayana Airstrip;SR;;AAJ;3,9;-55,36667;America/Paramaribo;-3;0;0;Cayana Airstrip,Cayana Airstrip Havalimanı,阿瓦拉达姆机场;0;;;0;0;Suriname;;
10;AAK;Aranuka;KI;NGUK;AAK;0,166667;173,58333;Pacific/Tarawa;12;0;0;Aranuka,阿兰努卡机场;0;;;7521791;0;Kiribati;;
11;AAL;Aalborg;DK;EKYT;AAL;57,08655;9,872241;Europe/Copenhagen;1;0;0;Aalborg,Aalborg,Aalborg,Aalborg,Aalborg,Аальборг,สนามบินอัลบอร์ก,奥尔堡机场;0;;;2624887;42;Denmark;;
12;AAM;Mala Mala;ZA;FAMD;AAM;-24,8;31,533333;Africa/Johannesburg;2;0;0;Mala Mala,Мала-Мала,马拉马拉机场;0;;;7668229;42;South Africa;;
13;AAN;Al Ain;AE;OMAL;AAN;24,260231;55,616627;Asia/Dubai;4;0;0;Al Ain,Al Ain,Al Ain,Al Ain,Al Ain,Эль-Аин,สนามบินอัลเอน,艾因国际机场;0;;;6300095;42;United Arab Emirates;;
14;AAO;Anaco;VE;;AAO;9,431944;-64,46389;America/Caracas;-5;0;0;Anaco,Анако,阿纳科;0;;;3486270;0;Venezuela;;
15;AAQ;Anapa;RU;URKA;AAQ;44,9;37,316666;Europe/Moscow;4;0;0;Anapa,Anapa,Anapa,Anapa,Anapa,Витязево,สนามบินอะนาปา,Anapa Havalimanı,阿纳帕机场;2;;;6300989;42;Russia;;
16;AAR;Aarhus Airport;DK;EKAH;AAR;56,30823;10,626351;Europe/Copenhagen;1;0;0;Aarhus,Aarhus Airport,Tirstrup,Tirstrup,Tirstrup,สนามบินอาร์ฮุส,Tirstrup,奥尔胡斯机场;4;;;2611665;42;Denmark;;
17;AAS;Apalapsili;ID;;AAS;-3,916667;139,25;Asia/Jayapura;9;0;0;Apalapsili,阿帕拉普希里机场;0;;;7730799;0;Indonesia;;
